"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"504964","act","5","34","9",",1487287,",",1276405,",0,"[{'id': 1487287, 'book_id': 'act', 'chapter': '5', 'verse': '34', 'word_num': 10, 'word': 'τίμιος', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,NMS,'}]","τίμιος",1,0,"[{'id': 1276405, 'book_id': 'act', 'chapter': '5', 'verse': '34', 'word_num': 16, 'word': 'honored', 'occurrence': 1}]","honored",1,"τίμιος = honored",0.09090909090909091,0,0
"514774","act","20","24","7",",1497388,",",1289659,",0,"[{'id': 1497388, 'book_id': 'act', 'chapter': '20', 'verse': '24', 'word_num': 6, 'word': 'τιμίαν', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,NS,,,,AFS,'}]","τιμίαν",1,0,"[{'id': 1289659, 'book_id': 'act', 'chapter': '20', 'verse': '24', 'word_num': 10, 'word': 'or', 'occurrence': 1}]","or",1,"τιμίαν = or",0.09090909090909091,0,0
"527318","1co","3","12","9",",1510700,",",1308111,",0,"[{'id': 1510700, 'book_id': '1co', 'chapter': '3', 'verse': '12', 'word_num': 10, 'word': 'τιμίους', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,AMP,'}]","τιμίους",1,0,"[{'id': 1308111, 'book_id': '1co', 'chapter': '3', 'verse': '12', 'word_num': 10, 'word': 'precious', 'occurrence': 1}]","precious",1,"τιμίους = precious",0.09090909090909091,0,0
"555364","heb","13","4","0",",1539609,",",1348960,",0,"[{'id': 1539609, 'book_id': 'heb', 'chapter': '13', 'verse': '4', 'word_num': 0, 'word': 'τίμιος', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,NP,,,,NMS,'}]","τίμιος",1,0,"[{'id': 1348960, 'book_id': 'heb', 'chapter': '13', 'verse': '4', 'word_num': 0, 'word': 'Let', 'occurrence': 1}]","Let",1,"τίμιος = Let",0.09090909090909091,0,0
"557090","jas","5","7","12",",1541459,",",1351473,",0,"[{'id': 1541459, 'book_id': 'jas', 'chapter': '5', 'verse': '7', 'word_num': 13, 'word': 'τίμιον', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,AMS,'}]","τίμιον",1,0,"[{'id': 1351473, 'book_id': 'jas', 'chapter': '5', 'verse': '7', 'word_num': 14, 'word': 'valuable', 'occurrence': 1}]","valuable",1,"τίμιον = valuable",0.09090909090909091,0,0
"557625","1pe","1","19","1",",1541993,",",1352293,1352294,1352295,",0,"[{'id': 1541993, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 1, 'word': 'τιμίῳ', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,DNS,'}]","τιμίῳ",1,2,"[{'id': 1352293, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 5, 'word': 'with', 'occurrence': 1}, {'id': 1352294, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1352295, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 7, 'word': 'precious', 'occurrence': 1}]","with the precious",3,"τιμίῳ = with the precious",0.09090909090909091,0,0
"558940","2pe","1","4","4",",1543437,",",1354490,",0,"[{'id': 1543437, 'book_id': '2pe', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'τίμια', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,ANP,'}]","τίμια",1,0,"[{'id': 1354490, 'book_id': '2pe', 'chapter': '1', 'verse': '4', 'word_num': 5, 'word': 'precious', 'occurrence': 1}]","precious",1,"τίμια = precious",0.09090909090909091,0,0
"568894","rev","17","4","10",",1554398,",",1368389,",0,"[{'id': 1554398, 'book_id': 'rev', 'chapter': '17', 'verse': '4', 'word_num': 13, 'word': 'τιμίῳ', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,DMS,'}]","τιμίῳ",1,0,"[{'id': 1368389, 'book_id': 'rev', 'chapter': '17', 'verse': '4', 'word_num': 13, 'word': 'precious', 'occurrence': 1}]","precious",1,"τιμίῳ = precious",0.2727272727272727,0,0
"569471","rev","18","12","3",",1555027,",",1369172,",0,"[{'id': 1555027, 'book_id': 'rev', 'chapter': '18', 'verse': '12', 'word_num': 6, 'word': 'τιμίου', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,GMS,'}]","τιμίου",1,0,"[{'id': 1369172, 'book_id': 'rev', 'chapter': '18', 'verse': '12', 'word_num': 4, 'word': 'precious', 'occurrence': 1}]","precious",1,"τιμίου = precious",0.09090909090909091,0,0
"569570","rev","18","16","15",",1555155,",",1369306,",0,"[{'id': 1555155, 'book_id': 'rev', 'chapter': '18', 'verse': '16', 'word_num': 20, 'word': 'τιμίῳ', 'occurrence': 1, 'strong': 'G50930', 'lemma': 'τίμιος', 'morph': 'Gr,AA,,,,DMS,'}]","τιμίῳ",1,0,"[{'id': 1369306, 'book_id': 'rev', 'chapter': '18', 'verse': '16', 'word_num': 25, 'word': 'precious', 'occurrence': 1}]","precious",1,"τιμίῳ = precious",0.2727272727272727,0,0
