"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"470467","luk","3","5","8",",1451209,",",1229500,1229501,1229502,1229503,",0,"[{'id': 1451209, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 8, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,3,"[{'id': 1229500, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 10, 'word': 'will', 'occurrence': 2}, {'id': 1229501, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 11, 'word': 'be', 'occurrence': 2}, {'id': 1229502, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 12, 'word': 'made', 'occurrence': 1}, {'id': 1229503, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 13, 'word': 'low', 'occurrence': 1}]","will be made low",4,"ταπεινωθήσεται = will be made low",0.3333333333333333,1,0,0
"480009","luk","14","11","5",",1460904,",",1242403,1242404,1242405,",0,"[{'id': 1460904, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 5, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,2,"[{'id': 1242403, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 5, 'word': 'will', 'occurrence': 1}, {'id': 1242404, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 6, 'word': 'be', 'occurrence': 1}, {'id': 1242405, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 7, 'word': 'humbled', 'occurrence': 1}]","will be humbled",3,"ταπεινωθήσεται = will be humbled",0.6666666666666666,2,0,0
"482382","luk","18","14","15",",1463320,",",1245666,1245667,1245668,",0,"[{'id': 1463320, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 16, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,2,"[{'id': 1245666, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 22, 'word': 'will', 'occurrence': 1}, {'id': 1245667, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 23, 'word': 'be', 'occurrence': 1}, {'id': 1245668, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 24, 'word': 'humbled', 'occurrence': 1}]","will be humbled",3,"ταπεινωθήσεται = will be humbled",0.6666666666666666,2,0,0
"480012","luk","14","11","8",",1460907,",",1242410,",0,"[{'id': 1460907, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 8, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,0,"[{'id': 1242410, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 12, 'word': 'humbles', 'occurrence': 1}]","humbles",1,"ταπεινῶν = humbles",0.6666666666666666,2,0,0
"482385","luk","18","14","18",",1463323,",",1245673,",0,"[{'id': 1463323, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 19, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,0,"[{'id': 1245673, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 29, 'word': 'humbles', 'occurrence': 1}]","humbles",1,"ταπεινῶν = humbles",0.6666666666666666,2,0,0
"536356","2co","11","7","3",",1519999,",",1321368,1321369,",0,"[{'id': 1519999, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 4, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,1,"[{'id': 1321368, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 6, 'word': 'by', 'occurrence': 1}, {'id': 1321369, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 7, 'word': 'humbling', 'occurrence': 1}]","by humbling",2,"ταπεινῶν = by humbling",0.3333333333333333,1,0,0
"537136","2co","12","21","7",",1520779,",",1322563,1322564,",0,"[{'id': 1520779, 'book_id': '2co', 'chapter': '12', 'verse': '21', 'word_num': 4, 'word': 'ταπεινώσῃ', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,SAA3,,S,'}]","ταπεινώσῃ",1,1,"[{'id': 1322563, 'book_id': '2co', 'chapter': '12', 'verse': '21', 'word_num': 7, 'word': 'might', 'occurrence': 1}, {'id': 1322564, 'book_id': '2co', 'chapter': '12', 'verse': '21', 'word_num': 8, 'word': 'humble', 'occurrence': 1}]","might humble",2,"ταπεινώσῃ = might humble",1.0,1,0,0
"542495","php","2","8","0",",1526278,",",1330165,1330166,",0,"[{'id': 1526278, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 0, 'word': 'ἐταπείνωσεν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐταπείνωσεν",1,1,"[{'id': 1330165, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 0, 'word': 'he', 'occurrence': 1}, {'id': 1330166, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 1, 'word': 'humbled', 'occurrence': 1}]","he humbled",2,"ἐταπείνωσεν = he humbled",1.0,1,0,0
"543338","php","4","12","1",",1527140,",",1331439,1331440,1331441,1331442,1331443,1331444,",0,"[{'id': 1527140, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 2, 'word': 'ταπεινοῦσθαι', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,NPP,,,,,'}]","ταπεινοῦσθαι",1,5,"[{'id': 1331439, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 2, 'word': 'what', 'occurrence': 1}, {'id': 1331440, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 3, 'word': 'it', 'occurrence': 1}, {'id': 1331441, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 4, 'word': 'is', 'occurrence': 1}, {'id': 1331442, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 5, 'word': 'to', 'occurrence': 1}, {'id': 1331443, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 6, 'word': 'be', 'occurrence': 1}, {'id': 1331444, 'book_id': 'php', 'chapter': '4', 'verse': '12', 'word_num': 7, 'word': 'poor', 'occurrence': 1}]","what it is to be poor",6,"ταπεινοῦσθαι = what it is to be poor",1.0,1,0,0
"556878","jas","4","10","0",",1541224,",",1351144,1351145,",0,"[{'id': 1541224, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 0, 'word': 'ταπεινώθητε', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,MAP2,,P,'}]","ταπεινώθητε",1,1,"[{'id': 1351144, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 0, 'word': 'Humble', 'occurrence': 1}, {'id': 1351145, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 1, 'word': 'yourselves', 'occurrence': 1}]","Humble yourselves",2,"ταπεινώθητε = Humble yourselves",0.5,1,0,0
"558770","1pe","5","6","1",",1543247,",",1354212,1354213,",0,"[{'id': 1543247, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 0, 'word': 'ταπεινώθητε', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,MAP2,,P,'}]","ταπεινώθητε",1,1,"[{'id': 1354212, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 1, 'word': 'humble', 'occurrence': 1}, {'id': 1354213, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 2, 'word': 'yourselves', 'occurrence': 1}]","humble yourselves",2,"ταπεινώθητε = humble yourselves",0.5,1,0,0
