"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465589","mrk","12","21","12",",1445859,",",1222332,",0,"[{'id': 1445859, 'book_id': 'mrk', 'chapter': '12', 'verse': '21', 'word_num': 12, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,NMS,'}]","τρίτος",1,0,"[{'id': 1222332, 'book_id': 'mrk', 'chapter': '12', 'verse': '21', 'word_num': 12, 'word': 'third', 'occurrence': 1}]","third",1,"τρίτος = third",0.6666666666666666,4,0,0
"484027","luk","20","31","2",",1464978,",",1248000,",0,"[{'id': 1464978, 'book_id': 'luk', 'chapter': '20', 'verse': '31', 'word_num': 2, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,NMS,'}]","τρίτος",1,0,"[{'id': 1248000, 'book_id': 'luk', 'chapter': '20', 'verse': '31', 'word_num': 2, 'word': 'third', 'occurrence': 1}]","third",1,"τρίτος = third",0.6666666666666666,4,0,0
"565650","rev","8","10","2",",1550791,",",1364058,",0,"[{'id': 1550791, 'book_id': 'rev', 'chapter': '8', 'verse': '10', 'word_num': 2, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,EO,,,,NMS,'}]","τρίτος",1,0,"[{'id': 1364058, 'book_id': 'rev', 'chapter': '8', 'verse': '10', 'word_num': 2, 'word': 'third', 'occurrence': 1}]","third",1,"τρίτος = third",0.6666666666666666,4,0,0
"567880","rev","14","9","2",",1553297,",",1367054,1367055,1367056,",0,"[{'id': 1553297, 'book_id': 'rev', 'chapter': '14', 'verse': '9', 'word_num': 3, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,EO,,,,NMS,'}]","τρίτος",1,2,"[{'id': 1367054, 'book_id': 'rev', 'chapter': '14', 'verse': '9', 'word_num': 2, 'word': 'a', 'occurrence': 1}, {'id': 1367055, 'book_id': 'rev', 'chapter': '14', 'verse': '9', 'word_num': 3, 'word': 'third', 'occurrence': 1}, {'id': 1367056, 'book_id': 'rev', 'chapter': '14', 'verse': '9', 'word_num': 4, 'word': 'angel', 'occurrence': 2}]","a third angel",3,"τρίτος = a third angel",0.16666666666666666,1,0,0
"568451","rev","16","4","2",",1553925,",",1367790,1367791,",0,"[{'id': 1553925, 'book_id': 'rev', 'chapter': '16', 'verse': '4', 'word_num': 2, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,NMS,'}]","τρίτος",1,1,"[{'id': 1367790, 'book_id': 'rev', 'chapter': '16', 'verse': '4', 'word_num': 2, 'word': 'third', 'occurrence': 1}, {'id': 1367791, 'book_id': 'rev', 'chapter': '16', 'verse': '4', 'word_num': 3, 'word': 'angel', 'occurrence': 1}]","third angel",2,"τρίτος = third angel",0.16666666666666666,1,0,0
"570983","rev","21","19","19",",1556740,",",1371214,",0,"[{'id': 1556740, 'book_id': 'rev', 'chapter': '21', 'verse': '19', 'word_num': 19, 'word': 'τρίτος', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,NMS,'}]","τρίτος",1,0,"[{'id': 1371214, 'book_id': 'rev', 'chapter': '21', 'verse': '19', 'word_num': 26, 'word': 'third', 'occurrence': 1}]","third",1,"τρίτος = third",0.6666666666666666,4,0,0
"467180","mrk","14","41","3",",1447582,",",1224586,1224587,",0,"[{'id': 1447582, 'book_id': 'mrk', 'chapter': '14', 'verse': '41', 'word_num': 3, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τρίτον",1,1,"[{'id': 1224586, 'book_id': 'mrk', 'chapter': '14', 'verse': '41', 'word_num': 4, 'word': 'third', 'occurrence': 1}, {'id': 1224587, 'book_id': 'mrk', 'chapter': '14', 'verse': '41', 'word_num': 5, 'word': 'time', 'occurrence': 1}]","third time",2,"τρίτον = third time",0.08695652173913043,2,0,0
"483729","luk","20","12","3",",1464677,",",1247585,1247586,",0,"[{'id': 1464677, 'book_id': 'luk', 'chapter': '20', 'verse': '12', 'word_num': 2, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,AMS,'}]","τρίτον",1,1,"[{'id': 1247585, 'book_id': 'luk', 'chapter': '20', 'verse': '12', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1247586, 'book_id': 'luk', 'chapter': '20', 'verse': '12', 'word_num': 6, 'word': 'third', 'occurrence': 1}]","a third",2,"τρίτον = a third",0.043478260869565216,1,0,0
"501691","jhn","21","14","2",",1483878,",",1272024,1272025,1272026,1272027,",0,"[{'id': 1483878, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 2, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τρίτον",1,3,"[{'id': 1272024, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 3, 'word': 'the', 'occurrence': 1}, {'id': 1272025, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 4, 'word': 'third', 'occurrence': 1}, {'id': 1272026, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 5, 'word': 'time', 'occurrence': 1}, {'id': 1272027, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 6, 'word': 'that', 'occurrence': 1}]","the third time that",4,"τρίτον = the third time that",0.043478260869565216,1,0,0
"501752","jhn","21","17","2",",1483941,1483942,",",1272122,1272123,1272124,",1,"[{'id': 1483941, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 2, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1483942, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 3, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τὸ τρίτον",2,2,"[{'id': 1272122, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 4, 'word': 'a', 'occurrence': 1}, {'id': 1272123, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 5, 'word': 'third', 'occurrence': 1}, {'id': 1272124, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 6, 'word': 'time', 'occurrence': 1}]","a third time",3,"τὸ τρίτον = a third time",0.08695652173913043,2,0,0
"501762","jhn","21","17","12",",1483953,1483954,",",1272142,1272143,1272144,",1,"[{'id': 1483953, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 14, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1483954, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 15, 'word': 'τρίτον', 'occurrence': 2, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τὸ τρίτον",2,2,"[{'id': 1272142, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 24, 'word': 'a', 'occurrence': 2}, {'id': 1272143, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 25, 'word': 'third', 'occurrence': 2}, {'id': 1272144, 'book_id': 'jhn', 'chapter': '21', 'verse': '17', 'word_num': 26, 'word': 'time', 'occurrence': 2}]","a third time",3,"τὸ τρίτον = a third time",0.08695652173913043,2,0,0
"536998","2co","12","14","7",",1520644,",",1322347,1322348,",0,"[{'id': 1520644, 'book_id': '2co', 'chapter': '12', 'verse': '14', 'word_num': 1, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τρίτον",1,1,"[{'id': 1322347, 'book_id': '2co', 'chapter': '12', 'verse': '14', 'word_num': 9, 'word': 'third', 'occurrence': 1}, {'id': 1322348, 'book_id': '2co', 'chapter': '12', 'verse': '14', 'word_num': 10, 'word': 'time', 'occurrence': 1}]","third time",2,"τρίτον = third time",0.08695652173913043,2,0,0
"537159","2co","13","1","1",",1520803,",",1322599,1322600,1322601,",0,"[{'id': 1520803, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 0, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,NS,,,,ANS,'}]","τρίτον",1,2,"[{'id': 1322599, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1322600, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 3, 'word': 'third', 'occurrence': 1}, {'id': 1322601, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 4, 'word': 'time', 'occurrence': 1}]","the third time",3,"τρίτον = the third time",0.043478260869565216,1,0,0
"564295","rev","4","7","11",",1549305,",",1362195,",0,"[{'id': 1549305, 'book_id': 'rev', 'chapter': '4', 'verse': '7', 'word_num': 15, 'word': 'τρίτον', 'occurrence': 1, 'strong': 'G51540', 'lemma': 'τρίτος', 'morph': 'Gr,EO,,,,NNS,'}]","τρίτον",1,0,"[{'id': 1362195, 'book_id': 'rev', 'chapter': '4', 'verse': '7', 'word_num': 17, 'word': 'third', 'occurrence': 1}]","third",1,"τρίτον = third",0.08695652173913043,2,0,0
