"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"460370","mrk","4","41","2",",1440209,",",1214931,",0,"[{'id': 1440209, 'book_id': 'mrk', 'chapter': '4', 'verse': '41', 'word_num': 2, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","φόβον",1,0,"[{'id': 1214931, 'book_id': 'mrk', 'chapter': '4', 'verse': '41', 'word_num': 4, 'word': 'with', 'occurrence': 1}]","with",1,"φόβον = with",0.06666666666666667,1,0,0
"469681","luk","2","9","11",",1450402,1450403,",",1228436,1228437,",1,"[{'id': 1450402, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 11, 'word': 'ἐφοβήθησαν', 'occurrence': 1, 'strong': 'G53990', 'lemma': 'φοβέω', 'morph': 'Gr,V,IAP3,,P,'}, {'id': 1450403, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 12, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","ἐφοβήθησαν φόβον",2,1,"[{'id': 1228436, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 19, 'word': 'they', 'occurrence': 1}, {'id': 1228437, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 20, 'word': 'were', 'occurrence': 1}]","they were",2,"ἐφοβήθησαν φόβον = they were",0.06666666666666667,1,0,0
"492222","jhn","7","13","7",",1473646,1473647,",",1258962,",1,"[{'id': 1473646, 'book_id': 'jhn', 'chapter': '7', 'verse': '13', 'word_num': 7, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1473647, 'book_id': 'jhn', 'chapter': '7', 'verse': '13', 'word_num': 8, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν φόβον",2,0,"[{'id': 1258962, 'book_id': 'jhn', 'chapter': '7', 'verse': '13', 'word_num': 8, 'word': 'fear', 'occurrence': 1}]","fear",1,"τὸν φόβον = fear",0.3333333333333333,5,0,0
"500766","jhn","19","38","11",",1482901,1482902,",",1270798,",1,"[{'id': 1482901, 'book_id': 'jhn', 'chapter': '19', 'verse': '38', 'word_num': 17, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1482902, 'book_id': 'jhn', 'chapter': '19', 'verse': '38', 'word_num': 18, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν φόβον",2,0,"[{'id': 1270798, 'book_id': 'jhn', 'chapter': '19', 'verse': '38', 'word_num': 14, 'word': 'fear', 'occurrence': 1}]","fear",1,"τὸν φόβον = fear",0.3333333333333333,5,0,0
"501199","jhn","20","19","19",",1483347,1483348,",",1271382,",1,"[{'id': 1483347, 'book_id': 'jhn', 'chapter': '20', 'verse': '19', 'word_num': 18, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1483348, 'book_id': 'jhn', 'chapter': '20', 'verse': '19', 'word_num': 19, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν φόβον",2,0,"[{'id': 1271382, 'book_id': 'jhn', 'chapter': '20', 'verse': '19', 'word_num': 25, 'word': 'fear', 'occurrence': 1}]","fear",1,"τὸν φόβον = fear",0.3333333333333333,5,0,0
"522941","rom","8","15","7",",1505966,",",1301521,",0,"[{'id': 1505966, 'book_id': 'rom', 'chapter': '8', 'verse': '15', 'word_num': 7, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","φόβον",1,0,"[{'id': 1301521, 'book_id': 'rom', 'chapter': '8', 'verse': '15', 'word_num': 16, 'word': 'fear', 'occurrence': 1}]","fear",1,"φόβον = fear",0.3333333333333333,5,0,0
"525049","rom","13","7","11",",1508253,1508254,",",1304783,1304784,1304785,",1,"[{'id': 1508253, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 15, 'word': 'τὸν', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1508254, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 16, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν φόβον",2,2,"[{'id': 1304783, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 23, 'word': 'fear', 'occurrence': 2}, {'id': 1304784, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 24, 'word': 'is', 'occurrence': 4}, {'id': 1304785, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 25, 'word': 'due', 'occurrence': 3}]","fear is due",3,"τὸν φόβον = fear is due",0.06666666666666667,1,0,0
"525047","rom","13","7","9",",1508255,1508256,",",1304780,",1,"[{'id': 1508255, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 17, 'word': 'τὸν', 'occurrence': 4, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1508256, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 18, 'word': 'φόβον', 'occurrence': 2, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν φόβον",2,0,"[{'id': 1304780, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 20, 'word': 'fear', 'occurrence': 1}]","fear",1,"τὸν φόβον = fear",0.3333333333333333,5,0,0
"534518","2co","5","11","3",",1518107,",",1318689,",0,"[{'id': 1518107, 'book_id': '2co', 'chapter': '5', 'verse': '11', 'word_num': 3, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","φόβον",1,0,"[{'id': 1318689, 'book_id': '2co', 'chapter': '5', 'verse': '11', 'word_num': 3, 'word': 'fear', 'occurrence': 1}]","fear",1,"φόβον = fear",0.3333333333333333,5,0,0
"535175","2co","7","11","16",",1518768,",",1319634,",0,"[{'id': 1518768, 'book_id': '2co', 'chapter': '7', 'verse': '11', 'word_num': 17, 'word': 'φόβον', 'occurrence': 1, 'strong': 'G54010', 'lemma': 'φόβος', 'morph': 'Gr,N,,,,,AMS,'}]","φόβον",1,0,"[{'id': 1319634, 'book_id': '2co', 'chapter': '7', 'verse': '11', 'word_num': 28, 'word': 'fear', 'occurrence': 1}]","fear",1,"φόβον = fear",0.3333333333333333,5,0,0
