"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"468900","luk","1","30","10",",1449572,",",1227349,",0,"[{'id': 1449572, 'book_id': 'luk', 'chapter': '1', 'verse': '30', 'word_num': 10, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1227349, 'book_id': 'luk', 'chapter': '1', 'verse': '30', 'word_num': 15, 'word': 'favor', 'occurrence': 1}]","favor",1,"χάριν = favor",0.09523809523809523,4,0,0
"481719","luk","17","9","0",",1462645,1462646,",",1244746,",1,"[{'id': 1462645, 'book_id': 'luk', 'chapter': '17', 'verse': '9', 'word_num': 1, 'word': 'ἔχει', 'occurrence': 1, 'strong': 'G21920', 'lemma': 'ἔχω', 'morph': 'Gr,V,IPA3,,S,'}, {'id': 1462646, 'book_id': 'luk', 'chapter': '17', 'verse': '9', 'word_num': 2, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","ἔχει χάριν",2,0,"[{'id': 1244746, 'book_id': 'luk', 'chapter': '17', 'verse': '9', 'word_num': 0, 'word': 'He', 'occurrence': 1}]","He",1,"ἔχει χάριν = He",0.023809523809523808,1,0,0
"487743","jhn","1","16","9",",1468748,",",1252979,",0,"[{'id': 1468748, 'book_id': 'jhn', 'chapter': '1', 'verse': '16', 'word_num': 9, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1252979, 'book_id': 'jhn', 'chapter': '1', 'verse': '16', 'word_num': 9, 'word': 'grace', 'occurrence': 1}]","grace",1,"χάριν = grace",0.6190476190476191,26,0,0
"503214","act","2","47","4",",1485482,",",1274082,",0,"[{'id': 1485482, 'book_id': 'act', 'chapter': '2', 'verse': '47', 'word_num': 5, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1274082, 'book_id': 'act', 'chapter': '2', 'verse': '47', 'word_num': 4, 'word': 'favor', 'occurrence': 1}]","favor",1,"χάριν = favor",0.09523809523809523,4,0,0
"505601","act","7","10","9",",1487938,",",1277262,",0,"[{'id': 1487938, 'book_id': 'act', 'chapter': '7', 'verse': '10', 'word_num': 11, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1277262, 'book_id': 'act', 'chapter': '7', 'verse': '10', 'word_num': 11, 'word': 'favor', 'occurrence': 1}]","favor",1,"χάριν = favor",0.09523809523809523,4,0,0
"506277","act","7","46","2",",1488627,",",1278173,",0,"[{'id': 1488627, 'book_id': 'act', 'chapter': '7', 'verse': '46', 'word_num': 2, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1278173, 'book_id': 'act', 'chapter': '7', 'verse': '46', 'word_num': 2, 'word': 'favor', 'occurrence': 1}]","favor",1,"χάριν = favor",0.09523809523809523,4,0,0
"509154","act","11","23","6",",1491590,",",1282023,",0,"[{'id': 1491590, 'book_id': 'act', 'chapter': '11', 'verse': '23', 'word_num': 5, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1282023, 'book_id': 'act', 'chapter': '11', 'verse': '23', 'word_num': 6, 'word': 'grace', 'occurrence': 1}]","grace",1,"χάριν = grace",0.6190476190476191,26,0,0
"517495","act","25","3","1",",1500174,",",1293424,1293425,",0,"[{'id': 1500174, 'book_id': 'act', 'chapter': '25', 'verse': '3', 'word_num': 1, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,1,"[{'id': 1293424, 'book_id': 'act', 'chapter': '25', 'verse': '3', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 1293425, 'book_id': 'act', 'chapter': '25', 'verse': '3', 'word_num': 4, 'word': 'favor', 'occurrence': 1}]","a favor",2,"χάριν = a favor",0.047619047619047616,2,0,0
"517604","act","25","9","4",",1500288,",",1293581,1293582,",0,"[{'id': 1500288, 'book_id': 'act', 'chapter': '25', 'verse': '9', 'word_num': 6, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,1,"[{'id': 1293581, 'book_id': 'act', 'chapter': '25', 'verse': '9', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1293582, 'book_id': 'act', 'chapter': '25', 'verse': '9', 'word_num': 6, 'word': 'favor', 'occurrence': 1}]","a favor",2,"χάριν = a favor",0.047619047619047616,2,0,0
"519952","rom","1","5","3",",1502679,",",1296893,",0,"[{'id': 1502679, 'book_id': 'rom', 'chapter': '1', 'verse': '5', 'word_num': 3, 'word': 'χάριν', 'occurrence': 1, 'strong': 'G54850', 'lemma': 'χάρις', 'morph': 'Gr,N,,,,,AFS,'}]","χάριν",1,0,"[{'id': 1296893, 'book_id': 'rom', 'chapter': '1', 'verse': '5', 'word_num': 5, 'word': 'grace', 'occurrence': 1}]","grace",1,"χάριν = grace",0.6190476190476191,26,0,0
