"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"520456","rom","2","4","4",",1503233,1503234,",",1297651,",1,"[{'id': 1503233, 'book_id': 'rom', 'chapter': '2', 'verse': '4', 'word_num': 3, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1503234, 'book_id': 'rom', 'chapter': '2', 'verse': '4', 'word_num': 4, 'word': 'χρηστότητος', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς χρηστότητος",2,0,"[{'id': 1297651, 'book_id': 'rom', 'chapter': '2', 'verse': '4', 'word_num': 9, 'word': 'of', 'occurrence': 2}]","of",1,"τῆς χρηστότητος = of",0.1,0,0
"520960","rom","3","12","9",",1503800,",",1298491,",0,"[{'id': 1503800, 'book_id': 'rom', 'chapter': '3', 'verse': '12', 'word_num': 7, 'word': 'χρηστότητα', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,AFS,'}]","χρηστότητα",1,0,"[{'id': 1298491, 'book_id': 'rom', 'chapter': '3', 'verse': '12', 'word_num': 16, 'word': 'good', 'occurrence': 1}]","good",1,"χρηστότητα = good",0.1,0,0
"524442","rom","11","22","2",",1507579,",",1303830,1303831,1303832,",0,"[{'id': 1507579, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 2, 'word': 'χρηστότητα', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,AFS,'}]","χρηστότητα",1,2,"[{'id': 1303830, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 3, 'word': 'the', 'occurrence': 1}, {'id': 1303831, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 4, 'word': 'kind', 'occurrence': 1}, {'id': 1303832, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 5, 'word': 'actions', 'occurrence': 1}]","the kind actions",3,"χρηστότητα = the kind actions",0.1,0,0
"524451","rom","11","22","11",",1507591,",",1303847,",0,"[{'id': 1507591, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 14, 'word': 'χρηστότης', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,NFS,'}]","χρηστότης",1,0,"[{'id': 1303847, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 20, 'word': 'kindness', 'occurrence': 1}]","kindness",1,"χρηστότης = kindness",0.3,0,0
"524456","rom","11","22","16",",1507595,1507596,",",1303855,1303856,",1,"[{'id': 1507595, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 18, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1507596, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 19, 'word': 'χρηστότητι', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ χρηστότητι",2,1,"[{'id': 1303855, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 28, 'word': 'his', 'occurrence': 1}, {'id': 1303856, 'book_id': 'rom', 'chapter': '11', 'verse': '22', 'word_num': 29, 'word': 'kindness', 'occurrence': 2}]","his kindness",2,"τῇ χρηστότητι = his kindness",0.1,0,0
"534780","2co","6","6","7",",1518372,",",1319082,",0,"[{'id': 1518372, 'book_id': '2co', 'chapter': '6', 'verse': '6', 'word_num': 7, 'word': 'χρηστότητι', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,DFS,'}]","χρηστότητι",1,0,"[{'id': 1319082, 'book_id': '2co', 'chapter': '6', 'verse': '6', 'word_num': 7, 'word': 'kindness', 'occurrence': 1}]","kindness",1,"χρηστότητι = kindness",0.1,0,0
"539234","gal","5","22","10",",1522959,",",1325820,",0,"[{'id': 1522959, 'book_id': 'gal', 'chapter': '5', 'verse': '22', 'word_num': 10, 'word': 'χρηστότης', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,NFS,'}]","χρηστότης",1,0,"[{'id': 1325820, 'book_id': 'gal', 'chapter': '5', 'verse': '22', 'word_num': 11, 'word': 'kindness', 'occurrence': 1}]","kindness",1,"χρηστότης = kindness",0.3,0,0
"540035","eph","2","7","14",",1523783,",",1326916,1326917,",0,"[{'id': 1523783, 'book_id': 'eph', 'chapter': '2', 'verse': '7', 'word_num': 14, 'word': 'χρηστότητι', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,DFS,'}]","χρηστότητι",1,1,"[{'id': 1326916, 'book_id': 'eph', 'chapter': '2', 'verse': '7', 'word_num': 19, 'word': 'his', 'occurrence': 2}, {'id': 1326917, 'book_id': 'eph', 'chapter': '2', 'verse': '7', 'word_num': 20, 'word': 'kindness', 'occurrence': 1}]","his kindness",2,"χρηστότητι = his kindness",0.1,0,0
"544502","col","3","12","10",",1528400,",",1333170,",0,"[{'id': 1528400, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 11, 'word': 'χρηστότητα', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,AFS,'}]","χρηστότητα",1,0,"[{'id': 1333170, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 15, 'word': 'kindness', 'occurrence': 1}]","kindness",1,"χρηστότητα = kindness",0.1,0,0
"550482","tit","3","4","3",",1534506,",",1341571,",0,"[{'id': 1534506, 'book_id': 'tit', 'chapter': '3', 'verse': '4', 'word_num': 3, 'word': 'χρηστότης', 'occurrence': 1, 'strong': 'G55440', 'lemma': 'χρηστότης', 'morph': 'Gr,N,,,,,NFS,'}]","χρηστότης",1,0,"[{'id': 1341571, 'book_id': 'tit', 'chapter': '3', 'verse': '4', 'word_num': 3, 'word': 'kindness', 'occurrence': 1}]","kindness",1,"χρηστότης = kindness",0.3,0,0
