"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"461654","mrk","6","36","11",",1441583,",",1216720,1216721,",0,"[{'id': 1441583, 'book_id': 'mrk', 'chapter': '6', 'verse': '36', 'word_num': 10, 'word': 'ἀγοράσωσιν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,SAA3,,P,'}]","ἀγοράσωσιν",1,1,"[{'id': 1216720, 'book_id': 'mrk', 'chapter': '6', 'verse': '36', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1216721, 'book_id': 'mrk', 'chapter': '6', 'verse': '36', 'word_num': 15, 'word': 'buy', 'occurrence': 1}]","to buy",2,"ἀγοράσωσιν = to buy",0.5,1,0,0
"489392","jhn","4","8","8",",1470550,",",1255156,",0,"[{'id': 1470550, 'book_id': 'jhn', 'chapter': '4', 'verse': '8', 'word_num': 10, 'word': 'ἀγοράσωσιν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,SAA3,,P,'}]","ἀγοράσωσιν",1,0,"[{'id': 1255156, 'book_id': 'jhn', 'chapter': '4', 'verse': '8', 'word_num': 10, 'word': 'buy', 'occurrence': 1}]","buy",1,"ἀγοράσωσιν = buy",0.5,1,0,0
"461670","mrk","6","37","12",",1441600,",",1216747,1216748,",0,"[{'id': 1441600, 'book_id': 'mrk', 'chapter': '6', 'verse': '37', 'word_num': 13, 'word': 'ἀγοράσωμεν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,SAA1,,P,'}]","ἀγοράσωμεν",1,1,"[{'id': 1216747, 'book_id': 'mrk', 'chapter': '6', 'verse': '37', 'word_num': 20, 'word': 'and', 'occurrence': 2}, {'id': 1216748, 'book_id': 'mrk', 'chapter': '6', 'verse': '37', 'word_num': 21, 'word': 'buy', 'occurrence': 1}]","and buy",2,"ἀγοράσωμεν = and buy",0.6666666666666666,2,0,0
"475575","luk","9","13","24",",1456362,",",1236377,1236378,",0,"[{'id': 1456362, 'book_id': 'luk', 'chapter': '9', 'verse': '13', 'word_num': 25, 'word': 'ἀγοράσωμεν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,SAA1,,P,'}]","ἀγοράσωμεν",1,1,"[{'id': 1236377, 'book_id': 'luk', 'chapter': '9', 'verse': '13', 'word_num': 31, 'word': 'and', 'occurrence': 2}, {'id': 1236378, 'book_id': 'luk', 'chapter': '9', 'verse': '13', 'word_num': 32, 'word': 'buy', 'occurrence': 1}]","and buy",2,"ἀγοράσωμεν = and buy",0.6666666666666666,2,0,0
"490966","jhn","6","5","18",",1472265,",",1257290,1257291,1257292,1257293,1257294,",0,"[{'id': 1472265, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 18, 'word': 'ἀγοράσωμεν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,SAA1,,P,'}]","ἀγοράσωμεν",1,4,"[{'id': 1257290, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 21, 'word': 'are', 'occurrence': 1}, {'id': 1257291, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 22, 'word': 'we', 'occurrence': 1}, {'id': 1257292, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 23, 'word': 'going', 'occurrence': 1}, {'id': 1257293, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 24, 'word': 'to', 'occurrence': 3}, {'id': 1257294, 'book_id': 'jhn', 'chapter': '6', 'verse': '5', 'word_num': 25, 'word': 'buy', 'occurrence': 1}]","are we going to buy",5,"ἀγοράσωμεν = are we going to buy",0.3333333333333333,1,0,0
"464967","mrk","11","15","13",",1445174,1445175,",",1221436,1221437,1221438,1221439,",1,"[{'id': 1445174, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 14, 'word': 'τοὺς', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,AMP,'}, {'id': 1445175, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 15, 'word': 'ἀγοράζοντας', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,PPA,AMP,'}]","τοὺς ἀγοράζοντας",2,3,"[{'id': 1221436, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 21, 'word': 'those', 'occurrence': 2}, {'id': 1221437, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 22, 'word': 'who', 'occurrence': 2}, {'id': 1221438, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 23, 'word': 'were', 'occurrence': 2}, {'id': 1221439, 'book_id': 'mrk', 'chapter': '11', 'verse': '15', 'word_num': 24, 'word': 'buying', 'occurrence': 1}]","those who were buying",4,"τοὺς ἀγοράζοντας = those who were buying",1.0,1,0,0
"468251","mrk","15","46","1",",1448739,",",1226155,1226156,1226157,",0,"[{'id': 1448739, 'book_id': 'mrk', 'chapter': '15', 'verse': '46', 'word_num': 1, 'word': 'ἀγοράσας', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,PAA,NMS,'}]","ἀγοράσας",1,2,"[{'id': 1226155, 'book_id': 'mrk', 'chapter': '15', 'verse': '46', 'word_num': 1, 'word': 'Joseph', 'occurrence': 1}, {'id': 1226156, 'book_id': 'mrk', 'chapter': '15', 'verse': '46', 'word_num': 2, 'word': 'had', 'occurrence': 1}, {'id': 1226157, 'book_id': 'mrk', 'chapter': '15', 'verse': '46', 'word_num': 3, 'word': 'bought', 'occurrence': 1}]","Joseph had bought",3,"ἀγοράσας = Joseph had bought",1.0,1,0,0
"468297","mrk","16","1","11",",1448790,",",1226228,",0,"[{'id': 1448790, 'book_id': 'mrk', 'chapter': '16', 'verse': '1', 'word_num': 14, 'word': 'ἠγόρασαν', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,IAA3,,P,'}]","ἠγόρασαν",1,0,"[{'id': 1226228, 'book_id': 'mrk', 'chapter': '16', 'verse': '1', 'word_num': 15, 'word': 'bought', 'occurrence': 1}]","bought",1,"ἠγόρασαν = bought",1.0,1,0,0
"480138","luk","14","18","10",",1461028,",",1242586,1242587,1242588,",0,"[{'id': 1461028, 'book_id': 'luk', 'chapter': '14', 'verse': '18', 'word_num': 11, 'word': 'ἠγόρασα', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,IAA1,,S,'}]","ἠγόρασα",1,2,"[{'id': 1242586, 'book_id': 'luk', 'chapter': '14', 'verse': '18', 'word_num': 13, 'word': 'I', 'occurrence': 1}, {'id': 1242587, 'book_id': 'luk', 'chapter': '14', 'verse': '18', 'word_num': 14, 'word': 'have', 'occurrence': 1}, {'id': 1242588, 'book_id': 'luk', 'chapter': '14', 'verse': '18', 'word_num': 15, 'word': 'bought', 'occurrence': 1}]","I have bought",3,"ἠγόρασα = I have bought",1.0,2,0,0
"480151","luk","14","19","3",",1461045,",",1242607,1242608,1242609,",0,"[{'id': 1461045, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 5, 'word': 'ἠγόρασα', 'occurrence': 1, 'strong': 'G00590', 'lemma': 'ἀγοράζω', 'morph': 'Gr,V,IAA1,,S,'}]","ἠγόρασα",1,2,"[{'id': 1242607, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 3, 'word': 'I', 'occurrence': 1}, {'id': 1242608, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 4, 'word': 'have', 'occurrence': 1}, {'id': 1242609, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 5, 'word': 'bought', 'occurrence': 1}]","I have bought",3,"ἠγόρασα = I have bought",1.0,2,0,0
