"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"476764","luk","10","19","19",",1457603,",",1237941,",0,"[{'id': 1457603, 'book_id': 'luk', 'chapter': '10', 'verse': '19', 'word_num': 23, 'word': 'ἀδικήσῃ', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,SAA3,,S,'}]","ἀδικήσῃ",1,0,"[{'id': 1237941, 'book_id': 'luk', 'chapter': '10', 'verse': '19', 'word_num': 22, 'word': 'will', 'occurrence': 1}]","will",1,"ἀδικήσῃ = will",0.037037037037037035,0,0
"505820","act","7","24","2",",1488170,",",1277544,1277545,",0,"[{'id': 1488170, 'book_id': 'act', 'chapter': '7', 'verse': '24', 'word_num': 3, 'word': 'ἀδικούμενον', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PPP,AMS,'}]","ἀδικούμενον",1,1,"[{'id': 1277544, 'book_id': 'act', 'chapter': '7', 'verse': '24', 'word_num': 4, 'word': 'being', 'occurrence': 1}, {'id': 1277545, 'book_id': 'act', 'chapter': '7', 'verse': '24', 'word_num': 5, 'word': 'mistreated', 'occurrence': 1}]","being mistreated",2,"ἀδικούμενον = being mistreated",0.037037037037037035,0,0
"505864","act","7","26","18",",1488216,",",1277611,1277612,1277613,",0,"[{'id': 1488216, 'book_id': 'act', 'chapter': '7', 'verse': '26', 'word_num': 18, 'word': 'ἀδικεῖτε', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IPA2,,P,'}]","ἀδικεῖτε",1,2,"[{'id': 1277611, 'book_id': 'act', 'chapter': '7', 'verse': '26', 'word_num': 28, 'word': 'you', 'occurrence': 2}, {'id': 1277612, 'book_id': 'act', 'chapter': '7', 'verse': '26', 'word_num': 29, 'word': 'are', 'occurrence': 2}, {'id': 1277613, 'book_id': 'act', 'chapter': '7', 'verse': '26', 'word_num': 30, 'word': 'hurting', 'occurrence': 1}]","you are hurting",3,"ἀδικεῖτε = you are hurting",0.037037037037037035,0,0
"505868","act","7","27","2",",1488220,",",1277619,1277620,1277621,",0,"[{'id': 1488220, 'book_id': 'act', 'chapter': '7', 'verse': '27', 'word_num': 2, 'word': 'ἀδικῶν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PPA,NMS,'}]","ἀδικῶν",1,2,"[{'id': 1277619, 'book_id': 'act', 'chapter': '7', 'verse': '27', 'word_num': 3, 'word': 'who', 'occurrence': 1}, {'id': 1277620, 'book_id': 'act', 'chapter': '7', 'verse': '27', 'word_num': 4, 'word': 'had', 'occurrence': 1}, {'id': 1277621, 'book_id': 'act', 'chapter': '7', 'verse': '27', 'word_num': 5, 'word': 'wronged', 'occurrence': 1}]","who had wronged",3,"ἀδικῶν = who had wronged",0.037037037037037035,0,0
"517635","act","25","10","13",",1500320,",",1293625,1293626,1293627,",0,"[{'id': 1500320, 'book_id': 'act', 'chapter': '25', 'verse': '10', 'word_num': 16, 'word': 'ἠδίκησα', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IAA1,,S,'}]","ἠδίκησα",1,2,"[{'id': 1293625, 'book_id': 'act', 'chapter': '25', 'verse': '10', 'word_num': 17, 'word': 'I', 'occurrence': 3}, {'id': 1293626, 'book_id': 'act', 'chapter': '25', 'verse': '10', 'word_num': 18, 'word': 'have', 'occurrence': 1}, {'id': 1293627, 'book_id': 'act', 'chapter': '25', 'verse': '10', 'word_num': 19, 'word': 'done', 'occurrence': 1}]","I have done",3,"ἠδίκησα = I have done",0.037037037037037035,0,0
"517646","act","25","11","2",",1500329,",",1293642,1293643,1293644,1293645,",0,"[{'id': 1500329, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 3, 'word': 'ἀδικῶ', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IPA1,,S,'}]","ἀδικῶ",1,3,"[{'id': 1293642, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 2, 'word': 'I', 'occurrence': 1}, {'id': 1293643, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 3, 'word': 'have', 'occurrence': 1}, {'id': 1293644, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 4, 'word': 'done', 'occurrence': 1}, {'id': 1293645, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 5, 'word': 'wrong', 'occurrence': 1}]","I have done wrong",4,"ἀδικῶ = I have done wrong",0.037037037037037035,0,0
"528143","1co","6","7","17",",1511538,",",1309345,1309346,",0,"[{'id': 1511538, 'book_id': '1co', 'chapter': '6', 'verse': '7', 'word_num': 16, 'word': 'ἀδικεῖσθε', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IPP2,,P,'}]","ἀδικεῖσθε",1,1,"[{'id': 1309345, 'book_id': '1co', 'chapter': '6', 'verse': '7', 'word_num': 19, 'word': 'suffer', 'occurrence': 1}, {'id': 1309346, 'book_id': '1co', 'chapter': '6', 'verse': '7', 'word_num': 20, 'word': 'wrong', 'occurrence': 1}]","suffer wrong",2,"ἀδικεῖσθε = suffer wrong",0.037037037037037035,0,0
"528150","1co","6","8","2",",1511546,",",1309354,1309355,",0,"[{'id': 1511546, 'book_id': '1co', 'chapter': '6', 'verse': '8', 'word_num': 2, 'word': 'ἀδικεῖτε', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IPA2,,P,'}]","ἀδικεῖτε",1,1,"[{'id': 1309354, 'book_id': '1co', 'chapter': '6', 'verse': '8', 'word_num': 2, 'word': 'do', 'occurrence': 1}, {'id': 1309355, 'book_id': '1co', 'chapter': '6', 'verse': '8', 'word_num': 3, 'word': 'wrong', 'occurrence': 1}]","do wrong",2,"ἀδικεῖτε = do wrong",0.037037037037037035,0,0
"534992","2co","7","2","2",",1518581,",",1319365,1319366,1319367,",0,"[{'id': 1518581, 'book_id': '2co', 'chapter': '7', 'verse': '2', 'word_num': 3, 'word': 'ἠδικήσαμεν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IAA1,,P,'}]","ἠδικήσαμεν",1,2,"[{'id': 1319365, 'book_id': '2co', 'chapter': '7', 'verse': '2', 'word_num': 4, 'word': 'We', 'occurrence': 1}, {'id': 1319366, 'book_id': '2co', 'chapter': '7', 'verse': '2', 'word_num': 5, 'word': 'have', 'occurrence': 1}, {'id': 1319367, 'book_id': '2co', 'chapter': '7', 'verse': '2', 'word_num': 6, 'word': 'wronged', 'occurrence': 1}]","We have wronged",3,"ἠδικήσαμεν = We have wronged",0.037037037037037035,0,0
"535197","2co","7","12","7",",1518790,1518791,",",1319670,1319671,1319672,1319673,1319674,",1,"[{'id': 1518790, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 7, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GMS,'}, {'id': 1518791, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 8, 'word': 'ἀδικήσαντος', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PAA,GMS,'}]","τοῦ ἀδικήσαντος",2,4,"[{'id': 1319670, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 14, 'word': 'the', 'occurrence': 2}, {'id': 1319671, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 15, 'word': 'one', 'occurrence': 1}, {'id': 1319672, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 16, 'word': 'who', 'occurrence': 1}, {'id': 1319673, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 17, 'word': 'did', 'occurrence': 1}, {'id': 1319674, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 18, 'word': 'wrong', 'occurrence': 1}]","the one who did wrong",5,"τοῦ ἀδικήσαντος = the one who did wrong",0.037037037037037035,0,0
