"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458400","mrk","1","23","8",",1438128,",",1212185,",0,"[{'id': 1438128, 'book_id': 'mrk', 'chapter': '1', 'verse': '23', 'word_num': 10, 'word': 'ἀκαθάρτῳ', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,DNS,'}]","ἀκαθάρτῳ",1,0,"[{'id': 1212185, 'book_id': 'mrk', 'chapter': '1', 'verse': '23', 'word_num': 11, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκαθάρτῳ = unclean",0.4,2,0,0
"460412","mrk","5","2","10",",1440255,",",1214981,",0,"[{'id': 1440255, 'book_id': 'mrk', 'chapter': '5', 'verse': '2', 'word_num': 15, 'word': 'ἀκαθάρτῳ', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,DNS,'}]","ἀκαθάρτῳ",1,0,"[{'id': 1214981, 'book_id': 'mrk', 'chapter': '5', 'verse': '2', 'word_num': 13, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκαθάρτῳ = unclean",0.4,2,0,0
"463519","mrk","9","25","9",",1443586,1443587,",",1219311,",1,"[{'id': 1443586, 'book_id': 'mrk', 'chapter': '9', 'verse': '25', 'word_num': 10, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1443587, 'book_id': 'mrk', 'chapter': '9', 'verse': '25', 'word_num': 11, 'word': 'ἀκαθάρτῳ', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ ἀκαθάρτῳ",2,0,"[{'id': 1219311, 'book_id': 'mrk', 'chapter': '9', 'verse': '25', 'word_num': 14, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τῷ ἀκαθάρτῳ = unclean",0.6,3,0,0
"474820","luk","8","29","3",",1455612,1455613,",",1235379,",1,"[{'id': 1455612, 'book_id': 'luk', 'chapter': '8', 'verse': '29', 'word_num': 4, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1455613, 'book_id': 'luk', 'chapter': '8', 'verse': '29', 'word_num': 5, 'word': 'ἀκαθάρτῳ', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ ἀκαθάρτῳ",2,0,"[{'id': 1235379, 'book_id': 'luk', 'chapter': '8', 'verse': '29', 'word_num': 5, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τῷ ἀκαθάρτῳ = unclean",0.6,3,0,0
"476106","luk","9","42","15",",1456907,1456908,",",1237086,",1,"[{'id': 1456907, 'book_id': 'luk', 'chapter': '9', 'verse': '42', 'word_num': 16, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1456908, 'book_id': 'luk', 'chapter': '9', 'verse': '42', 'word_num': 17, 'word': 'ἀκαθάρτῳ', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ ἀκαθάρτῳ",2,0,"[{'id': 1237086, 'book_id': 'luk', 'chapter': '9', 'verse': '42', 'word_num': 19, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τῷ ἀκαθάρτῳ = unclean",0.6,3,0,0
"458431","mrk","1","26","2",",1438165,1438166,",",1212234,",1,"[{'id': 1438165, 'book_id': 'mrk', 'chapter': '1', 'verse': '26', 'word_num': 5, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1438166, 'book_id': 'mrk', 'chapter': '1', 'verse': '26', 'word_num': 6, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,NNS,'}]","τὸ ἀκάθαρτον",2,0,"[{'id': 1212234, 'book_id': 'mrk', 'chapter': '1', 'verse': '26', 'word_num': 2, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τὸ ἀκάθαρτον = unclean",0.25,2,0,0
"459650","mrk","3","30","4",",1439461,",",1213945,",0,"[{'id': 1439461, 'book_id': 'mrk', 'chapter': '3', 'verse': '30', 'word_num': 3, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,ANS,'}]","ἀκάθαρτον",1,0,"[{'id': 1213945, 'book_id': 'mrk', 'chapter': '3', 'verse': '30', 'word_num': 7, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"460509","mrk","5","8","8",",1440351,1440352,",",1215125,",1,"[{'id': 1440351, 'book_id': 'mrk', 'chapter': '5', 'verse': '8', 'word_num': 6, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,VNS,'}, {'id': 1440352, 'book_id': 'mrk', 'chapter': '5', 'verse': '8', 'word_num': 7, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,VNS,'}]","τὸ ἀκάθαρτον",2,0,"[{'id': 1215125, 'book_id': 'mrk', 'chapter': '5', 'verse': '8', 'word_num': 13, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τὸ ἀκάθαρτον = unclean",0.25,2,0,0
"462331","mrk","7","25","7",",1442309,",",1217649,",0,"[{'id': 1442309, 'book_id': 'mrk', 'chapter': '7', 'verse': '25', 'word_num': 12, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,ANS,'}]","ἀκάθαρτον",1,0,"[{'id': 1217649, 'book_id': 'mrk', 'chapter': '7', 'verse': '25', 'word_num': 11, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"477587","luk","11","24","2",",1458455,",",1239073,",0,"[{'id': 1458455, 'book_id': 'luk', 'chapter': '11', 'verse': '24', 'word_num': 2, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,NNS,'}]","ἀκάθαρτον",1,0,"[{'id': 1239073, 'book_id': 'luk', 'chapter': '11', 'verse': '24', 'word_num': 2, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"508175","act","10","14","12",",1490571,",",1280704,",0,"[{'id': 1490571, 'book_id': 'act', 'chapter': '10', 'verse': '14', 'word_num': 12, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,NS,,,,ANS,'}]","ἀκάθαρτον",1,0,"[{'id': 1280704, 'book_id': 'act', 'chapter': '10', 'verse': '14', 'word_num': 16, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"508419","act","10","28","27",",1490820,",",1281049,",0,"[{'id': 1490820, 'book_id': 'act', 'chapter': '10', 'verse': '28', 'word_num': 22, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,NS,,,,AMS,'}]","ἀκάθαρτον",1,0,"[{'id': 1281049, 'book_id': 'act', 'chapter': '10', 'verse': '28', 'word_num': 39, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"508888","act","11","8","8",",1491307,",",1281680,",0,"[{'id': 1491307, 'book_id': 'act', 'chapter': '11', 'verse': '8', 'word_num': 7, 'word': 'ἀκάθαρτον', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,NS,,,,NNS,'}]","ἀκάθαρτον",1,0,"[{'id': 1281680, 'book_id': 'act', 'chapter': '11', 'verse': '8', 'word_num': 10, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκάθαρτον = unclean",0.75,6,0,0
"458462","mrk","1","27","18",",1438192,1438193,",",1212274,",1,"[{'id': 1438192, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 18, 'word': 'τοῖς', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNP,'}, {'id': 1438193, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 19, 'word': 'ἀκαθάρτοις', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,DNP,'}]","τοῖς ἀκαθάρτοις",2,0,"[{'id': 1212274, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 23, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τοῖς ἀκαθάρτοις = unclean",0.5,1,0,0
"471543","luk","4","36","16",",1452312,",",1230913,",0,"[{'id': 1452312, 'book_id': 'luk', 'chapter': '4', 'verse': '36', 'word_num': 21, 'word': 'ἀκαθάρτοις', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AA,,,,DNP,'}]","ἀκαθάρτοις",1,0,"[{'id': 1230913, 'book_id': 'luk', 'chapter': '4', 'verse': '36', 'word_num': 21, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"ἀκαθάρτοις = unclean",0.5,1,0,0
"459395","mrk","3","11","2",",1439174,1439175,",",1213591,",1,"[{'id': 1439174, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 3, 'word': 'τὰ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1439175, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 4, 'word': 'ἀκάθαρτα', 'occurrence': 1, 'strong': 'G01690', 'lemma': 'ἀκάθαρτος', 'morph': 'Gr,AR,,,,NNP,'}]","τὰ ἀκάθαρτα",2,0,"[{'id': 1213591, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 2, 'word': 'unclean', 'occurrence': 1}]","unclean",1,"τὰ ἀκάθαρτα = unclean",0.4,2,0,0
