"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"467619","mrk","14","70","11",",1448050,",",1225206,",0,"[{'id': 1448050, 'book_id': 'mrk', 'chapter': '14', 'verse': '70', 'word_num': 13, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1225206, 'book_id': 'mrk', 'chapter': '14', 'verse': '70', 'word_num': 19, 'word': 'Surely', 'occurrence': 1}]","Surely",1,"ἀληθῶς = Surely",0.06666666666666667,1,0,0
"468147","mrk","15","39","11",",1448625,",",1226007,",0,"[{'id': 1448625, 'book_id': 'mrk', 'chapter': '15', 'verse': '39', 'word_num': 13, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1226007, 'book_id': 'mrk', 'chapter': '15', 'verse': '39', 'word_num': 21, 'word': 'Truly', 'occurrence': 1}]","Truly",1,"ἀληθῶς = Truly",0.2,3,0,0
"475817","luk","9","27","3",",1456608,",",1236705,",0,"[{'id': 1456608, 'book_id': 'luk', 'chapter': '9', 'verse': '27', 'word_num': 3, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1236705, 'book_id': 'luk', 'chapter': '9', 'verse': '27', 'word_num': 5, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"478877","luk","12","44","0",",1459772,",",1240847,",0,"[{'id': 1459772, 'book_id': 'luk', 'chapter': '12', 'verse': '44', 'word_num': 0, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1240847, 'book_id': 'luk', 'chapter': '12', 'verse': '44', 'word_num': 0, 'word': 'Truly', 'occurrence': 1}]","Truly",1,"ἀληθῶς = Truly",0.2,3,0,0
"484275","luk","21","3","2",",1465224,",",1248325,",0,"[{'id': 1465224, 'book_id': 'luk', 'chapter': '21', 'verse': '3', 'word_num': 2, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1248325, 'book_id': 'luk', 'chapter': '21', 'verse': '3', 'word_num': 3, 'word': 'Truly', 'occurrence': 1}]","Truly",1,"ἀληθῶς = Truly",0.2,3,0,0
"488226","jhn","1","47","12",",1469270,",",1253616,",0,"[{'id': 1469270, 'book_id': 'jhn', 'chapter': '1', 'verse': '47', 'word_num': 13, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1253616, 'book_id': 'jhn', 'chapter': '1', 'verse': '47', 'word_num': 12, 'word': 'true', 'occurrence': 1}]","true",1,"ἀληθῶς = true",0.06666666666666667,1,0,0
"489951","jhn","4","42","16",",1471150,",",1255899,",0,"[{'id': 1471150, 'book_id': 'jhn', 'chapter': '4', 'verse': '42', 'word_num': 19, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1255899, 'book_id': 'jhn', 'chapter': '4', 'verse': '42', 'word_num': 26, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"ἀληθῶς = indeed",0.2,3,0,0
"491099","jhn","6","14","11",",1472407,",",1257492,",0,"[{'id': 1472407, 'book_id': 'jhn', 'chapter': '6', 'verse': '14', 'word_num': 11, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1257492, 'book_id': 'jhn', 'chapter': '6', 'verse': '14', 'word_num': 13, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"492416","jhn","7","26","10",",1473846,",",1259218,",0,"[{'id': 1473846, 'book_id': 'jhn', 'chapter': '7', 'verse': '26', 'word_num': 9, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1259218, 'book_id': 'jhn', 'chapter': '7', 'verse': '26', 'word_num': 14, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"ἀληθῶς = indeed",0.2,3,0,0
"492690","jhn","7","40","10",",1474114,",",1259568,",0,"[{'id': 1474114, 'book_id': 'jhn', 'chapter': '7', 'verse': '40', 'word_num': 11, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1259568, 'book_id': 'jhn', 'chapter': '7', 'verse': '40', 'word_num': 13, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"ἀληθῶς = indeed",0.2,3,0,0
"493212","jhn","8","31","15",",1474832,",",1260457,",0,"[{'id': 1474832, 'book_id': 'jhn', 'chapter': '8', 'verse': '31', 'word_num': 17, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1260457, 'book_id': 'jhn', 'chapter': '8', 'verse': '31', 'word_num': 19, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"499018","jhn","17","8","11",",1481025,",",1268392,",0,"[{'id': 1481025, 'book_id': 'jhn', 'chapter': '17', 'verse': '8', 'word_num': 13, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1268392, 'book_id': 'jhn', 'chapter': '17', 'verse': '8', 'word_num': 15, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"509498","act","12","11","8",",1491943,",",1282494,",0,"[{'id': 1491943, 'book_id': 'act', 'chapter': '12', 'verse': '11', 'word_num': 9, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1282494, 'book_id': 'act', 'chapter': '12', 'verse': '11', 'word_num': 9, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"545379","1th","2","13","23",",1529338,",",1334395,",0,"[{'id': 1529338, 'book_id': '1th', 'chapter': '2', 'verse': '13', 'word_num': 23, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1334395, 'book_id': '1th', 'chapter': '2', 'verse': '13', 'word_num': 33, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
"560179","1jn","2","5","6",",1544762,",",1356374,",0,"[{'id': 1544762, 'book_id': '1jn', 'chapter': '2', 'verse': '5', 'word_num': 7, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1356374, 'book_id': '1jn', 'chapter': '2', 'verse': '5', 'word_num': 7, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἀληθῶς = truly",0.4666666666666667,7,0,0
