"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"188421","mat","13","58","7",",1151545,1151546,",",829933,",1,"[{'id': 1151545, 'book_id': 'mat', 'chapter': '13', 'verse': '58', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1151546, 'book_id': 'mat', 'chapter': '13', 'verse': '58', 'word_num': 8, 'word': 'ἀπιστίαν', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπιστίαν",2,0,"[{'id': 829933, 'book_id': 'mat', 'chapter': '13', 'verse': '58', 'word_num': 10, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"τὴν ἀπιστίαν = unbelief",0.2,0,0
"200886","mrk","6","6","4",",1165127,1165128,",",847704,",1,"[{'id': 1165127, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 3, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1165128, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 4, 'word': 'ἀπιστίαν', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπιστίαν",2,0,"[{'id': 847704, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 6, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"τὴν ἀπιστίαν = unbelief",0.2,0,0
"203235","mrk","9","24","10",",1167650,1167651,",",850964,",1,"[{'id': 1167650, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 11, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1167651, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 12, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ ἀπιστίᾳ",2,0,"[{'id': 850964, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 14, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"τῇ ἀπιστίᾳ = unbelief",0.1,0,0
"260562","rom","3","3","7",",1227728,1227729,",",929947,",1,"[{'id': 1227728, 'book_id': 'rom', 'chapter': '3', 'verse': '3', 'word_num': 6, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1227729, 'book_id': 'rom', 'chapter': '3', 'verse': '3', 'word_num': 7, 'word': 'ἀπιστία', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ ἀπιστία",2,0,"[{'id': 929947, 'book_id': 'rom', 'chapter': '3', 'verse': '3', 'word_num': 10, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"ἡ ἀπιστία = unbelief",0.1,0,0
"261214","rom","4","20","7",",1228462,1228463,",",930997,930998,",1,"[{'id': 1228462, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 8, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1228463, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 9, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ ἀπιστίᾳ",2,1,"[{'id': 930997, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 10, 'word': 'in', 'occurrence': 1}, {'id': 930998, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 11, 'word': 'unbelief', 'occurrence': 1}]","in unbelief",2,"τῇ ἀπιστίᾳ = in unbelief",0.1,0,0
"264144","rom","11","20","2",",1231628,",",935459,",0,"[{'id': 1231628, 'book_id': 'rom', 'chapter': '11', 'verse': '20', 'word_num': 2, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","ἀπιστίᾳ",1,0,"[{'id': 935459, 'book_id': 'rom', 'chapter': '11', 'verse': '20', 'word_num': 6, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"ἀπιστίᾳ = unbelief",0.3,0,0
"264194","rom","11","23","7",",1231683,",",935542,",0,"[{'id': 1231683, 'book_id': 'rom', 'chapter': '11', 'verse': '23', 'word_num': 6, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","ἀπιστίᾳ",1,0,"[{'id': 935542, 'book_id': 'rom', 'chapter': '11', 'verse': '23', 'word_num': 10, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"ἀπιστίᾳ = unbelief",0.3,0,0
"287057","1ti","1","13","14",",1255451,",",968812,",0,"[{'id': 1255451, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 14, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","ἀπιστίᾳ",1,0,"[{'id': 968812, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 23, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"ἀπιστίᾳ = unbelief",0.3,0,0
"291400","heb","3","12","12",",1259834,",",975008,975009,",0,"[{'id': 1259834, 'book_id': 'heb', 'chapter': '3', 'verse': '12', 'word_num': 9, 'word': 'ἀπιστίας', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,GFS,'}]","ἀπιστίας",1,1,"[{'id': 975008, 'book_id': 'heb', 'chapter': '3', 'verse': '12', 'word_num': 16, 'word': 'of', 'occurrence': 2}, {'id': 975009, 'book_id': 'heb', 'chapter': '3', 'verse': '12', 'word_num': 17, 'word': 'unbelief', 'occurrence': 1}]","of unbelief",2,"ἀπιστίας = of unbelief",0.1,0,0
"291500","heb","3","19","7",",1259941,",",975156,",0,"[{'id': 1259941, 'book_id': 'heb', 'chapter': '3', 'verse': '19', 'word_num': 7, 'word': 'ἀπιστίαν', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,AFS,'}]","ἀπιστίαν",1,0,"[{'id': 975156, 'book_id': 'heb', 'chapter': '3', 'verse': '19', 'word_num': 11, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"ἀπιστίαν = unbelief",0.1,0,0
