"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465513","mrk","12","17","3",",1445779,",",1222235,",0,"[{'id': 1445779, 'book_id': 'mrk', 'chapter': '12', 'verse': '17', 'word_num': 7, 'word': 'ἀπόδοτε', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,MAA2,,P,'}]","ἀπόδοτε",1,0,"[{'id': 1222235, 'book_id': 'mrk', 'chapter': '12', 'verse': '17', 'word_num': 5, 'word': 'Give', 'occurrence': 1}]","Give",1,"ἀπόδοτε = Give",0.25,1,0,0
"483945","luk","20","25","6",",1464896,",",1247884,",0,"[{'id': 1464896, 'book_id': 'luk', 'chapter': '20', 'verse': '25', 'word_num': 6, 'word': 'ἀπόδοτε', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,MAA2,,P,'}]","ἀπόδοτε",1,0,"[{'id': 1247884, 'book_id': 'luk', 'chapter': '20', 'verse': '25', 'word_num': 6, 'word': 'give', 'occurrence': 1}]","give",1,"ἀπόδοτε = give",0.25,1,0,0
"525038","rom","13","7","0",",1508238,",",1304760,",0,"[{'id': 1508238, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 0, 'word': 'ἀπόδοτε', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,MAA2,,P,'}]","ἀπόδοτε",1,0,"[{'id': 1304760, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 0, 'word': 'Pay', 'occurrence': 1}]","Pay",1,"ἀπόδοτε = Pay",0.25,1,0,0
"569338","rev","18","6","0",",1554876,",",1368986,1368987,",0,"[{'id': 1554876, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 0, 'word': 'ἀπόδοτε', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,MAA2,,P,'}]","ἀπόδοτε",1,1,"[{'id': 1368986, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 0, 'word': 'Give', 'occurrence': 1}, {'id': 1368987, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 1, 'word': 'back', 'occurrence': 1}]","Give back",2,"ἀπόδοτε = Give back",0.25,1,0,0
"471251","luk","4","20","4",",1452007,",",1230529,1230530,1230531,",0,"[{'id': 1452007, 'book_id': 'luk', 'chapter': '4', 'verse': '20', 'word_num': 4, 'word': 'ἀποδοὺς', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,PAA,NMS,'}]","ἀποδοὺς",1,2,"[{'id': 1230529, 'book_id': 'luk', 'chapter': '4', 'verse': '20', 'word_num': 6, 'word': 'gave', 'occurrence': 1}, {'id': 1230530, 'book_id': 'luk', 'chapter': '4', 'verse': '20', 'word_num': 7, 'word': 'it', 'occurrence': 1}, {'id': 1230531, 'book_id': 'luk', 'chapter': '4', 'verse': '20', 'word_num': 8, 'word': 'back', 'occurrence': 1}]","gave it back",3,"ἀποδοὺς = gave it back",1.0,1,0,0
"474106","luk","7","42","4",",1454894,",",1234415,1234416,",0,"[{'id': 1454894, 'book_id': 'luk', 'chapter': '7', 'verse': '42', 'word_num': 3, 'word': 'ἀποδοῦναι', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποδοῦναι",1,1,"[{'id': 1234415, 'book_id': 'luk', 'chapter': '7', 'verse': '42', 'word_num': 6, 'word': 'to', 'occurrence': 1}, {'id': 1234416, 'book_id': 'luk', 'chapter': '7', 'verse': '42', 'word_num': 7, 'word': 'repay', 'occurrence': 1}]","to repay",2,"ἀποδοῦναι = to repay",0.3333333333333333,1,0,0
"514362","act","19","40","14",",1496957,",",1289082,1289083,",0,"[{'id': 1496957, 'book_id': 'act', 'chapter': '19', 'verse': '40', 'word_num': 15, 'word': 'ἀποδοῦναι', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποδοῦναι",1,1,"[{'id': 1289082, 'book_id': 'act', 'chapter': '19', 'verse': '40', 'word_num': 24, 'word': 'to', 'occurrence': 1}, {'id': 1289083, 'book_id': 'act', 'chapter': '19', 'verse': '40', 'word_num': 25, 'word': 'give', 'occurrence': 1}]","to give",2,"ἀποδοῦναι = to give",0.3333333333333333,1,0,0
"571352","rev","22","12","8",",1557161,",",1371758,1371759,1371760,",0,"[{'id': 1557161, 'book_id': 'rev', 'chapter': '22', 'verse': '12', 'word_num': 9, 'word': 'ἀποδοῦναι', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποδοῦναι",1,2,"[{'id': 1371758, 'book_id': 'rev', 'chapter': '22', 'verse': '12', 'word_num': 11, 'word': 'to', 'occurrence': 1}, {'id': 1371759, 'book_id': 'rev', 'chapter': '22', 'verse': '12', 'word_num': 12, 'word': 'pay', 'occurrence': 1}, {'id': 1371760, 'book_id': 'rev', 'chapter': '22', 'verse': '12', 'word_num': 13, 'word': 'back', 'occurrence': 1}]","to pay back",3,"ἀποδοῦναι = to pay back",0.3333333333333333,1,0,0
"476113","luk","9","42","22",",1456914,",",1237093,",0,"[{'id': 1456914, 'book_id': 'luk', 'chapter': '9', 'verse': '42', 'word_num': 23, 'word': 'ἀπέδωκεν', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IAA3,,S,'}]","ἀπέδωκεν",1,0,"[{'id': 1237093, 'book_id': 'luk', 'chapter': '9', 'verse': '42', 'word_num': 26, 'word': 'gave', 'occurrence': 1}]","gave",1,"ἀπέδωκεν = gave",0.5,1,0,0
"569343","rev","18","6","5",",1554881,",",1368993,1368994,",0,"[{'id': 1554881, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 5, 'word': 'ἀπέδωκεν', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IAA3,,S,'}]","ἀπέδωκεν",1,1,"[{'id': 1368993, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 7, 'word': 'has', 'occurrence': 1}, {'id': 1368994, 'book_id': 'rev', 'chapter': '18', 'verse': '6', 'word_num': 8, 'word': 'given', 'occurrence': 1}]","has given",2,"ἀπέδωκεν = has given",0.5,1,0,0
"477074","luk","10","35","23",",1457929,",",1238366,1238367,",0,"[{'id': 1457929, 'book_id': 'luk', 'chapter': '10', 'verse': '35', 'word_num': 24, 'word': 'ἀποδώσω', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IFA1,,S,'}]","ἀποδώσω",1,1,"[{'id': 1238366, 'book_id': 'luk', 'chapter': '10', 'verse': '35', 'word_num': 31, 'word': 'will', 'occurrence': 1}, {'id': 1238367, 'book_id': 'luk', 'chapter': '10', 'verse': '35', 'word_num': 32, 'word': 'repay', 'occurrence': 1}]","will repay",2,"ἀποδώσω = will repay",1.0,1,0,0
"479172","luk","12","59","7",",1460072,",",1241266,1241267,1241268,",0,"[{'id': 1460072, 'book_id': 'luk', 'chapter': '12', 'verse': '59', 'word_num': 11, 'word': 'ἀποδῷς', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,SAA2,,S,'}]","ἀποδῷς",1,2,"[{'id': 1241266, 'book_id': 'luk', 'chapter': '12', 'verse': '59', 'word_num': 12, 'word': 'you', 'occurrence': 3}, {'id': 1241267, 'book_id': 'luk', 'chapter': '12', 'verse': '59', 'word_num': 13, 'word': 'have', 'occurrence': 1}, {'id': 1241268, 'book_id': 'luk', 'chapter': '12', 'verse': '59', 'word_num': 14, 'word': 'paid', 'occurrence': 1}]","you have paid",3,"ἀποδῷς = you have paid",1.0,1,0,0
"481021","luk","16","2","10",",1461935,",",1243773,",0,"[{'id': 1461935, 'book_id': 'luk', 'chapter': '16', 'verse': '2', 'word_num': 10, 'word': 'ἀπόδος', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,MAA2,,S,'}]","ἀπόδος",1,0,"[{'id': 1243773, 'book_id': 'luk', 'chapter': '16', 'verse': '2', 'word_num': 16, 'word': 'Give', 'occurrence': 1}]","Give",1,"ἀπόδος = Give",1.0,1,0,0
"482914","luk","19","8","23",",1463867,",",1246436,1246437,1246438,",0,"[{'id': 1463867, 'book_id': 'luk', 'chapter': '19', 'verse': '8', 'word_num': 22, 'word': 'ἀποδίδωμι', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IPA1,,S,'}]","ἀποδίδωμι",1,2,"[{'id': 1246436, 'book_id': 'luk', 'chapter': '19', 'verse': '8', 'word_num': 28, 'word': 'I', 'occurrence': 3}, {'id': 1246437, 'book_id': 'luk', 'chapter': '19', 'verse': '8', 'word_num': 29, 'word': 'will', 'occurrence': 1}, {'id': 1246438, 'book_id': 'luk', 'chapter': '19', 'verse': '8', 'word_num': 30, 'word': 'restore', 'occurrence': 1}]","I will restore",3,"ἀποδίδωμι = I will restore",1.0,1,0,0
"504287","act","4","33","5",",1486600,",",1275509,1275510,",0,"[{'id': 1486600, 'book_id': 'act', 'chapter': '4', 'verse': '33', 'word_num': 3, 'word': 'ἀπεδίδουν', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IIA3,,P,'}]","ἀπεδίδουν",1,1,"[{'id': 1275509, 'book_id': 'act', 'chapter': '4', 'verse': '33', 'word_num': 5, 'word': 'were', 'occurrence': 1}, {'id': 1275510, 'book_id': 'act', 'chapter': '4', 'verse': '33', 'word_num': 6, 'word': 'proclaiming', 'occurrence': 1}]","were proclaiming",2,"ἀπεδίδουν = were proclaiming",1.0,1,0,0
"504503","act","5","8","8",",1486819,",",1275794,1275795,",0,"[{'id': 1486819, 'book_id': 'act', 'chapter': '5', 'verse': '8', 'word_num': 11, 'word': 'ἀπέδοσθε', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IAM2,,P,'}]","ἀπέδοσθε",1,1,"[{'id': 1275794, 'book_id': 'act', 'chapter': '5', 'verse': '8', 'word_num': 8, 'word': 'you', 'occurrence': 1}, {'id': 1275795, 'book_id': 'act', 'chapter': '5', 'verse': '8', 'word_num': 9, 'word': 'sold', 'occurrence': 1}]","you sold",2,"ἀπέδοσθε = you sold",1.0,1,0,0
"505584","act","7","9","6",",1487918,",",1277241,1277242,1277243,",0,"[{'id': 1487918, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 6, 'word': 'ἀπέδοντο', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IAM3,,P,'}]","ἀπέδοντο",1,2,"[{'id': 1277241, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 7, 'word': 'they', 'occurrence': 1}, {'id': 1277242, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 8, 'word': 'sold', 'occurrence': 1}, {'id': 1277243, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 9, 'word': 'him', 'occurrence': 1}]","they sold him",3,"ἀπέδοντο = they sold him",1.0,1,0,0
"520490","rom","2","6","1",",1503273,",",1297712,1297713,1297714,",0,"[{'id': 1503273, 'book_id': 'rom', 'chapter': '2', 'verse': '6', 'word_num': 1, 'word': 'ἀποδώσει', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀποδώσει",1,2,"[{'id': 1297712, 'book_id': 'rom', 'chapter': '2', 'verse': '6', 'word_num': 1, 'word': 'will', 'occurrence': 1}, {'id': 1297713, 'book_id': 'rom', 'chapter': '2', 'verse': '6', 'word_num': 2, 'word': 'pay', 'occurrence': 1}, {'id': 1297714, 'book_id': 'rom', 'chapter': '2', 'verse': '6', 'word_num': 3, 'word': 'back', 'occurrence': 1}]","will pay back",3,"ἀποδώσει = will pay back",0.3333333333333333,1,0,0
"549785","2ti","4","8","13",",1533803,",",1340590,1340591,",0,"[{'id': 1533803, 'book_id': '2ti', 'chapter': '4', 'verse': '8', 'word_num': 8, 'word': 'ἀποδώσει', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀποδώσει",1,1,"[{'id': 1340590, 'book_id': '2ti', 'chapter': '4', 'verse': '8', 'word_num': 16, 'word': 'will', 'occurrence': 1}, {'id': 1340591, 'book_id': '2ti', 'chapter': '4', 'verse': '8', 'word_num': 17, 'word': 'award', 'occurrence': 1}]","will award",2,"ἀποδώσει = will award",0.3333333333333333,1,0,0
"549871","2ti","4","14","9",",1533893,",",1340698,1340699,",0,"[{'id': 1533893, 'book_id': '2ti', 'chapter': '4', 'verse': '14', 'word_num': 7, 'word': 'ἀποδώσει', 'occurrence': 1, 'strong': 'G05910', 'lemma': 'ἀποδίδωμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀποδώσει",1,1,"[{'id': 1340698, 'book_id': '2ti', 'chapter': '4', 'verse': '14', 'word_num': 10, 'word': 'will', 'occurrence': 1}, {'id': 1340699, 'book_id': '2ti', 'chapter': '4', 'verse': '14', 'word_num': 11, 'word': 'repay', 'occurrence': 1}]","will repay",2,"ἀποδώσει = will repay",0.3333333333333333,1,0,0
