"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"470033","luk","2","32","2",",1450769,",",1228923,",0,"[{'id': 1450769, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 2, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,0,"[{'id': 1228923, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 3, 'word': 'revelation', 'occurrence': 1}]","revelation",1,"ἀποκάλυψιν = revelation",0.1111111111111111,0,0
"520486","rom","2","5","14",",1503268,",",1297703,1297704,1297705,",0,"[{'id': 1503268, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 15, 'word': 'ἀποκαλύψεως', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,GFS,'}]","ἀποκαλύψεως",1,2,"[{'id': 1297703, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 26, 'word': 'of', 'occurrence': 3}, {'id': 1297704, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 27, 'word': 'the', 'occurrence': 3}, {'id': 1297705, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 28, 'word': 'revelation', 'occurrence': 1}]","of the revelation",3,"ἀποκαλύψεως = of the revelation",0.05555555555555555,0,0
"523004","rom","8","19","7",",1506027,",",1301620,",0,"[{'id': 1506027, 'book_id': 'rom', 'chapter': '8', 'verse': '19', 'word_num': 6, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,0,"[{'id': 1301620, 'book_id': 'rom', 'chapter': '8', 'verse': '19', 'word_num': 10, 'word': 'revealing', 'occurrence': 1}]","revealing",1,"ἀποκάλυψιν = revealing",0.05555555555555555,0,0
"526382","rom","16","25","14",",1509707,",",1306785,1306786,",0,"[{'id': 1509707, 'book_id': 'rom', 'chapter': '16', 'verse': '25', 'word_num': 15, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,1,"[{'id': 1306785, 'book_id': 'rom', 'chapter': '16', 'verse': '25', 'word_num': 21, 'word': 'the', 'occurrence': 2}, {'id': 1306786, 'book_id': 'rom', 'chapter': '16', 'verse': '25', 'word_num': 22, 'word': 'revelation', 'occurrence': 1}]","the revelation",2,"ἀποκάλυψιν = the revelation",0.1111111111111111,0,0
"526513","1co","1","7","9",",1509847,",",1306980,",0,"[{'id': 1509847, 'book_id': '1co', 'chapter': '1', 'verse': '7', 'word_num': 9, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,0,"[{'id': 1306980, 'book_id': '1co', 'chapter': '1', 'verse': '7', 'word_num': 15, 'word': 'revelation', 'occurrence': 1}]","revelation",1,"ἀποκάλυψιν = revelation",0.1111111111111111,0,0
"531403","1co","14","6","17",",1514885,",",1314204,",0,"[{'id': 1514885, 'book_id': '1co', 'chapter': '14', 'verse': '6', 'word_num': 18, 'word': 'ἀποκαλύψει', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,DFS,'}]","ἀποκαλύψει",1,0,"[{'id': 1314204, 'book_id': '1co', 'chapter': '14', 'verse': '6', 'word_num': 23, 'word': 'revelation', 'occurrence': 1}]","revelation",1,"ἀποκαλύψει = revelation",0.05555555555555555,0,0
"531727","1co","14","26","12",",1515220,",",1314701,1314702,",0,"[{'id': 1515220, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 11, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,1,"[{'id': 1314701, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 19, 'word': 'a', 'occurrence': 3}, {'id': 1314702, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 20, 'word': 'revelation', 'occurrence': 1}]","a revelation",2,"ἀποκάλυψιν = a revelation",0.1111111111111111,0,0
"536752","2co","12","1","9",",1520401,",",1321987,",0,"[{'id': 1520401, 'book_id': '2co', 'chapter': '12', 'verse': '1', 'word_num': 10, 'word': 'ἀποκαλύψεις', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFP,'}]","ἀποκαλύψεις",1,0,"[{'id': 1321987, 'book_id': '2co', 'chapter': '12', 'verse': '1', 'word_num': 16, 'word': 'revelations', 'occurrence': 1}]","revelations",1,"ἀποκαλύψεις = revelations",0.05555555555555555,0,0
"536860","2co","12","7","8",",1520504,",",1322152,",0,"[{'id': 1520504, 'book_id': '2co', 'chapter': '12', 'verse': '7', 'word_num': 4, 'word': 'ἀποκαλύψεων', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,GFP,'}]","ἀποκαλύψεων",1,0,"[{'id': 1322152, 'book_id': '2co', 'chapter': '12', 'verse': '7', 'word_num': 14, 'word': 'revelations', 'occurrence': 1}]","revelations",1,"ἀποκαλύψεων = revelations",0.05555555555555555,0,0
"537568","gal","1","12","11",",1521224,",",1323192,",0,"[{'id': 1521224, 'book_id': 'gal', 'chapter': '1', 'verse': '12', 'word_num': 11, 'word': 'ἀποκαλύψεως', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,GFS,'}]","ἀποκαλύψεως",1,0,"[{'id': 1323192, 'book_id': 'gal', 'chapter': '1', 'verse': '12', 'word_num': 18, 'word': 'revelation', 'occurrence': 1}]","revelation",1,"ἀποκαλύψεως = revelation",0.1111111111111111,0,0
