"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"484676","luk","21","28","12",",1465631,1465632,",",1248881,",1,"[{'id': 1465631, 'book_id': 'luk', 'chapter': '21', 'verse': '28', 'word_num': 12, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1465632, 'book_id': 'luk', 'chapter': '21', 'verse': '28', 'word_num': 13, 'word': 'ἀπολύτρωσις', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ ἀπολύτρωσις",2,0,"[{'id': 1248881, 'book_id': 'luk', 'chapter': '21', 'verse': '28', 'word_num': 16, 'word': 'deliverance', 'occurrence': 1}]","deliverance",1,"ἡ ἀπολύτρωσις = deliverance",0.1,0,0
"521085","rom","3","24","7",",1503937,",",1298683,",0,"[{'id': 1503937, 'book_id': 'rom', 'chapter': '3', 'verse': '24', 'word_num': 7, 'word': 'ἀπολυτρώσεως', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,GFS,'}]","ἀπολυτρώσεως",1,0,"[{'id': 1298683, 'book_id': 'rom', 'chapter': '3', 'verse': '24', 'word_num': 10, 'word': 'redemption', 'occurrence': 1}]","redemption",1,"ἀπολυτρώσεως = redemption",0.1,0,0
"523066","rom","8","23","19",",1506099,",",1301718,",0,"[{'id': 1506099, 'book_id': 'rom', 'chapter': '8', 'verse': '23', 'word_num': 20, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀπολύτρωσιν",1,0,"[{'id': 1301718, 'book_id': 'rom', 'chapter': '8', 'verse': '23', 'word_num': 25, 'word': 'redemption', 'occurrence': 1}]","redemption",1,"ἀπολύτρωσιν = redemption",0.1,0,0
"526873","1co","1","30","19",",1510233,",",1307490,",0,"[{'id': 1510233, 'book_id': '1co', 'chapter': '1', 'verse': '30', 'word_num': 19, 'word': 'ἀπολύτρωσις', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,NFS,'}]","ἀπολύτρωσις",1,0,"[{'id': 1307490, 'book_id': '1co', 'chapter': '1', 'verse': '30', 'word_num': 22, 'word': 'redemption', 'occurrence': 1}]","redemption",1,"ἀπολύτρωσις = redemption",0.1,0,0
"539621","eph","1","7","3",",1523364,1523365,",",1326381,",1,"[{'id': 1523364, 'book_id': 'eph', 'chapter': '1', 'verse': '7', 'word_num': 3, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1523365, 'book_id': 'eph', 'chapter': '1', 'verse': '7', 'word_num': 4, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπολύτρωσιν",2,0,"[{'id': 1326381, 'book_id': 'eph', 'chapter': '1', 'verse': '7', 'word_num': 4, 'word': 'redemption', 'occurrence': 1}]","redemption",1,"τὴν ἀπολύτρωσιν = redemption",0.2,0,0
"539739","eph","1","14","7",",1523489,",",1326547,1326548,",0,"[{'id': 1523489, 'book_id': 'eph', 'chapter': '1', 'verse': '14', 'word_num': 7, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀπολύτρωσιν",1,1,"[{'id': 1326547, 'book_id': 'eph', 'chapter': '1', 'verse': '14', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1326548, 'book_id': 'eph', 'chapter': '1', 'verse': '14', 'word_num': 10, 'word': 'redemption', 'occurrence': 1}]","the redemption",2,"ἀπολύτρωσιν = the redemption",0.1,0,0
"541057","eph","4","30","13",",1524801,",",1328255,1328256,",0,"[{'id': 1524801, 'book_id': 'eph', 'chapter': '4', 'verse': '30', 'word_num': 14, 'word': 'ἀπολυτρώσεως', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,GFS,'}]","ἀπολυτρώσεως",1,1,"[{'id': 1328255, 'book_id': 'eph', 'chapter': '4', 'verse': '30', 'word_num': 17, 'word': 'of', 'occurrence': 2}, {'id': 1328256, 'book_id': 'eph', 'chapter': '4', 'verse': '30', 'word_num': 18, 'word': 'redemption', 'occurrence': 1}]","of redemption",2,"ἀπολυτρώσεως = of redemption",0.1,0,0
"543724","col","1","14","3",",1527544,1527545,",",1332025,",1,"[{'id': 1527544, 'book_id': 'col', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1527545, 'book_id': 'col', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπολύτρωσιν",2,0,"[{'id': 1332025, 'book_id': 'col', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'redemption', 'occurrence': 1}]","redemption",1,"τὴν ἀπολύτρωσιν = redemption",0.2,0,0
"553525","heb","9","15","18",",1537692,",",1346097,",0,"[{'id': 1537692, 'book_id': 'heb', 'chapter': '9', 'verse': '15', 'word_num': 11, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀπολύτρωσιν",1,0,"[{'id': 1346097, 'book_id': 'heb', 'chapter': '9', 'verse': '15', 'word_num': 32, 'word': 'redeem', 'occurrence': 1}]","redeem",1,"ἀπολύτρωσιν = redeem",0.1,0,0
"554801","heb","11","35","11",",1539034,1539035,",",1348105,",1,"[{'id': 1539034, 'book_id': 'heb', 'chapter': '11', 'verse': '35', 'word_num': 12, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EP,,,,AFS,'}, {'id': 1539035, 'book_id': 'heb', 'chapter': '11', 'verse': '35', 'word_num': 13, 'word': 'ἀπολύτρωσιν', 'occurrence': 1, 'strong': 'G06290', 'lemma': 'ἀπολύτρωσις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπολύτρωσιν",2,0,"[{'id': 1348105, 'book_id': 'heb', 'chapter': '11', 'verse': '35', 'word_num': 13, 'word': 'release', 'occurrence': 1}]","release",1,"τὴν ἀπολύτρωσιν = release",0.1,0,0
