"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458410","mrk","1","24","6",",1438139,",",1212206,1212207,",0,"[{'id': 1438139, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 8, 'word': 'ἀπολέσαι', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀπολέσαι",1,1,"[{'id': 1212206, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 15, 'word': 'to', 'occurrence': 2}, {'id': 1212207, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 16, 'word': 'destroy', 'occurrence': 1}]","to destroy",2,"ἀπολέσαι = to destroy",0.04225352112676056,0,0
"459119","mrk","2","22","19",",1438885,",",1213201,1213202,1213203,",0,"[{'id': 1438885, 'book_id': 'mrk', 'chapter': '2', 'verse': '22', 'word_num': 19, 'word': 'ἀπόλλυται', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IPP3,,S,'}]","ἀπόλλυται",1,2,"[{'id': 1213201, 'book_id': 'mrk', 'chapter': '2', 'verse': '22', 'word_num': 22, 'word': 'will', 'occurrence': 2}, {'id': 1213202, 'book_id': 'mrk', 'chapter': '2', 'verse': '22', 'word_num': 23, 'word': 'be', 'occurrence': 1}, {'id': 1213203, 'book_id': 'mrk', 'chapter': '2', 'verse': '22', 'word_num': 24, 'word': 'destroyed', 'occurrence': 1}]","will be destroyed",3,"ἀπόλλυται = will be destroyed",0.014084507042253521,0,0
"459319","mrk","3","6","12",",1439096,",",1213491,1213492,1213493,",0,"[{'id': 1439096, 'book_id': 'mrk', 'chapter': '3', 'verse': '6', 'word_num': 14, 'word': 'ἀπολέσωσιν', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,SAA3,,P,'}]","ἀπολέσωσιν",1,2,"[{'id': 1213491, 'book_id': 'mrk', 'chapter': '3', 'verse': '6', 'word_num': 18, 'word': 'they', 'occurrence': 1}, {'id': 1213492, 'book_id': 'mrk', 'chapter': '3', 'verse': '6', 'word_num': 19, 'word': 'might', 'occurrence': 1}, {'id': 1213493, 'book_id': 'mrk', 'chapter': '3', 'verse': '6', 'word_num': 20, 'word': 'kill', 'occurrence': 1}]","they might kill",3,"ἀπολέσωσιν = they might kill",0.014084507042253521,0,0
"460336","mrk","4","38","23",",1440178,",",1214884,1214885,1214886,",0,"[{'id': 1440178, 'book_id': 'mrk', 'chapter': '4', 'verse': '38', 'word_num': 21, 'word': 'ἀπολλύμεθα', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IPM1,,P,'}]","ἀπολλύμεθα",1,2,"[{'id': 1214884, 'book_id': 'mrk', 'chapter': '4', 'verse': '38', 'word_num': 26, 'word': 'we', 'occurrence': 1}, {'id': 1214885, 'book_id': 'mrk', 'chapter': '4', 'verse': '38', 'word_num': 27, 'word': 'are', 'occurrence': 1}, {'id': 1214886, 'book_id': 'mrk', 'chapter': '4', 'verse': '38', 'word_num': 28, 'word': 'perishing', 'occurrence': 1}]","we are perishing",3,"ἀπολλύμεθα = we are perishing",0.014084507042253521,0,0
"463063","mrk","8","35","5",",1443084,",",1218677,1218678,",0,"[{'id': 1443084, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 8, 'word': 'ἀπολέσει', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀπολέσει",1,1,"[{'id': 1218677, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 7, 'word': 'will', 'occurrence': 1}, {'id': 1218678, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 8, 'word': 'lose', 'occurrence': 1}]","will lose",2,"ἀπολέσει = will lose",0.04225352112676056,0,0
"463066","mrk","8","35","8",",1443089,",",1218682,",0,"[{'id': 1443089, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 13, 'word': 'ἀπολέσει', 'occurrence': 2, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀπολέσει",1,0,"[{'id': 1218682, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 12, 'word': 'loses', 'occurrence': 1}]","loses",1,"ἀπολέσει = loses",0.014084507042253521,0,0
"463479","mrk","9","22","11",",1443540,",",1219247,",0,"[{'id': 1443540, 'book_id': 'mrk', 'chapter': '9', 'verse': '22', 'word_num': 11, 'word': 'ἀπολέσῃ', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,SAA3,,S,'}]","ἀπολέσῃ",1,0,"[{'id': 1219247, 'book_id': 'mrk', 'chapter': '9', 'verse': '22', 'word_num': 16, 'word': 'destroy', 'occurrence': 1}]","destroy",1,"ἀπολέσῃ = destroy",0.028169014084507043,0,0
"463775","mrk","9","41","14",",1443869,",",1219686,1219687,",0,"[{'id': 1443869, 'book_id': 'mrk', 'chapter': '9', 'verse': '41', 'word_num': 18, 'word': 'ἀπολέσῃ', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,SAA3,,S,'}]","ἀπολέσῃ",1,1,"[{'id': 1219686, 'book_id': 'mrk', 'chapter': '9', 'verse': '41', 'word_num': 23, 'word': 'he', 'occurrence': 1}, {'id': 1219687, 'book_id': 'mrk', 'chapter': '9', 'verse': '41', 'word_num': 24, 'word': 'will', 'occurrence': 1}]","he will",2,"ἀπολέσῃ = he will",0.014084507042253521,0,0
"465025","mrk","11","18","9",",1445236,",",1221518,1221519,",0,"[{'id': 1445236, 'book_id': 'mrk', 'chapter': '11', 'verse': '18', 'word_num': 11, 'word': 'ἀπολέσωσιν', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,SAA3,,P,'}]","ἀπολέσωσιν",1,1,"[{'id': 1221518, 'book_id': 'mrk', 'chapter': '11', 'verse': '18', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1221519, 'book_id': 'mrk', 'chapter': '11', 'verse': '18', 'word_num': 15, 'word': 'kill', 'occurrence': 1}]","to kill",2,"ἀπολέσωσιν = to kill",0.014084507042253521,0,0
"465377","mrk","12","9","10",",1445632,",",1222042,",0,"[{'id': 1445632, 'book_id': 'mrk', 'chapter': '12', 'verse': '9', 'word_num': 9, 'word': 'ἀπολέσει', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀπολέσει",1,0,"[{'id': 1222042, 'book_id': 'mrk', 'chapter': '12', 'verse': '9', 'word_num': 13, 'word': 'destroy', 'occurrence': 1}]","destroy",1,"ἀπολέσει = destroy",0.028169014084507043,0,0
"471492","luk","4","34","9",",1452256,",",1230850,1230851,",0,"[{'id': 1452256, 'book_id': 'luk', 'chapter': '4', 'verse': '34', 'word_num': 8, 'word': 'ἀπολέσαι', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀπολέσαι",1,1,"[{'id': 1230850, 'book_id': 'luk', 'chapter': '4', 'verse': '34', 'word_num': 15, 'word': 'to', 'occurrence': 2}, {'id': 1230851, 'book_id': 'luk', 'chapter': '4', 'verse': '34', 'word_num': 16, 'word': 'destroy', 'occurrence': 1}]","to destroy",2,"ἀπολέσαι = to destroy",0.04225352112676056,0,0
"472424","luk","5","37","23",",1453202,",",1232089,1232090,1232091,",0,"[{'id': 1453202, 'book_id': 'luk', 'chapter': '5', 'verse': '37', 'word_num': 25, 'word': 'ἀπολοῦνται', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IFM3,,P,'}]","ἀπολοῦνται",1,2,"[{'id': 1232089, 'book_id': 'luk', 'chapter': '5', 'verse': '37', 'word_num': 30, 'word': 'will', 'occurrence': 3}, {'id': 1232090, 'book_id': 'luk', 'chapter': '5', 'verse': '37', 'word_num': 31, 'word': 'be', 'occurrence': 2}, {'id': 1232091, 'book_id': 'luk', 'chapter': '5', 'verse': '37', 'word_num': 32, 'word': 'destroyed', 'occurrence': 1}]","will be destroyed",3,"ἀπολοῦνται = will be destroyed",0.014084507042253521,0,0
"472622","luk","6","9","18",",1453396,",",1232345,1232346,1232347,",0,"[{'id': 1453396, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 18, 'word': 'ἀπολέσαι', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,NAA,,,,,'}]","ἀπολέσαι",1,2,"[{'id': 1232345, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 26, 'word': 'to', 'occurrence': 5}, {'id': 1232346, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 27, 'word': 'destroy', 'occurrence': 1}, {'id': 1232347, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 28, 'word': 'it', 'occurrence': 2}]","to destroy it",3,"ἀπολέσαι = to destroy it",0.014084507042253521,0,0
"474700","luk","8","24","8",",1455496,",",1235222,1235223,1235224,",0,"[{'id': 1455496, 'book_id': 'luk', 'chapter': '8', 'verse': '24', 'word_num': 7, 'word': 'ἀπολλύμεθα', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IPM1,,P,'}]","ἀπολλύμεθα",1,2,"[{'id': 1235222, 'book_id': 'luk', 'chapter': '8', 'verse': '24', 'word_num': 10, 'word': 'We', 'occurrence': 1}, {'id': 1235223, 'book_id': 'luk', 'chapter': '8', 'verse': '24', 'word_num': 11, 'word': 'are', 'occurrence': 1}, {'id': 1235224, 'book_id': 'luk', 'chapter': '8', 'verse': '24', 'word_num': 12, 'word': 'perishing', 'occurrence': 1}]","We are perishing",3,"ἀπολλύμεθα = We are perishing",0.014084507042253521,0,0
"475760","luk","9","24","6",",1456550,",",1236630,1236631,",0,"[{'id': 1456550, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 8, 'word': 'ἀπολέσει', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,IFA3,,S,'}]","ἀπολέσει",1,1,"[{'id': 1236630, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 8, 'word': 'will', 'occurrence': 1}, {'id': 1236631, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 9, 'word': 'lose', 'occurrence': 1}]","will lose",2,"ἀπολέσει = will lose",0.04225352112676056,0,0
"475764","luk","9","24","10",",1456554,1456555,",",1236635,1236636,",1,"[{'id': 1456554, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 12, 'word': 'ἂν', 'occurrence': 2, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1456555, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 13, 'word': 'ἀπολέσῃ', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,SAA3,,S,'}]","ἂν ἀπολέσῃ",2,1,"[{'id': 1236635, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 13, 'word': 'would', 'occurrence': 2}, {'id': 1236636, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 14, 'word': 'destroy', 'occurrence': 1}]","would destroy",2,"ἂν ἀπολέσῃ = would destroy",0.014084507042253521,0,0
"475783","luk","9","25","10",",1456574,",",1236659,",0,"[{'id': 1456574, 'book_id': 'luk', 'chapter': '9', 'verse': '25', 'word_num': 10, 'word': 'ἀπολέσας', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,PAA,NMS,'}]","ἀπολέσας",1,0,"[{'id': 1236659, 'book_id': 'luk', 'chapter': '9', 'verse': '25', 'word_num': 12, 'word': 'destroying', 'occurrence': 1}]","destroying",1,"ἀπολέσας = destroying",0.014084507042253521,0,0
"478103","luk","11","51","7",",1458974,",",1239779,",0,"[{'id': 1458974, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 7, 'word': 'ἀπολομένου', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,PAM,GMS,'}]","ἀπολομένου",1,0,"[{'id': 1239779, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 11, 'word': 'perished', 'occurrence': 1}]","perished",1,"ἀπολομένου = perished",0.014084507042253521,0,0
