"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"122082","luk","6","13","14",",754661,",",732885,",0,"[{'id': 754661, 'book_id': 'luk', 'chapter': '6', 'verse': '13', 'word_num': 15, 'word': 'ἀποστόλους', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,AMP,'}]","ἀποστόλους",1,0,"[{'id': 732885, 'book_id': 'luk', 'chapter': '6', 'verse': '13', 'word_num': 21, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀποστόλους = apostles",0.16666666666666666,0,0
"124756","luk","9","10","3",",757466,",",736693,",0,"[{'id': 757466, 'book_id': 'luk', 'chapter': '9', 'verse': '10', 'word_num': 3, 'word': 'ἀπόστολοι', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,NMP,'}]","ἀπόστολοι",1,0,"[{'id': 736693, 'book_id': 'luk', 'chapter': '9', 'verse': '10', 'word_num': 3, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀπόστολοι = apostles",0.1875,0,0
"127134","luk","11","49","13",",760142,",",740180,",0,"[{'id': 760142, 'book_id': 'luk', 'chapter': '11', 'verse': '49', 'word_num': 13, 'word': 'ἀποστόλους', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,AMP,'}]","ἀποστόλους",1,0,"[{'id': 740180, 'book_id': 'luk', 'chapter': '11', 'verse': '49', 'word_num': 16, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀποστόλους = apostles",0.16666666666666666,0,0
"130387","luk","17","5","3",",763770,",",745087,",0,"[{'id': 763770, 'book_id': 'luk', 'chapter': '17', 'verse': '5', 'word_num': 3, 'word': 'ἀπόστολοι', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,NMP,'}]","ἀπόστολοι",1,0,"[{'id': 745087, 'book_id': 'luk', 'chapter': '17', 'verse': '5', 'word_num': 2, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀπόστολοι = apostles",0.1875,0,0
"133604","luk","22","14","8",",767157,",",749790,",0,"[{'id': 767157, 'book_id': 'luk', 'chapter': '22', 'verse': '14', 'word_num': 8, 'word': 'ἀπόστολοι', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,NMP,'}]","ἀπόστολοι",1,0,"[{'id': 749790, 'book_id': 'luk', 'chapter': '22', 'verse': '14', 'word_num': 12, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀπόστολοι = apostles",0.1875,0,0
"135400","luk","24","10","17",",769053,769054,",",752286,752288,",1,"[{'id': 769053, 'book_id': 'luk', 'chapter': '24', 'verse': '10', 'word_num': 18, 'word': 'τοὺς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMP,'}, {'id': 769054, 'book_id': 'luk', 'chapter': '24', 'verse': '10', 'word_num': 19, 'word': 'ἀποστόλους', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,AMP,'}]","τοὺς ἀποστόλους",2,2,"[{'id': 752286, 'book_id': 'luk', 'chapter': '24', 'verse': '10', 'word_num': 22, 'word': 'to', 'occurrence': 1}, {'id': 752288, 'book_id': 'luk', 'chapter': '24', 'verse': '10', 'word_num': 24, 'word': 'apostles', 'occurrence': 1}]","to apostles",2,"τοὺς ἀποστόλους = to apostles",0.020833333333333332,0,1
"136053","act","1","2","5",",769749,",",753189,753191,",0,"[{'id': 769749, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 5, 'word': 'ἀποστόλοις', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,DMP,'}]","ἀποστόλοις",1,2,"[{'id': 753189, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 17, 'word': 'to', 'occurrence': 1}, {'id': 753191, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 19, 'word': 'apostles', 'occurrence': 1}]","to apostles",2,"ἀποστόλοις = to apostles",0.020833333333333332,0,1
"136493","act","1","26","15",",770232,",",753811,",0,"[{'id': 770232, 'book_id': 'act', 'chapter': '1', 'verse': '26', 'word_num': 15, 'word': 'ἀποστόλων', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,GMP,'}]","ἀποστόλων",1,0,"[{'id': 753811, 'book_id': 'act', 'chapter': '1', 'verse': '26', 'word_num': 18, 'word': 'apostles', 'occurrence': 1}]","apostles",1,"ἀποστόλων = apostles",0.14583333333333334,0,0
"137080","act","2","37","12",",770884,",",754619,754620,754621,",0,"[{'id': 770884, 'book_id': 'act', 'chapter': '2', 'verse': '37', 'word_num': 13, 'word': 'ἀποστόλους', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,AMP,'}]","ἀποστόλους",1,2,"[{'id': 754619, 'book_id': 'act', 'chapter': '2', 'verse': '37', 'word_num': 18, 'word': 'of', 'occurrence': 1}, {'id': 754620, 'book_id': 'act', 'chapter': '2', 'verse': '37', 'word_num': 19, 'word': 'the', 'occurrence': 3}, {'id': 754621, 'book_id': 'act', 'chapter': '2', 'verse': '37', 'word_num': 20, 'word': 'apostles', 'occurrence': 1}]","of the apostles",3,"ἀποστόλους = of the apostles",0.020833333333333332,0,0
"137166","act","2","42","6",",770976,",",754731,754733,",0,"[{'id': 770976, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 6, 'word': 'ἀποστόλων', 'occurrence': 1, 'strong': 'G06520', 'lemma': 'ἀπόστολος', 'morph': 'Gr,N,,,,,GMP,'}]","ἀποστόλων",1,2,"[{'id': 754731, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 7, 'word': 'of', 'occurrence': 1}, {'id': 754733, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 9, 'word': 'apostles', 'occurrence': 1}]","of apostles",2,"ἀποστόλων = of apostles",0.16666666666666666,0,1
