"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"522207","rom","6","19","29",",1505184,",",1300397,",0,"[{'id': 1505184, 'book_id': 'rom', 'chapter': '6', 'verse': '19', 'word_num': 33, 'word': 'ἁγιασμόν', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,AMS,'}]","ἁγιασμόν",1,0,"[{'id': 1300397, 'book_id': 'rom', 'chapter': '6', 'verse': '19', 'word_num': 48, 'word': 'sanctification', 'occurrence': 1}]","sanctification",1,"ἁγιασμόν = sanctification",0.2,0,0
"522243","rom","6","22","12",",1505224,",",1300456,",0,"[{'id': 1505224, 'book_id': 'rom', 'chapter': '6', 'verse': '22', 'word_num': 15, 'word': 'ἁγιασμόν', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,AMS,'}]","ἁγιασμόν",1,0,"[{'id': 1300456, 'book_id': 'rom', 'chapter': '6', 'verse': '22', 'word_num': 20, 'word': 'sanctification', 'occurrence': 1}]","sanctification",1,"ἁγιασμόν = sanctification",0.2,0,0
"526871","1co","1","30","17",",1510231,",",1307488,",0,"[{'id': 1510231, 'book_id': '1co', 'chapter': '1', 'verse': '30', 'word_num': 17, 'word': 'ἁγιασμὸς', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,NMS,'}]","ἁγιασμὸς",1,0,"[{'id': 1307488, 'book_id': '1co', 'chapter': '1', 'verse': '30', 'word_num': 20, 'word': 'sanctification', 'occurrence': 1}]","sanctification",1,"ἁγιασμὸς = sanctification",0.2,0,0
"545807","1th","4","3","8",",1529788,",",1334951,",0,"[{'id': 1529788, 'book_id': '1th', 'chapter': '4', 'verse': '3', 'word_num': 7, 'word': 'ἁγιασμὸς', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,NMS,'}]","ἁγιασμὸς",1,0,"[{'id': 1334951, 'book_id': '1th', 'chapter': '4', 'verse': '3', 'word_num': 8, 'word': 'sanctification', 'occurrence': 1}]","sanctification",1,"ἁγιασμὸς = sanctification",0.2,0,0
"545820","1th","4","4","8",",1529803,",",1334969,",0,"[{'id': 1529803, 'book_id': '1th', 'chapter': '4', 'verse': '4', 'word_num': 8, 'word': 'ἁγιασμῷ', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,DMS,'}]","ἁγιασμῷ",1,0,"[{'id': 1334969, 'book_id': '1th', 'chapter': '4', 'verse': '4', 'word_num': 12, 'word': 'holiness', 'occurrence': 1}]","holiness",1,"ἁγιασμῷ = holiness",0.3,0,0
"545868","1th","4","7","9",",1529852,",",1335026,",0,"[{'id': 1529852, 'book_id': '1th', 'chapter': '4', 'verse': '7', 'word_num': 10, 'word': 'ἁγιασμῷ', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,DMS,'}]","ἁγιασμῷ",1,0,"[{'id': 1335026, 'book_id': '1th', 'chapter': '4', 'verse': '7', 'word_num': 10, 'word': 'holiness', 'occurrence': 1}]","holiness",1,"ἁγιασμῷ = holiness",0.3,0,0
"546806","2th","2","13","20",",1530843,",",1336386,",0,"[{'id': 1530843, 'book_id': '2th', 'chapter': '2', 'verse': '13', 'word_num': 22, 'word': 'ἁγιασμῷ', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,DMS,'}]","ἁγιασμῷ",1,0,"[{'id': 1336386, 'book_id': '2th', 'chapter': '2', 'verse': '13', 'word_num': 25, 'word': 'sanctification', 'occurrence': 1}]","sanctification",1,"ἁγιασμῷ = sanctification",0.1,0,0
"547638","1ti","2","15","12",",1531682,",",1337560,",0,"[{'id': 1531682, 'book_id': '1ti', 'chapter': '2', 'verse': '15', 'word_num': 12, 'word': 'ἁγιασμῷ', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,DMS,'}]","ἁγιασμῷ",1,0,"[{'id': 1337560, 'book_id': '1ti', 'chapter': '2', 'verse': '15', 'word_num': 18, 'word': 'holiness', 'occurrence': 1}]","holiness",1,"ἁγιασμῷ = holiness",0.3,0,0
"555107","heb","12","14","6",",1539344,",",1348543,",0,"[{'id': 1539344, 'book_id': 'heb', 'chapter': '12', 'verse': '14', 'word_num': 6, 'word': 'ἁγιασμόν', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,AMS,'}]","ἁγιασμόν",1,0,"[{'id': 1348543, 'book_id': 'heb', 'chapter': '12', 'verse': '14', 'word_num': 6, 'word': 'holiness', 'occurrence': 1}]","holiness",1,"ἁγιασμόν = holiness",0.1,0,0
"557343","1pe","1","2","4",",1541718,",",1351841,1351842,",0,"[{'id': 1541718, 'book_id': '1pe', 'chapter': '1', 'verse': '2', 'word_num': 5, 'word': 'ἁγιασμῷ', 'occurrence': 1, 'strong': 'G00380', 'lemma': 'ἁγιασμός', 'morph': 'Gr,N,,,,,DMS,'}]","ἁγιασμῷ",1,1,"[{'id': 1351841, 'book_id': '1pe', 'chapter': '1', 'verse': '2', 'word_num': 10, 'word': 'set', 'occurrence': 1}, {'id': 1351842, 'book_id': '1pe', 'chapter': '1', 'verse': '2', 'word_num': 11, 'word': 'apart', 'occurrence': 1}]","set apart",2,"ἁγιασμῷ = set apart",0.1,0,0
