"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458112","mrk","1","4","12",",1437811,",",1211800,1211801,",0,"[{'id': 1437811, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 13, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1211800, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 15, 'word': 'of', 'occurrence': 2}, {'id': 1211801, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 16, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"469510","luk","1","77","8",",1450220,",",1228191,",0,"[{'id': 1450220, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 9, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,0,"[{'id': 1228191, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 12, 'word': 'of', 'occurrence': 2}]","of",1,"ἁμαρτιῶν = of",0.03333333333333333,1,0,0
"470437","luk","3","3","12",",1451178,",",1229454,1229455,",0,"[{'id': 1451178, 'book_id': 'luk', 'chapter': '3', 'verse': '3', 'word_num': 12, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1229454, 'book_id': 'luk', 'chapter': '3', 'verse': '3', 'word_num': 18, 'word': 'of', 'occurrence': 2}, {'id': 1229455, 'book_id': 'luk', 'chapter': '3', 'verse': '3', 'word_num': 19, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"487453","luk","24","47","4",",1468448,",",1252600,1252601,",0,"[{'id': 1468448, 'book_id': 'luk', 'chapter': '24', 'verse': '47', 'word_num': 9, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1252600, 'book_id': 'luk', 'chapter': '24', 'verse': '47', 'word_num': 4, 'word': 'of', 'occurrence': 1}, {'id': 1252601, 'book_id': 'luk', 'chapter': '24', 'verse': '47', 'word_num': 5, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"503076","act","2","38","19",",1485335,",",1273916,",0,"[{'id': 1485335, 'book_id': 'act', 'chapter': '2', 'verse': '38', 'word_num': 18, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,0,"[{'id': 1273916, 'book_id': 'act', 'chapter': '2', 'verse': '38', 'word_num': 23, 'word': 'sins', 'occurrence': 1}]","sins",1,"ἁμαρτιῶν = sins",0.23333333333333334,7,0,0
"504930","act","5","31","15",",1487249,",",1276354,1276355,",0,"[{'id': 1487249, 'book_id': 'act', 'chapter': '5', 'verse': '31', 'word_num': 17, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1276354, 'book_id': 'act', 'chapter': '5', 'verse': '31', 'word_num': 21, 'word': 'of', 'occurrence': 1}, {'id': 1276355, 'book_id': 'act', 'chapter': '5', 'verse': '31', 'word_num': 22, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"508687","act","10","43","12",",1491095,",",1281417,1281418,",0,"[{'id': 1491095, 'book_id': 'act', 'chapter': '10', 'verse': '43', 'word_num': 6, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1281417, 'book_id': 'act', 'chapter': '10', 'verse': '43', 'word_num': 16, 'word': 'of', 'occurrence': 1}, {'id': 1281418, 'book_id': 'act', 'chapter': '10', 'verse': '43', 'word_num': 17, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"510429","act","13","38","12",",1492889,",",1283775,1283776,",0,"[{'id': 1492889, 'book_id': 'act', 'chapter': '13', 'verse': '38', 'word_num': 11, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1283775, 'book_id': 'act', 'chapter': '13', 'verse': '38', 'word_num': 18, 'word': 'of', 'occurrence': 1}, {'id': 1283776, 'book_id': 'act', 'chapter': '13', 'verse': '38', 'word_num': 19, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"518320","act","26","18","20",",1501007,",",1294594,1294595,",0,"[{'id': 1501007, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 21, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1294594, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 25, 'word': 'of', 'occurrence': 2}, {'id': 1294595, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 26, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.3333333333333333,10,0,0
"522359","rom","7","5","7",",1505349,1505350,",",1300632,",1,"[{'id': 1505349, 'book_id': 'rom', 'chapter': '7', 'verse': '5', 'word_num': 8, 'word': 'τῶν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFP,'}, {'id': 1505350, 'book_id': 'rom', 'chapter': '7', 'verse': '5', 'word_num': 9, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","τῶν ἁμαρτιῶν",2,0,"[{'id': 1300632, 'book_id': 'rom', 'chapter': '7', 'verse': '5', 'word_num': 8, 'word': 'sinful', 'occurrence': 1}]","sinful",1,"τῶν ἁμαρτιῶν = sinful",0.03333333333333333,1,0,0
