"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458951","mrk","2","15","11",",1438706,",",1212980,",0,"[{'id': 1438706, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 12, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1212980, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 18, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"472985","luk","6","32","13",",1453774,",",1232837,",0,"[{'id': 1453774, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 13, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1232837, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 17, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"473003","luk","6","33","13",",1453792,",",1232864,",0,"[{'id': 1453792, 'book_id': 'luk', 'chapter': '6', 'verse': '33', 'word_num': 13, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1232864, 'book_id': 'luk', 'chapter': '6', 'verse': '33', 'word_num': 21, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"473019","luk","6","34","12",",1453808,",",1232888,",0,"[{'id': 1453808, 'book_id': 'luk', 'chapter': '6', 'verse': '34', 'word_num': 12, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1232888, 'book_id': 'luk', 'chapter': '6', 'verse': '34', 'word_num': 20, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"479206","luk","13","2","10",",1460103,",",1241311,",0,"[{'id': 1460103, 'book_id': 'luk', 'chapter': '13', 'verse': '2', 'word_num': 9, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NP,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1241311, 'book_id': 'luk', 'chapter': '13', 'verse': '2', 'word_num': 15, 'word': 'sinful', 'occurrence': 1}]","sinful",1,"ἁμαρτωλοὶ = sinful",0.125,1,0,0
"480447","luk","15","1","6",",1461352,",",1242997,",0,"[{'id': 1461352, 'book_id': 'luk', 'chapter': '15', 'verse': '1', 'word_num': 9, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1242997, 'book_id': 'luk', 'chapter': '15', 'verse': '1', 'word_num': 7, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"521886","rom","5","19","10",",1504828,",",1299864,",0,"[{'id': 1504828, 'book_id': 'rom', 'chapter': '5', 'verse': '19', 'word_num': 8, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NP,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1299864, 'book_id': 'rom', 'chapter': '5', 'verse': '19', 'word_num': 12, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"562576","jud","1","15","21",",1547380,",",1359728,",0,"[{'id': 1547380, 'book_id': 'jud', 'chapter': '1', 'verse': '15', 'word_num': 25, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1359728, 'book_id': 'jud', 'chapter': '1', 'verse': '15', 'word_num': 36, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.875,7,0,0
"458972","mrk","2","16","9",",1438729,1438730,",",1213008,",1,"[{'id': 1438729, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 9, 'word': 'τῶν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMP,'}, {'id': 1438730, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 10, 'word': 'ἁμαρτωλῶν', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,GMP,'}]","τῶν ἁμαρτωλῶν",2,0,"[{'id': 1213008, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 12, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"τῶν ἁμαρτωλῶν = sinners",0.3,3,0,0
"458984","mrk","2","16","21",",1438742,",",1213025,",0,"[{'id': 1438742, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 22, 'word': 'ἁμαρτωλῶν', 'occurrence': 2, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,GMP,'}]","ἁμαρτωλῶν",1,0,"[{'id': 1213025, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 29, 'word': 'sinners', 'occurrence': 2}]","sinners",1,"ἁμαρτωλῶν = sinners",0.3,3,0,0
