"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"181374","mat","1","20","5",",1143798,",",819919,819920,",0,"[{'id': 1143798, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 5, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,1,"[{'id': 819919, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 7, 'word': 'an', 'occurrence': 1}, {'id': 819920, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 8, 'word': 'angel', 'occurrence': 1}]","an angel",2,"ἄγγελος = an angel",0.08571428571428572,0,0
"181456","mat","1","24","9",",1143891,",",820034,",0,"[{'id': 1143891, 'book_id': 'mat', 'chapter': '1', 'verse': '24', 'word_num': 12, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,0,"[{'id': 820034, 'book_id': 'mat', 'chapter': '1', 'verse': '24', 'word_num': 11, 'word': 'angel', 'occurrence': 1}]","angel",1,"ἄγγελος = angel",0.1657142857142857,0,0
"181688","mat","2","13","5",",1144136,",",820361,820362,",0,"[{'id': 1144136, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 4, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,1,"[{'id': 820361, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 6, 'word': 'an', 'occurrence': 1}, {'id': 820362, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 7, 'word': 'angel', 'occurrence': 1}]","an angel",2,"ἄγγελος = an angel",0.08571428571428572,0,0
"181820","mat","2","19","5",",1144281,",",820548,820549,",0,"[{'id': 1144281, 'book_id': 'mat', 'chapter': '2', 'verse': '19', 'word_num': 5, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,1,"[{'id': 820548, 'book_id': 'mat', 'chapter': '2', 'verse': '19', 'word_num': 5, 'word': 'an', 'occurrence': 1}, {'id': 820549, 'book_id': 'mat', 'chapter': '2', 'verse': '19', 'word_num': 6, 'word': 'angel', 'occurrence': 1}]","an angel",2,"ἄγγελος = an angel",0.08571428571428572,0,0
"182275","mat","4","6","14",",1144793,1144794,1144795,",",821191,",2,"[{'id': 1144793, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 13, 'word': 'ὅτι', 'occurrence': 1, 'strong': 'G37540', 'lemma': 'ὅτι', 'morph': 'Gr,CS,,,,,,,,'}, {'id': 1144794, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 14, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1144795, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 15, 'word': 'ἀγγέλοις', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,DMP,'}]","ὅτι τοῖς ἀγγέλοις",3,0,"[{'id': 821191, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 22, 'word': 'angels', 'occurrence': 1}]","angels",1,"ὅτι τοῖς ἀγγέλοις = angels",0.005714285714285714,0,0
"182357","mat","4","11","7",",1144881,",",821310,",0,"[{'id': 1144881, 'book_id': 'mat', 'chapter': '4', 'verse': '11', 'word_num': 7, 'word': 'ἄγγελοι', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","ἄγγελοι",1,0,"[{'id': 821310, 'book_id': 'mat', 'chapter': '4', 'verse': '11', 'word_num': 7, 'word': 'angels', 'occurrence': 1}]","angels",1,"ἄγγελοι = angels",0.09714285714285714,0,0
"186287","mat","11","10","9",",1149214,1149215,",",826902,",1,"[{'id': 1149214, 'book_id': 'mat', 'chapter': '11', 'verse': '10', 'word_num': 8, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1149215, 'book_id': 'mat', 'chapter': '11', 'verse': '10', 'word_num': 9, 'word': 'ἄγγελόν', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν ἄγγελόν",2,0,"[{'id': 826902, 'book_id': 'mat', 'chapter': '11', 'verse': '10', 'word_num': 13, 'word': 'messenger', 'occurrence': 1}]","messenger",1,"τὸν ἄγγελόν = messenger",0.017142857142857144,0,0
"188122","mat","13","39","18",",1151209,",",829500,",0,"[{'id': 1151209, 'book_id': 'mat', 'chapter': '13', 'verse': '39', 'word_num': 18, 'word': 'ἄγγελοί', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","ἄγγελοί",1,0,"[{'id': 829500, 'book_id': 'mat', 'chapter': '13', 'verse': '39', 'word_num': 21, 'word': 'angels', 'occurrence': 1}]","angels",1,"ἄγγελοί = angels",0.005714285714285714,0,0
"188143","mat","13","41","5",",1151231,1151232,",",829530,",1,"[{'id': 1151231, 'book_id': 'mat', 'chapter': '13', 'verse': '41', 'word_num': 5, 'word': 'τοὺς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMP,'}, {'id': 1151232, 'book_id': 'mat', 'chapter': '13', 'verse': '41', 'word_num': 6, 'word': 'ἀγγέλους', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,AMP,'}]","τοὺς ἀγγέλους",2,0,"[{'id': 829530, 'book_id': 'mat', 'chapter': '13', 'verse': '41', 'word_num': 8, 'word': 'angels', 'occurrence': 1}]","angels",1,"τοὺς ἀγγέλους = angels",0.017142857142857144,0,0
"188278","mat","13","49","8",",1151383,",",829727,",0,"[{'id': 1151383, 'book_id': 'mat', 'chapter': '13', 'verse': '49', 'word_num': 9, 'word': 'ἄγγελοι', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","ἄγγελοι",1,0,"[{'id': 829727, 'book_id': 'mat', 'chapter': '13', 'verse': '49', 'word_num': 12, 'word': 'angels', 'occurrence': 1}]","angels",1,"ἄγγελοι = angels",0.09714285714285714,0,0
"189885","mat","16","27","14",",1153194,1153195,",",832061,",1,"[{'id': 1153194, 'book_id': 'mat', 'chapter': '16', 'verse': '27', 'word_num': 14, 'word': 'τῶν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMP,'}, {'id': 1153195, 'book_id': 'mat', 'chapter': '16', 'verse': '27', 'word_num': 15, 'word': 'ἀγγέλων', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,GMP,'}]","τῶν ἀγγέλων",2,0,"[{'id': 832061, 'book_id': 'mat', 'chapter': '16', 'verse': '27', 'word_num': 17, 'word': 'angels', 'occurrence': 1}]","angels",1,"τῶν ἀγγέλων = angels",0.011428571428571429,0,0
"190564","mat","18","10","15",",1153950,1153951,",",832984,",1,"[{'id': 1153950, 'book_id': 'mat', 'chapter': '18', 'verse': '10', 'word_num': 11, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMP,'}, {'id': 1153951, 'book_id': 'mat', 'chapter': '18', 'verse': '10', 'word_num': 12, 'word': 'ἄγγελοι', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","οἱ ἄγγελοι",2,0,"[{'id': 832984, 'book_id': 'mat', 'chapter': '18', 'verse': '10', 'word_num': 20, 'word': 'angels', 'occurrence': 1}]","angels",1,"οἱ ἄγγελοι = angels",0.022857142857142857,0,0
"193177","mat","22","30","12",",1156810,",",836786,",0,"[{'id': 1156810, 'book_id': 'mat', 'chapter': '22', 'verse': '30', 'word_num': 10, 'word': 'ἄγγελοι', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","ἄγγελοι",1,0,"[{'id': 836786, 'book_id': 'mat', 'chapter': '22', 'verse': '30', 'word_num': 16, 'word': 'angels', 'occurrence': 1}]","angels",1,"ἄγγελοι = angels",0.09714285714285714,0,0
"194414","mat","24","31","2",",1158159,1158160,",",838548,",1,"[{'id': 1158159, 'book_id': 'mat', 'chapter': '24', 'verse': '31', 'word_num': 2, 'word': 'τοὺς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMP,'}, {'id': 1158160, 'book_id': 'mat', 'chapter': '24', 'verse': '31', 'word_num': 3, 'word': 'ἀγγέλους', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,AMP,'}]","τοὺς ἀγγέλους",2,0,"[{'id': 838548, 'book_id': 'mat', 'chapter': '24', 'verse': '31', 'word_num': 4, 'word': 'angels', 'occurrence': 1}]","angels",1,"τοὺς ἀγγέλους = angels",0.017142857142857144,0,0
"194498","mat","24","36","10",",1158255,",",838668,",0,"[{'id': 1158255, 'book_id': 'mat', 'chapter': '24', 'verse': '36', 'word_num': 11, 'word': 'ἄγγελοι', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMP,'}]","ἄγγελοι",1,0,"[{'id': 838668, 'book_id': 'mat', 'chapter': '24', 'verse': '36', 'word_num': 12, 'word': 'angels', 'occurrence': 1}]","angels",1,"ἄγγελοι = angels",0.09714285714285714,0,0
