"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"481186","luk","16","10","11",",1462104,",",1243996,1243997,",0,"[{'id': 1462104, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 13, 'word': 'ἄδικος', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄδικος",1,1,"[{'id': 1243996, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 15, 'word': 'is', 'occurrence': 3}, {'id': 1243997, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 16, 'word': 'unrighteous', 'occurrence': 1}]","is unrighteous",2,"ἄδικος = is unrighteous",0.09090909090909091,0,0
"481191","luk","16","10","16",",1462108,",",1244003,",0,"[{'id': 1462108, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 17, 'word': 'ἄδικός', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄδικός",1,0,"[{'id': 1244003, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 22, 'word': 'unrighteous', 'occurrence': 2}]","unrighteous",1,"ἄδικός = unrighteous",0.09090909090909091,0,0
"481201","luk","16","11","7",",1462113,1462114,",",1244015,",1,"[{'id': 1462113, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 3, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMS,'}, {'id': 1462114, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 4, 'word': 'ἀδίκῳ', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,AA,,,,DMS,'}]","τῷ ἀδίκῳ",2,0,"[{'id': 1244015, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 9, 'word': 'unrighteous', 'occurrence': 1}]","unrighteous",1,"τῷ ἀδίκῳ = unrighteous",0.09090909090909091,0,0
"482330","luk","18","11","18",",1463262,",",1245593,",0,"[{'id': 1463262, 'book_id': 'luk', 'chapter': '18', 'verse': '11', 'word_num': 20, 'word': 'ἄδικοι', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,NMP,'}]","ἄδικοι",1,0,"[{'id': 1245593, 'book_id': 'luk', 'chapter': '18', 'verse': '11', 'word_num': 20, 'word': 'unrighteous', 'occurrence': 1}]","unrighteous",1,"ἄδικοι = unrighteous",0.09090909090909091,0,0
"517253","act","24","15","15",",1499924,",",1293084,1293085,",0,"[{'id': 1499924, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 16, 'word': 'ἀδίκων', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,GMP,'}]","ἀδίκων",1,1,"[{'id': 1293084, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 27, 'word': 'the', 'occurrence': 3}, {'id': 1293085, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 28, 'word': 'wicked', 'occurrence': 1}]","the wicked",2,"ἀδίκων = the wicked",0.09090909090909091,0,0
"520872","rom","3","5","10",",1503696,1503697,",",1298344,",1,"[{'id': 1503696, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 10, 'word': 'μὴ', 'occurrence': 1, 'strong': 'G33610', 'lemma': 'μή', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1503697, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 11, 'word': 'ἄδικος', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NP,,,,NMS,'}]","μὴ ἄδικος",2,0,"[{'id': 1298344, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 15, 'word': 'unrighteous', 'occurrence': 1}]","unrighteous",1,"μὴ ἄδικος = unrighteous",0.09090909090909091,0,0
"528050","1co","6","1","11",",1511447,",",1309208,",0,"[{'id': 1511447, 'book_id': '1co', 'chapter': '6', 'verse': '1', 'word_num': 11, 'word': 'ἀδίκων', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,GMP,'}]","ἀδίκων",1,0,"[{'id': 1309208, 'book_id': '1co', 'chapter': '6', 'verse': '1', 'word_num': 18, 'word': 'unrighteous', 'occurrence': 1}]","unrighteous",1,"ἀδίκων = unrighteous",0.09090909090909091,0,0
"528162","1co","6","9","6",",1511556,",",1309369,1309370,",0,"[{'id': 1511556, 'book_id': '1co', 'chapter': '6', 'verse': '9', 'word_num': 4, 'word': 'ἄδικοι', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,NMP,'}]","ἄδικοι",1,1,"[{'id': 1309369, 'book_id': '1co', 'chapter': '6', 'verse': '9', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1309370, 'book_id': '1co', 'chapter': '6', 'verse': '9', 'word_num': 7, 'word': 'unrighteous', 'occurrence': 1}]","the unrighteous",2,"ἄδικοι = the unrighteous",0.09090909090909091,0,0
"552403","heb","6","10","2",",1536521,",",1344433,",0,"[{'id': 1536521, 'book_id': 'heb', 'chapter': '6', 'verse': '10', 'word_num': 2, 'word': 'ἄδικος', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄδικος",1,0,"[{'id': 1344433, 'book_id': 'heb', 'chapter': '6', 'verse': '10', 'word_num': 2, 'word': 'is', 'occurrence': 1}]","is",1,"ἄδικος = is",0.09090909090909091,0,0
"558373","1pe","3","18","9",",1542785,",",1353463,1353464,1353465,1353466,",0,"[{'id': 1542785, 'book_id': '1pe', 'chapter': '3', 'verse': '18', 'word_num': 9, 'word': 'ἀδίκων', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,GMP,'}]","ἀδίκων",1,3,"[{'id': 1353463, 'book_id': '1pe', 'chapter': '3', 'verse': '18', 'word_num': 13, 'word': 'us', 'occurrence': 1}, {'id': 1353464, 'book_id': '1pe', 'chapter': '3', 'verse': '18', 'word_num': 14, 'word': 'who', 'occurrence': 2}, {'id': 1353465, 'book_id': '1pe', 'chapter': '3', 'verse': '18', 'word_num': 15, 'word': 'were', 'occurrence': 1}, {'id': 1353466, 'book_id': '1pe', 'chapter': '3', 'verse': '18', 'word_num': 16, 'word': 'unrighteous', 'occurrence': 1}]","us who were unrighteous",4,"ἀδίκων = us who were unrighteous",0.09090909090909091,0,0
"559370","2pe","2","9","9",",1543897,",",1355146,1355147,",0,"[{'id': 1543897, 'book_id': '2pe', 'chapter': '2', 'verse': '9', 'word_num': 6, 'word': 'ἀδίκους', 'occurrence': 1, 'strong': 'G00940', 'lemma': 'ἄδικος', 'morph': 'Gr,NS,,,,AMP,'}]","ἀδίκους",1,1,"[{'id': 1355146, 'book_id': '2pe', 'chapter': '2', 'verse': '9', 'word_num': 15, 'word': 'unrighteous', 'occurrence': 1}, {'id': 1355147, 'book_id': '2pe', 'chapter': '2', 'verse': '9', 'word_num': 16, 'word': 'men', 'occurrence': 2}]","unrighteous men",2,"ἀδίκους = unrighteous men",0.09090909090909091,0,0
