"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"470509","luk","3","8","3",",1451251,",",1229557,1229558,1229559,",0,"[{'id': 1451251, 'book_id': 'luk', 'chapter': '3', 'verse': '8', 'word_num': 3, 'word': 'ἀξίους', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,AA,,,,AMP,'}]","ἀξίους",1,2,"[{'id': 1229557, 'book_id': 'luk', 'chapter': '3', 'verse': '8', 'word_num': 3, 'word': 'that', 'occurrence': 1}, {'id': 1229558, 'book_id': 'luk', 'chapter': '3', 'verse': '8', 'word_num': 4, 'word': 'are', 'occurrence': 1}, {'id': 1229559, 'book_id': 'luk', 'chapter': '3', 'verse': '8', 'word_num': 5, 'word': 'worthy', 'occurrence': 1}]","that are worthy",3,"ἀξίους = that are worthy",0.03125,0,0
"473414","luk","7","4","11",",1454201,",",1233435,",0,"[{'id': 1454201, 'book_id': 'luk', 'chapter': '7', 'verse': '4', 'word_num': 11, 'word': 'ἄξιός', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιός",1,0,"[{'id': 1233435, 'book_id': 'luk', 'chapter': '7', 'verse': '4', 'word_num': 14, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιός = worthy",0.03125,0,0
"476564","luk","10","7","14",",1457386,",",1237674,1237675,",0,"[{'id': 1457386, 'book_id': 'luk', 'chapter': '10', 'verse': '7', 'word_num': 12, 'word': 'ἄξιος', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιος",1,1,"[{'id': 1237674, 'book_id': 'luk', 'chapter': '10', 'verse': '7', 'word_num': 16, 'word': 'is', 'occurrence': 2}, {'id': 1237675, 'book_id': 'luk', 'chapter': '10', 'verse': '7', 'word_num': 17, 'word': 'worthy', 'occurrence': 1}]","is worthy",2,"ἄξιος = is worthy",0.0625,0,0
"478970","luk","12","48","6",",1459868,",",1240973,1240974,1240975,",0,"[{'id': 1459868, 'book_id': 'luk', 'chapter': '12', 'verse': '48', 'word_num': 6, 'word': 'ἄξια', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANP,'}]","ἄξια",1,2,"[{'id': 1240973, 'book_id': 'luk', 'chapter': '12', 'verse': '48', 'word_num': 9, 'word': 'things', 'occurrence': 1}, {'id': 1240974, 'book_id': 'luk', 'chapter': '12', 'verse': '48', 'word_num': 10, 'word': 'that', 'occurrence': 1}, {'id': 1240975, 'book_id': 'luk', 'chapter': '12', 'verse': '48', 'word_num': 11, 'word': 'deserved', 'occurrence': 1}]","things that deserved",3,"ἄξια = things that deserved",0.03125,0,0
"480741","luk","15","19","2",",1461645,",",1243402,",0,"[{'id': 1461645, 'book_id': 'luk', 'chapter': '15', 'verse': '19', 'word_num': 2, 'word': 'ἄξιος', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιος",1,0,"[{'id': 1243402, 'book_id': 'luk', 'chapter': '15', 'verse': '19', 'word_num': 4, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιος = worthy",0.28125,0,0
"480796","luk","15","21","15",",1461700,",",1243472,",0,"[{'id': 1461700, 'book_id': 'luk', 'chapter': '15', 'verse': '21', 'word_num': 15, 'word': 'ἄξιος', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιος",1,0,"[{'id': 1243472, 'book_id': 'luk', 'chapter': '15', 'verse': '21', 'word_num': 20, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιος = worthy",0.28125,0,0
"486157","luk","23","15","13",",1467131,",",1250878,",0,"[{'id': 1467131, 'book_id': 'luk', 'chapter': '23', 'verse': '15', 'word_num': 11, 'word': 'ἄξιον', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,NNS,'}]","ἄξιον",1,0,"[{'id': 1250878, 'book_id': 'luk', 'chapter': '23', 'verse': '15', 'word_num': 16, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιον = worthy",0.125,0,0
"486513","luk","23","41","5",",1467487,",",1251354,1251355,",0,"[{'id': 1467487, 'book_id': 'luk', 'chapter': '23', 'verse': '41', 'word_num': 4, 'word': 'ἄξια', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANP,'}]","ἄξια",1,1,"[{'id': 1251354, 'book_id': 'luk', 'chapter': '23', 'verse': '41', 'word_num': 7, 'word': 'things', 'occurrence': 1}, {'id': 1251355, 'book_id': 'luk', 'chapter': '23', 'verse': '41', 'word_num': 8, 'word': 'worthy', 'occurrence': 1}]","things worthy",2,"ἄξια = things worthy",0.03125,0,0
"487909","jhn","1","27","12",",1468916,",",1253200,",0,"[{'id': 1468916, 'book_id': 'jhn', 'chapter': '1', 'verse': '27', 'word_num': 8, 'word': 'ἄξιος', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιος",1,0,"[{'id': 1253200, 'book_id': 'jhn', 'chapter': '1', 'verse': '27', 'word_num': 18, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιος = worthy",0.28125,0,0
"510229","act","13","25","27",",1492681,",",1283492,",0,"[{'id': 1492681, 'book_id': 'act', 'chapter': '13', 'verse': '25', 'word_num': 22, 'word': 'ἄξιος', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄξιος",1,0,"[{'id': 1283492, 'book_id': 'act', 'chapter': '13', 'verse': '25', 'word_num': 35, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιος = worthy",0.28125,0,0
"510575","act","13","46","24",",1493031,",",1283975,",0,"[{'id': 1493031, 'book_id': 'act', 'chapter': '13', 'verse': '46', 'word_num': 22, 'word': 'ἀξίους', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,AMP,'}]","ἀξίους",1,0,"[{'id': 1283975, 'book_id': 'act', 'chapter': '13', 'verse': '46', 'word_num': 34, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἀξίους = worthy",0.03125,0,0
"516904","act","23","29","12",",1499570,",",1292578,1292579,",0,"[{'id': 1499570, 'book_id': 'act', 'chapter': '23', 'verse': '29', 'word_num': 10, 'word': 'ἄξιον', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANS,'}]","ἄξιον",1,1,"[{'id': 1292578, 'book_id': 'act', 'chapter': '23', 'verse': '29', 'word_num': 20, 'word': 'that', 'occurrence': 2}, {'id': 1292579, 'book_id': 'act', 'chapter': '23', 'verse': '29', 'word_num': 21, 'word': 'deserved', 'occurrence': 1}]","that deserved",2,"ἄξιον = that deserved",0.03125,0,0
"517650","act","25","11","6",",1500331,",",1293650,",0,"[{'id': 1500331, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 5, 'word': 'ἄξιον', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANS,'}]","ἄξιον",1,0,"[{'id': 1293650, 'book_id': 'act', 'chapter': '25', 'verse': '11', 'word_num': 10, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιον = worthy",0.125,0,0
"517942","act","25","25","6",",1500622,",",1294054,",0,"[{'id': 1500622, 'book_id': 'act', 'chapter': '25', 'verse': '25', 'word_num': 4, 'word': 'ἄξιον', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANS,'}]","ἄξιον",1,0,"[{'id': 1294054, 'book_id': 'act', 'chapter': '25', 'verse': '25', 'word_num': 8, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιον = worthy",0.125,0,0
"518367","act","26","20","27",",1501050,",",1294656,",0,"[{'id': 1501050, 'book_id': 'act', 'chapter': '26', 'verse': '20', 'word_num': 24, 'word': 'ἄξια', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANP,'}]","ἄξια",1,0,"[{'id': 1294656, 'book_id': 'act', 'chapter': '26', 'verse': '20', 'word_num': 34, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξια = worthy",0.03125,0,0
"518556","act","26","31","9",",1501248,",",1294916,",0,"[{'id': 1501248, 'book_id': 'act', 'chapter': '26', 'verse': '31', 'word_num': 11, 'word': 'ἄξιον', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NS,,,,ANS,'}]","ἄξιον",1,0,"[{'id': 1294916, 'book_id': 'act', 'chapter': '26', 'verse': '31', 'word_num': 14, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἄξιον = worthy",0.125,0,0
"520392","rom","1","32","10",",1503160,",",1297549,",0,"[{'id': 1503160, 'book_id': 'rom', 'chapter': '1', 'verse': '32', 'word_num': 11, 'word': 'ἄξιοι', 'occurrence': 1, 'strong': 'G05140', 'lemma': 'ἄξιος', 'morph': 'Gr,NP,,,,NMP,'}]","ἄξιοι",1,0,"[{'id': 1297549, 'book_id': 'rom', 'chapter': '1', 'verse': '32', 'word_num': 14, 'word': 'deserving', 'occurrence': 1}]","deserving",1,"ἄξιοι = deserving",0.03125,0,0
