"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458182","mrk","1","8","10",",1437886,",",1211895,",0,"[{'id': 1437886, 'book_id': 'mrk', 'chapter': '1', 'verse': '8', 'word_num': 10, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1211895, 'book_id': 'mrk', 'chapter': '1', 'verse': '8', 'word_num': 12, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"470683","luk","3","16","30",",1451424,",",1229793,",0,"[{'id': 1451424, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 30, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1229793, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 40, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"476792","luk","10","21","6",",1457631,1457632,",",1237977,",1,"[{'id': 1457631, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 7, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1457632, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 8, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ Ἁγίῳ",2,0,"[{'id': 1237977, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 8, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"τῷ Ἁγίῳ = Holy",0.2222222222222222,4,0,0
"488016","jhn","1","33","28",",1469039,",",1253346,",0,"[{'id': 1469039, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 31, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1253346, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 37, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"502028","act","1","5","9",",1484236,",",1272531,",0,"[{'id': 1484236, 'book_id': 'act', 'chapter': '1', 'verse': '5', 'word_num': 10, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1272531, 'book_id': 'act', 'chapter': '1', 'verse': '5', 'word_num': 12, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"506344","act","7","51","10",",1488695,1488696,",",1278272,",1,"[{'id': 1488695, 'book_id': 'act', 'chapter': '7', 'verse': '51', 'word_num': 11, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1488696, 'book_id': 'act', 'chapter': '7', 'verse': '51', 'word_num': 12, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ Ἁγίῳ",2,0,"[{'id': 1278272, 'book_id': 'act', 'chapter': '7', 'verse': '51', 'word_num': 14, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"τῷ Ἁγίῳ = Holy",0.2222222222222222,4,0,0
"508580","act","10","38","8",",1490994,",",1281272,",0,"[{'id': 1490994, 'book_id': 'act', 'chapter': '10', 'verse': '38', 'word_num': 10, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1281272, 'book_id': 'act', 'chapter': '10', 'verse': '38', 'word_num': 12, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"509024","act","11","16","17",",1491456,",",1281861,",0,"[{'id': 1491456, 'book_id': 'act', 'chapter': '11', 'verse': '16', 'word_num': 17, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1281861, 'book_id': 'act', 'chapter': '11', 'verse': '16', 'word_num': 22, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
"511620","act","15","28","4",",1494117,1494118,",",1285381,",1,"[{'id': 1494117, 'book_id': 'act', 'chapter': '15', 'verse': '28', 'word_num': 4, 'word': 'τῷ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1494118, 'book_id': 'act', 'chapter': '15', 'verse': '28', 'word_num': 5, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AR,,,,DNS,'}]","τῷ Ἁγίῳ",2,0,"[{'id': 1285381, 'book_id': 'act', 'chapter': '15', 'verse': '28', 'word_num': 6, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"τῷ Ἁγίῳ = Holy",0.2222222222222222,4,0,0
"523345","rom","9","1","13",",1506384,",",1302128,",0,"[{'id': 1506384, 'book_id': 'rom', 'chapter': '9', 'verse': '1', 'word_num': 13, 'word': 'Ἁγίῳ', 'occurrence': 1, 'strong': 'G00400', 'lemma': 'ἅγιος', 'morph': 'Gr,AA,,,,DNS,'}]","Ἁγίῳ",1,0,"[{'id': 1302128, 'book_id': 'rom', 'chapter': '9', 'verse': '1', 'word_num': 19, 'word': 'Holy', 'occurrence': 1}]","Holy",1,"Ἁγίῳ = Holy",0.7777777777777778,14,0,0
