"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"466298","mrk","13","20","14",",1446637,",",1223327,",0,"[{'id': 1446637, 'book_id': 'mrk', 'chapter': '13', 'verse': '20', 'word_num': 15, 'word': 'ἐκλεκτοὺς', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,AMP,'}]","ἐκλεκτοὺς",1,0,"[{'id': 1223327, 'book_id': 'mrk', 'chapter': '13', 'verse': '20', 'word_num': 21, 'word': 'elect', 'occurrence': 1}]","elect",1,"ἐκλεκτοὺς = elect",0.5,1,0,0
"466395","mrk","13","27","7",",1446739,1446740,",",1223460,",1,"[{'id': 1446739, 'book_id': 'mrk', 'chapter': '13', 'verse': '27', 'word_num': 7, 'word': 'τοὺς', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMP,'}, {'id': 1446740, 'book_id': 'mrk', 'chapter': '13', 'verse': '27', 'word_num': 8, 'word': 'ἐκλεκτοὺς', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,AMP,'}]","τοὺς ἐκλεκτοὺς",2,0,"[{'id': 1223460, 'book_id': 'mrk', 'chapter': '13', 'verse': '27', 'word_num': 12, 'word': 'elect', 'occurrence': 1}]","elect",1,"τοὺς ἐκλεκτοὺς = elect",0.5,1,0,0
"466334","mrk","13","22","15",",1446673,",",1223378,",0,"[{'id': 1446673, 'book_id': 'mrk', 'chapter': '13', 'verse': '22', 'word_num': 16, 'word': 'ἐκλεκτούς', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,AMP,'}]","ἐκλεκτούς",1,0,"[{'id': 1223378, 'book_id': 'mrk', 'chapter': '13', 'verse': '22', 'word_num': 21, 'word': 'elect', 'occurrence': 1}]","elect",1,"ἐκλεκτούς = elect",0.5,1,0,0
"549197","2ti","2","10","6",",1533211,",",1339754,",0,"[{'id': 1533211, 'book_id': '2ti', 'chapter': '2', 'verse': '10', 'word_num': 6, 'word': 'ἐκλεκτούς', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,AMP,'}]","ἐκλεκτούς",1,0,"[{'id': 1339754, 'book_id': '2ti', 'chapter': '2', 'verse': '10', 'word_num': 9, 'word': 'chosen', 'occurrence': 1}]","chosen",1,"ἐκλεκτούς = chosen",0.5,1,0,0
"482247","luk","18","7","8",",1463175,",",1245488,",0,"[{'id': 1463175, 'book_id': 'luk', 'chapter': '18', 'verse': '7', 'word_num': 9, 'word': 'ἐκλεκτῶν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,GMP,'}]","ἐκλεκτῶν",1,0,"[{'id': 1245488, 'book_id': 'luk', 'chapter': '18', 'verse': '7', 'word_num': 9, 'word': 'elect', 'occurrence': 1}]","elect",1,"ἐκλεκτῶν = elect",0.25,1,0,0
"523231","rom","8","33","4",",1506261,",",1301955,1301956,",0,"[{'id': 1506261, 'book_id': 'rom', 'chapter': '8', 'verse': '33', 'word_num': 3, 'word': 'ἐκλεκτῶν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,GMP,'}]","ἐκλεκτῶν",1,1,"[{'id': 1301955, 'book_id': 'rom', 'chapter': '8', 'verse': '33', 'word_num': 8, 'word': 'chosen', 'occurrence': 1}, {'id': 1301956, 'book_id': 'rom', 'chapter': '8', 'verse': '33', 'word_num': 9, 'word': 'ones', 'occurrence': 1}]","chosen ones",2,"ἐκλεκτῶν = chosen ones",0.25,1,0,0
"548363","1ti","5","21","8",",1532378,",",1338596,",0,"[{'id': 1532378, 'book_id': '1ti', 'chapter': '5', 'verse': '21', 'word_num': 9, 'word': 'ἐκλεκτῶν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,AA,,,,GMP,'}]","ἐκλεκτῶν",1,0,"[{'id': 1338596, 'book_id': '1ti', 'chapter': '5', 'verse': '21', 'word_num': 11, 'word': 'chosen', 'occurrence': 1}]","chosen",1,"ἐκλεκτῶν = chosen",0.25,1,0,0
"549996","tit","1","1","9",",1534028,",",1340866,1340867,1340868,1340869,",0,"[{'id': 1534028, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 9, 'word': 'ἐκλεκτῶν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,GMP,'}]","ἐκλεκτῶν",1,3,"[{'id': 1340866, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 14, 'word': 'of', 'occurrence': 3}, {'id': 1340867, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 15, 'word': 'the', 'occurrence': 2}, {'id': 1340868, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 16, 'word': 'chosen', 'occurrence': 1}, {'id': 1340869, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 17, 'word': 'people', 'occurrence': 1}]","of the chosen people",4,"ἐκλεκτῶν = of the chosen people",0.25,1,0,0
"486436","luk","23","35","23",",1467415,",",1251265,1251266,",0,"[{'id': 1467415, 'book_id': 'luk', 'chapter': '23', 'verse': '35', 'word_num': 23, 'word': 'ἐκλεκτός', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,NMS,'}]","ἐκλεκτός",1,1,"[{'id': 1251265, 'book_id': 'luk', 'chapter': '23', 'verse': '35', 'word_num': 29, 'word': 'chosen', 'occurrence': 1}, {'id': 1251266, 'book_id': 'luk', 'chapter': '23', 'verse': '35', 'word_num': 30, 'word': 'one', 'occurrence': 1}]","chosen one",2,"ἐκλεκτός = chosen one",1.0,1,0,0
"526194","rom","16","13","2",",1509492,1509493,",",1306541,",1,"[{'id': 1509492, 'book_id': 'rom', 'chapter': '16', 'verse': '13', 'word_num': 2, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1509493, 'book_id': 'rom', 'chapter': '16', 'verse': '13', 'word_num': 3, 'word': 'ἐκλεκτὸν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,AR,,,,AMS,'}]","τὸν ἐκλεκτὸν",2,0,"[{'id': 1306541, 'book_id': 'rom', 'chapter': '16', 'verse': '13', 'word_num': 2, 'word': 'chosen', 'occurrence': 1}]","chosen",1,"τὸν ἐκλεκτὸν = chosen",0.3333333333333333,1,0,0
"557775","1pe","2","4","10",",1542151,",",1352507,1352508,1352509,1352510,",0,"[{'id': 1542151, 'book_id': '1pe', 'chapter': '2', 'verse': '4', 'word_num': 12, 'word': 'ἐκλεκτὸν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,AMS,'}]","ἐκλεκτὸν",1,3,"[{'id': 1352507, 'book_id': '1pe', 'chapter': '2', 'verse': '4', 'word_num': 15, 'word': 'that', 'occurrence': 2}, {'id': 1352508, 'book_id': '1pe', 'chapter': '2', 'verse': '4', 'word_num': 16, 'word': 'has', 'occurrence': 2}, {'id': 1352509, 'book_id': '1pe', 'chapter': '2', 'verse': '4', 'word_num': 17, 'word': 'been', 'occurrence': 2}, {'id': 1352510, 'book_id': '1pe', 'chapter': '2', 'verse': '4', 'word_num': 18, 'word': 'chosen', 'occurrence': 1}]","that has been chosen",4,"ἐκλεκτὸν = that has been chosen",0.3333333333333333,1,0,0
"557810","1pe","2","6","8",",1542182,",",1352563,",0,"[{'id': 1542182, 'book_id': '1pe', 'chapter': '2', 'verse': '6', 'word_num': 10, 'word': 'ἐκλεκτὸν', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,AA,,,,AMS,'}]","ἐκλεκτὸν",1,0,"[{'id': 1352563, 'book_id': '1pe', 'chapter': '2', 'verse': '6', 'word_num': 12, 'word': 'chosen', 'occurrence': 1}]","chosen",1,"ἐκλεκτὸν = chosen",0.3333333333333333,1,0,0
"544495","col","3","12","3",",1528392,",",1333159,1333160,",0,"[{'id': 1528392, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 3, 'word': 'ἐκλεκτοὶ', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,NMP,'}]","ἐκλεκτοὶ",1,1,"[{'id': 1333159, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 4, 'word': 'chosen', 'occurrence': 1}, {'id': 1333160, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 5, 'word': 'ones', 'occurrence': 1}]","chosen ones",2,"ἐκλεκτοὶ = chosen ones",0.5,1,0,0
"569143","rev","17","14","23",",1554657,",",1368726,",0,"[{'id': 1554657, 'book_id': 'rev', 'chapter': '17', 'verse': '14', 'word_num': 23, 'word': 'ἐκλεκτοὶ', 'occurrence': 1, 'strong': 'G15880', 'lemma': 'ἐκλεκτός', 'morph': 'Gr,NS,,,,NMP,'}]","ἐκλεκτοὶ",1,0,"[{'id': 1368726, 'book_id': 'rev', 'chapter': '17', 'verse': '14', 'word_num': 30, 'word': 'chosen', 'occurrence': 1}]","chosen",1,"ἐκλεκτοὶ = chosen",0.5,1,0,0
