"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"460681","mrk","5","19","23",",1440535,",",1215370,1215371,1215372,",0,"[{'id': 1440535, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 24, 'word': 'ἠλέησέν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠλέησέν",1,2,"[{'id': 1215370, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 31, 'word': 'he', 'occurrence': 1}, {'id': 1215371, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 32, 'word': 'has', 'occurrence': 2}, {'id': 1215372, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 33, 'word': 'shown', 'occurrence': 1}]","he has shown",3,"ἠλέησέν = he has shown",0.041666666666666664,0,0
"464657","mrk","10","47","13",",1444835,",",1220983,1220984,1220985,",0,"[{'id': 1444835, 'book_id': 'mrk', 'chapter': '10', 'verse': '47', 'word_num': 14, 'word': 'ἐλέησόν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησόν",1,2,"[{'id': 1220983, 'book_id': 'mrk', 'chapter': '10', 'verse': '47', 'word_num': 20, 'word': 'have', 'occurrence': 1}, {'id': 1220984, 'book_id': 'mrk', 'chapter': '10', 'verse': '47', 'word_num': 21, 'word': 'mercy', 'occurrence': 1}, {'id': 1220985, 'book_id': 'mrk', 'chapter': '10', 'verse': '47', 'word_num': 22, 'word': 'on', 'occurrence': 1}]","have mercy on",3,"ἐλέησόν = have mercy on",0.08333333333333333,0,0
"464671","mrk","10","48","12",",1444850,",",1221006,1221007,1221008,",0,"[{'id': 1444850, 'book_id': 'mrk', 'chapter': '10', 'verse': '48', 'word_num': 13, 'word': 'ἐλέησόν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησόν",1,2,"[{'id': 1221006, 'book_id': 'mrk', 'chapter': '10', 'verse': '48', 'word_num': 19, 'word': 'have', 'occurrence': 1}, {'id': 1221007, 'book_id': 'mrk', 'chapter': '10', 'verse': '48', 'word_num': 20, 'word': 'mercy', 'occurrence': 1}, {'id': 1221008, 'book_id': 'mrk', 'chapter': '10', 'verse': '48', 'word_num': 21, 'word': 'on', 'occurrence': 1}]","have mercy on",3,"ἐλέησόν = have mercy on",0.08333333333333333,0,0
"481426","luk","16","24","6",",1462348,",",1244336,1244337,",0,"[{'id': 1462348, 'book_id': 'luk', 'chapter': '16', 'verse': '24', 'word_num': 6, 'word': 'ἐλέησόν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησόν",1,1,"[{'id': 1244336, 'book_id': 'luk', 'chapter': '16', 'verse': '24', 'word_num': 8, 'word': 'have', 'occurrence': 1}, {'id': 1244337, 'book_id': 'luk', 'chapter': '16', 'verse': '24', 'word_num': 9, 'word': 'mercy', 'occurrence': 1}]","have mercy",2,"ἐλέησόν = have mercy",0.125,0,0
"481781","luk","17","13","7",",1462706,",",1244843,1244844,",0,"[{'id': 1462706, 'book_id': 'luk', 'chapter': '17', 'verse': '13', 'word_num': 7, 'word': 'ἐλέησον', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησον",1,1,"[{'id': 1244843, 'book_id': 'luk', 'chapter': '17', 'verse': '13', 'word_num': 9, 'word': 'have', 'occurrence': 1}, {'id': 1244844, 'book_id': 'luk', 'chapter': '17', 'verse': '13', 'word_num': 10, 'word': 'mercy', 'occurrence': 1}]","have mercy",2,"ἐλέησον = have mercy",0.041666666666666664,0,0
"482736","luk","18","38","6",",1463681,",",1246169,1246170,",0,"[{'id': 1463681, 'book_id': 'luk', 'chapter': '18', 'verse': '38', 'word_num': 6, 'word': 'ἐλέησόν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησόν",1,1,"[{'id': 1246169, 'book_id': 'luk', 'chapter': '18', 'verse': '38', 'word_num': 9, 'word': 'have', 'occurrence': 1}, {'id': 1246170, 'book_id': 'luk', 'chapter': '18', 'verse': '38', 'word_num': 10, 'word': 'mercy', 'occurrence': 1}]","have mercy",2,"ἐλέησόν = have mercy",0.125,0,0
"482752","luk","18","39","14",",1463697,",",1246199,1246200,",0,"[{'id': 1463697, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 14, 'word': 'ἐλέησόν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,MAA2,,S,'}]","ἐλέησόν",1,1,"[{'id': 1246199, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 26, 'word': 'have', 'occurrence': 1}, {'id': 1246200, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 27, 'word': 'mercy', 'occurrence': 1}]","have mercy",2,"ἐλέησόν = have mercy",0.125,0,0
"523531","rom","9","15","3",",1506589,",",1302414,1302415,1302416,1302417,",0,"[{'id': 1506589, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 4, 'word': 'ἐλεήσω', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IFA1,,S,'}]","ἐλεήσω",1,3,"[{'id': 1302414, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 5, 'word': 'I', 'occurrence': 1}, {'id': 1302415, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 6, 'word': 'will', 'occurrence': 1}, {'id': 1302416, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 7, 'word': 'have', 'occurrence': 1}, {'id': 1302417, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 8, 'word': 'mercy', 'occurrence': 1}]","I will have mercy",4,"ἐλεήσω = I will have mercy",0.041666666666666664,0,0
"523533","rom","9","15","5",",1506592,",",1302420,1302421,1302422,1302423,",0,"[{'id': 1506592, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 7, 'word': 'ἐλεῶ', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,SPA1,,S,'}]","ἐλεῶ",1,3,"[{'id': 1302420, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 11, 'word': 'I', 'occurrence': 2}, {'id': 1302421, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 12, 'word': 'will', 'occurrence': 2}, {'id': 1302422, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 13, 'word': 'have', 'occurrence': 2}, {'id': 1302423, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 14, 'word': 'mercy', 'occurrence': 2}]","I will have mercy",4,"ἐλεῶ = I will have mercy",0.041666666666666664,0,0
"523547","rom","9","16","9",",1506607,1506608,",",1302455,1302456,1302457,",1,"[{'id': 1506607, 'book_id': 'rom', 'chapter': '9', 'verse': '16', 'word_num': 9, 'word': 'τοῦ', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GMS,'}, {'id': 1506608, 'book_id': 'rom', 'chapter': '9', 'verse': '16', 'word_num': 10, 'word': 'ἐλεῶντος', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,PPA,GMS,'}]","τοῦ ἐλεῶντος",2,2,"[{'id': 1302455, 'book_id': 'rom', 'chapter': '9', 'verse': '16', 'word_num': 20, 'word': 'who', 'occurrence': 3}, {'id': 1302456, 'book_id': 'rom', 'chapter': '9', 'verse': '16', 'word_num': 21, 'word': 'shows', 'occurrence': 1}, {'id': 1302457, 'book_id': 'rom', 'chapter': '9', 'verse': '16', 'word_num': 22, 'word': 'mercy', 'occurrence': 1}]","who shows mercy",3,"τοῦ ἐλεῶντος = who shows mercy",0.041666666666666664,0,0
"523576","rom","9","18","2",",1506643,",",1302495,1302496,1302497,",0,"[{'id': 1506643, 'book_id': 'rom', 'chapter': '9', 'verse': '18', 'word_num': 4, 'word': 'ἐλεεῖ', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IPA3,,S,'}]","ἐλεεῖ",1,2,"[{'id': 1302495, 'book_id': 'rom', 'chapter': '9', 'verse': '18', 'word_num': 2, 'word': 'God', 'occurrence': 1}, {'id': 1302496, 'book_id': 'rom', 'chapter': '9', 'verse': '18', 'word_num': 3, 'word': 'has', 'occurrence': 1}, {'id': 1302497, 'book_id': 'rom', 'chapter': '9', 'verse': '18', 'word_num': 4, 'word': 'mercy', 'occurrence': 1}]","God has mercy",3,"ἐλεεῖ = God has mercy",0.041666666666666664,0,0
"524587","rom","11","30","8",",1507732,",",1304062,1304063,1304064,",0,"[{'id': 1507732, 'book_id': 'rom', 'chapter': '11', 'verse': '30', 'word_num': 9, 'word': 'ἠλεήθητε', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAP2,,P,'}]","ἠλεήθητε",1,2,"[{'id': 1304062, 'book_id': 'rom', 'chapter': '11', 'verse': '30', 'word_num': 11, 'word': 'have', 'occurrence': 1}, {'id': 1304063, 'book_id': 'rom', 'chapter': '11', 'verse': '30', 'word_num': 12, 'word': 'received', 'occurrence': 1}, {'id': 1304064, 'book_id': 'rom', 'chapter': '11', 'verse': '30', 'word_num': 13, 'word': 'mercy', 'occurrence': 1}]","have received mercy",3,"ἠλεήθητε = have received mercy",0.041666666666666664,0,0
"524600","rom","11","31","10",",1507748,",",1304091,",0,"[{'id': 1507748, 'book_id': 'rom', 'chapter': '11', 'verse': '31', 'word_num': 12, 'word': 'ἐλεηθῶσιν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,SAP3,,P,'}]","ἐλεηθῶσιν",1,0,"[{'id': 1304091, 'book_id': 'rom', 'chapter': '11', 'verse': '31', 'word_num': 22, 'word': 'may', 'occurrence': 1}]","may",1,"ἐλεηθῶσιν = may",0.041666666666666664,0,0
"524611","rom","11","32","7",",1507760,",",1304107,1304108,1304109,1304110,",0,"[{'id': 1507760, 'book_id': 'rom', 'chapter': '11', 'verse': '32', 'word_num': 11, 'word': 'ἐλεήσῃ', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,SAA3,,S,'}]","ἐλεήσῃ",1,3,"[{'id': 1304107, 'book_id': 'rom', 'chapter': '11', 'verse': '32', 'word_num': 11, 'word': 'he', 'occurrence': 1}, {'id': 1304108, 'book_id': 'rom', 'chapter': '11', 'verse': '32', 'word_num': 12, 'word': 'might', 'occurrence': 1}, {'id': 1304109, 'book_id': 'rom', 'chapter': '11', 'verse': '32', 'word_num': 13, 'word': 'show', 'occurrence': 1}, {'id': 1304110, 'book_id': 'rom', 'chapter': '11', 'verse': '32', 'word_num': 14, 'word': 'mercy', 'occurrence': 1}]","he might show mercy",4,"ἐλεήσῃ = he might show mercy",0.041666666666666664,0,0
"524798","rom","12","8","10",",1507968,1507969,",",1304376,1304377,",1,"[{'id': 1507968, 'book_id': 'rom', 'chapter': '12', 'verse': '8', 'word_num': 14, 'word': 'ὁ', 'occurrence': 4, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1507969, 'book_id': 'rom', 'chapter': '12', 'verse': '8', 'word_num': 15, 'word': 'ἐλεῶν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ ἐλεῶν",2,1,"[{'id': 1304376, 'book_id': 'rom', 'chapter': '12', 'verse': '8', 'word_num': 10, 'word': 'showing', 'occurrence': 1}, {'id': 1304377, 'book_id': 'rom', 'chapter': '12', 'verse': '8', 'word_num': 11, 'word': 'mercy', 'occurrence': 1}]","showing mercy",2,"ὁ ἐλεῶν = showing mercy",0.041666666666666664,0,0
"528751","1co","7","25","10",",1512164,",",1310228,1310229,1310230,",0,"[{'id': 1512164, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 12, 'word': 'ἠλεημένος', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,PEP,NMS,'}]","ἠλεημένος",1,2,"[{'id': 1310228, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 14, 'word': 'having', 'occurrence': 1}, {'id': 1310229, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 15, 'word': 'received', 'occurrence': 1}, {'id': 1310230, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 16, 'word': 'mercy', 'occurrence': 1}]","having received mercy",3,"ἠλεημένος = having received mercy",0.041666666666666664,0,0
"534077","2co","4","1","5",",1517641,",",1318051,1318052,1318053,1318054,",0,"[{'id': 1517641, 'book_id': '2co', 'chapter': '4', 'verse': '1', 'word_num': 7, 'word': 'ἠλεήθημεν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAP1,,P,'}]","ἠλεήθημεν",1,3,"[{'id': 1318051, 'book_id': '2co', 'chapter': '4', 'verse': '1', 'word_num': 6, 'word': 'we', 'occurrence': 1}, {'id': 1318052, 'book_id': '2co', 'chapter': '4', 'verse': '1', 'word_num': 7, 'word': 'have', 'occurrence': 1}, {'id': 1318053, 'book_id': '2co', 'chapter': '4', 'verse': '1', 'word_num': 8, 'word': 'received', 'occurrence': 1}, {'id': 1318054, 'book_id': '2co', 'chapter': '4', 'verse': '1', 'word_num': 9, 'word': 'mercy', 'occurrence': 1}]","we have received mercy",4,"ἠλεήθημεν = we have received mercy",0.041666666666666664,0,0
"542774","php","2","27","8",",1526555,",",1330570,1330571,1330572,",0,"[{'id': 1526555, 'book_id': 'php', 'chapter': '2', 'verse': '27', 'word_num': 8, 'word': 'ἠλέησεν', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠλέησεν",1,2,"[{'id': 1330570, 'book_id': 'php', 'chapter': '2', 'verse': '27', 'word_num': 12, 'word': 'had', 'occurrence': 1}, {'id': 1330571, 'book_id': 'php', 'chapter': '2', 'verse': '27', 'word_num': 13, 'word': 'mercy', 'occurrence': 1}, {'id': 1330572, 'book_id': 'php', 'chapter': '2', 'verse': '27', 'word_num': 14, 'word': 'on', 'occurrence': 1}]","had mercy on",3,"ἠλέησεν = had mercy on",0.041666666666666664,0,0
"547326","1ti","1","13","9",",1531370,",",1337136,1337137,1337138,",0,"[{'id': 1531370, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 9, 'word': 'ἠλεήθην', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAP1,,S,'}]","ἠλεήθην",1,2,"[{'id': 1337136, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 15, 'word': 'I', 'occurrence': 2}, {'id': 1337137, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 16, 'word': 'received', 'occurrence': 1}, {'id': 1337138, 'book_id': '1ti', 'chapter': '1', 'verse': '13', 'word_num': 17, 'word': 'mercy', 'occurrence': 1}]","I received mercy",3,"ἠλεήθην = I received mercy",0.041666666666666664,0,0
"547371","1ti","1","16","3",",1531414,",",1337190,1337191,1337192,1337193,",0,"[{'id': 1531414, 'book_id': '1ti', 'chapter': '1', 'verse': '16', 'word_num': 3, 'word': 'ἠλεήθην', 'occurrence': 1, 'strong': 'G16530', 'lemma': 'ἐλεέω', 'morph': 'Gr,V,IAP1,,S,'}]","ἠλεήθην",1,3,"[{'id': 1337190, 'book_id': '1ti', 'chapter': '1', 'verse': '16', 'word_num': 4, 'word': 'I', 'occurrence': 1}, {'id': 1337191, 'book_id': '1ti', 'chapter': '1', 'verse': '16', 'word_num': 5, 'word': 'was', 'occurrence': 1}, {'id': 1337192, 'book_id': '1ti', 'chapter': '1', 'verse': '16', 'word_num': 6, 'word': 'given', 'occurrence': 1}, {'id': 1337193, 'book_id': '1ti', 'chapter': '1', 'verse': '16', 'word_num': 7, 'word': 'mercy', 'occurrence': 1}]","I was given mercy",4,"ἠλεήθην = I was given mercy",0.041666666666666664,0,0
