"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"502866","act","2","26","15",",1485119,",",1273637,1273638,",0,"[{'id': 1485119, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 19, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,1,"[{'id': 1273637, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 18, 'word': 'certain', 'occurrence': 1}, {'id': 1273638, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 19, 'word': 'hope', 'occurrence': 1}]","certain hope",2,"ἐλπίδι = certain hope",0.2727272727272727,3,0,0
"518087","act","26","6","4",",1500767,",",1294263,1294264,1294265,",0,"[{'id': 1500767, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 3, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,2,"[{'id': 1294263, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 8, 'word': 'my', 'occurrence': 1}, {'id': 1294264, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 9, 'word': 'certain', 'occurrence': 1}, {'id': 1294265, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 10, 'word': 'hope', 'occurrence': 1}]","my certain hope",3,"ἐλπίδι = my certain hope",0.09090909090909091,1,0,0
"521445","rom","4","18","1",",1504341,",",1299263,",0,"[{'id': 1504341, 'book_id': 'rom', 'chapter': '4', 'verse': '18', 'word_num': 4, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,0,"[{'id': 1299263, 'book_id': 'rom', 'chapter': '4', 'verse': '18', 'word_num': 1, 'word': 'hope', 'occurrence': 1}]","hope",1,"ἐλπίδι = hope",0.2727272727272727,3,0,0
"521574","rom","5","2","16",",1504483,",",1299457,1299458,1299459,",0,"[{'id': 1504483, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 18, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,2,"[{'id': 1299457, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 20, 'word': 'the', 'occurrence': 1}, {'id': 1299458, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 21, 'word': 'certain', 'occurrence': 1}, {'id': 1299459, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 22, 'word': 'hope', 'occurrence': 1}]","the certain hope",3,"ἐλπίδι = the certain hope",0.18181818181818182,2,0,0
"523072","rom","8","24","2",",1506105,",",1301725,1301726,",0,"[{'id': 1506105, 'book_id': 'rom', 'chapter': '8', 'verse': '24', 'word_num': 2, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,1,"[{'id': 1301725, 'book_id': 'rom', 'chapter': '8', 'verse': '24', 'word_num': 3, 'word': 'certain', 'occurrence': 1}, {'id': 1301726, 'book_id': 'rom', 'chapter': '8', 'verse': '24', 'word_num': 4, 'word': 'hope', 'occurrence': 1}]","certain hope",2,"ἐλπίδι = certain hope",0.2727272727272727,3,0,0
"524827","rom","12","12","1",",1508000,1508001,",",1304428,1304429,1304430,",1,"[{'id': 1508000, 'book_id': 'rom', 'chapter': '12', 'verse': '12', 'word_num': 0, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1508001, 'book_id': 'rom', 'chapter': '12', 'verse': '12', 'word_num': 1, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ ἐλπίδι",2,2,"[{'id': 1304428, 'book_id': 'rom', 'chapter': '12', 'verse': '12', 'word_num': 1, 'word': 'in', 'occurrence': 1}, {'id': 1304429, 'book_id': 'rom', 'chapter': '12', 'verse': '12', 'word_num': 2, 'word': 'certain', 'occurrence': 1}, {'id': 1304430, 'book_id': 'rom', 'chapter': '12', 'verse': '12', 'word_num': 3, 'word': 'hope', 'occurrence': 1}]","in certain hope",3,"τῇ ἐλπίδι = in certain hope",0.09090909090909091,1,0,0
"525705","rom","15","13","18",",1508973,1508974,1508975,",",1305804,",2,"[{'id': 1508973, 'book_id': 'rom', 'chapter': '15', 'verse': '13', 'word_num': 18, 'word': 'ἐν', 'occurrence': 2, 'strong': 'G17220', 'lemma': 'ἐν', 'morph': 'Gr,P,,,,,D,,,'}, {'id': 1508974, 'book_id': 'rom', 'chapter': '15', 'verse': '13', 'word_num': 19, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1508975, 'book_id': 'rom', 'chapter': '15', 'verse': '13', 'word_num': 20, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐν τῇ ἐλπίδι",3,0,"[{'id': 1305804, 'book_id': 'rom', 'chapter': '15', 'verse': '13', 'word_num': 24, 'word': 'hope', 'occurrence': 2}]","hope",1,"ἐν τῇ ἐλπίδι = hope",0.09090909090909091,1,0,0
"529400","1co","9","10","14",",1512832,",",1311207,",0,"[{'id': 1512832, 'book_id': '1co', 'chapter': '9', 'verse': '10', 'word_num': 12, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,0,"[{'id': 1311207, 'book_id': '1co', 'chapter': '9', 'verse': '10', 'word_num': 22, 'word': 'hope', 'occurrence': 1}]","hope",1,"ἐλπίδι = hope",0.2727272727272727,3,0,0
"529404","1co","9","10","18",",1512840,",",1311217,",0,"[{'id': 1512840, 'book_id': '1co', 'chapter': '9', 'verse': '10', 'word_num': 20, 'word': 'ἐλπίδι', 'occurrence': 2, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,0,"[{'id': 1311217, 'book_id': '1co', 'chapter': '9', 'verse': '10', 'word_num': 32, 'word': 'hope', 'occurrence': 2}]","hope",1,"ἐλπίδι = hope",0.2727272727272727,3,0,0
"540644","eph","4","4","10",",1524399,",",1327711,1327712,",0,"[{'id': 1524399, 'book_id': 'eph', 'chapter': '4', 'verse': '4', 'word_num': 10, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,1,"[{'id': 1327711, 'book_id': 'eph', 'chapter': '4', 'verse': '4', 'word_num': 15, 'word': 'certain', 'occurrence': 1}, {'id': 1327712, 'book_id': 'eph', 'chapter': '4', 'verse': '4', 'word_num': 16, 'word': 'hope', 'occurrence': 1}]","certain hope",2,"ἐλπίδι = certain hope",0.2727272727272727,3,0,0
