"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"463960","mrk","10","3","5",",1444088,",",1219970,",0,"[{'id': 1444088, 'book_id': 'mrk', 'chapter': '10', 'verse': '3', 'word_num': 7, 'word': 'ἐνετείλατο', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐνετείλατο",1,0,"[{'id': 1219970, 'book_id': 'mrk', 'chapter': '10', 'verse': '3', 'word_num': 7, 'word': 'did', 'occurrence': 1}]","did",1,"ἐνετείλατο = did",0.2,1,0,0
"466508","mrk","13","34","16",",1446871,",",1223612,1223613,",0,"[{'id': 1446871, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 21, 'word': 'ἐνετείλατο', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐνετείλατο",1,1,"[{'id': 1223612, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 25, 'word': 'he', 'occurrence': 2}, {'id': 1223613, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 26, 'word': 'commands', 'occurrence': 1}]","he commands",2,"ἐνετείλατο = he commands",0.2,1,0,0
"497846","jhn","14","31","13",",1479803,",",1266752,",0,"[{'id': 1479803, 'book_id': 'jhn', 'chapter': '14', 'verse': '31', 'word_num': 11, 'word': 'ἐνετείλατο', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐνετείλατο",1,0,"[{'id': 1266752, 'book_id': 'jhn', 'chapter': '14', 'verse': '31', 'word_num': 18, 'word': 'commanded', 'occurrence': 1}]","commanded",1,"ἐνετείλατο = commanded",0.2,1,0,0
"553607","heb","9","20","8",",1537777,",",1346212,1346213,",0,"[{'id': 1537777, 'book_id': 'heb', 'chapter': '9', 'verse': '20', 'word_num': 7, 'word': 'ἐνετείλατο', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐνετείλατο",1,1,"[{'id': 1346212, 'book_id': 'heb', 'chapter': '9', 'verse': '20', 'word_num': 12, 'word': 'has', 'occurrence': 1}, {'id': 1346213, 'book_id': 'heb', 'chapter': '9', 'verse': '20', 'word_num': 13, 'word': 'commanded', 'occurrence': 1}]","has commanded",2,"ἐνετείλατο = has commanded",0.2,1,0,0
"554609","heb","11","22","12",",1538845,",",1347813,1347814,",0,"[{'id': 1538845, 'book_id': 'heb', 'chapter': '11', 'verse': '22', 'word_num': 15, 'word': 'ἐνετείλατο', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐνετείλατο",1,1,"[{'id': 1347813, 'book_id': 'heb', 'chapter': '11', 'verse': '22', 'word_num': 20, 'word': 'instructed', 'occurrence': 1}, {'id': 1347814, 'book_id': 'heb', 'chapter': '11', 'verse': '22', 'word_num': 21, 'word': 'them', 'occurrence': 1}]","instructed them",2,"ἐνετείλατο = instructed them",0.2,1,0,0
"471108","luk","4","10","2",",1451861,",",1230319,1230320,1230321,1230322,",0,"[{'id': 1451861, 'book_id': 'luk', 'chapter': '4', 'verse': '10', 'word_num': 6, 'word': 'ἐντελεῖται', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IFM3,,S,'}]","ἐντελεῖται",1,3,"[{'id': 1230319, 'book_id': 'luk', 'chapter': '4', 'verse': '10', 'word_num': 4, 'word': 'He', 'occurrence': 1}, {'id': 1230320, 'book_id': 'luk', 'chapter': '4', 'verse': '10', 'word_num': 5, 'word': 'will', 'occurrence': 1}, {'id': 1230321, 'book_id': 'luk', 'chapter': '4', 'verse': '10', 'word_num': 6, 'word': 'give', 'occurrence': 1}, {'id': 1230322, 'book_id': 'luk', 'chapter': '4', 'verse': '10', 'word_num': 7, 'word': 'orders', 'occurrence': 1}]","He will give orders",4,"ἐντελεῖται = He will give orders",1.0,1,0,0
"498074","jhn","15","14","8",",1480052,",",1267055,",0,"[{'id': 1480052, 'book_id': 'jhn', 'chapter': '15', 'verse': '14', 'word_num': 8, 'word': 'ἐντέλλομαι', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IPM1,,S,'}]","ἐντέλλομαι",1,0,"[{'id': 1267055, 'book_id': 'jhn', 'chapter': '15', 'verse': '14', 'word_num': 11, 'word': 'command', 'occurrence': 1}]","command",1,"ἐντέλλομαι = command",0.5,1,0,0
"498134","jhn","15","17","1",",1480118,",",1267142,1267143,",0,"[{'id': 1480118, 'book_id': 'jhn', 'chapter': '15', 'verse': '17', 'word_num': 1, 'word': 'ἐντέλλομαι', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IPM1,,S,'}]","ἐντέλλομαι",1,1,"[{'id': 1267142, 'book_id': 'jhn', 'chapter': '15', 'verse': '17', 'word_num': 2, 'word': 'I', 'occurrence': 1}, {'id': 1267143, 'book_id': 'jhn', 'chapter': '15', 'verse': '17', 'word_num': 3, 'word': 'command', 'occurrence': 1}]","I command",2,"ἐντέλλομαι = I command",0.5,1,0,0
"501968","act","1","2","4",",1484175,",",1272445,1272446,1272447,1272448,1272449,",0,"[{'id': 1484175, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 3, 'word': 'ἐντειλάμενος', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,PAM,NMS,'}]","ἐντειλάμενος",1,4,"[{'id': 1272445, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 8, 'word': 'after', 'occurrence': 1}, {'id': 1272446, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 9, 'word': 'he', 'occurrence': 2}, {'id': 1272447, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 10, 'word': 'had', 'occurrence': 1}, {'id': 1272448, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 11, 'word': 'given', 'occurrence': 1}, {'id': 1272449, 'book_id': 'act', 'chapter': '1', 'verse': '2', 'word_num': 12, 'word': 'commands', 'occurrence': 1}]","after he had given commands",5,"ἐντειλάμενος = after he had given commands",1.0,1,0,0
"510586","act","13","47","2",",1493044,",",1283988,",0,"[{'id': 1493044, 'book_id': 'act', 'chapter': '13', 'verse': '47', 'word_num': 2, 'word': 'ἐντέταλται', 'occurrence': 1, 'strong': 'G17810', 'lemma': 'ἐντέλλω', 'morph': 'Gr,V,IEM3,,S,'}]","ἐντέταλται",1,0,"[{'id': 1283988, 'book_id': 'act', 'chapter': '13', 'verse': '47', 'word_num': 2, 'word': 'has', 'occurrence': 1}]","has",1,"ἐντέταλται = has",1.0,1,0,0
