"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458386","mrk","1","22","10",",1438111,",",1212168,",0,"[{'id': 1438111, 'book_id': 'mrk', 'chapter': '1', 'verse': '22', 'word_num': 11, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1212168, 'book_id': 'mrk', 'chapter': '1', 'verse': '22', 'word_num': 15, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"458457","mrk","1","27","13",",1438188,",",1212269,",0,"[{'id': 1438188, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 14, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1212269, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 18, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"458865","mrk","2","10","8",",1438609,",",1212851,",0,"[{'id': 1438609, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 4, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1212851, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 13, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"459452","mrk","3","15","2",",1439232,",",1213672,",0,"[{'id': 1439232, 'book_id': 'mrk', 'chapter': '3', 'verse': '15', 'word_num': 2, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1213672, 'book_id': 'mrk', 'chapter': '3', 'verse': '15', 'word_num': 3, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"461181","mrk","6","7","14",",1441073,",",1216062,",0,"[{'id': 1441073, 'book_id': 'mrk', 'chapter': '6', 'verse': '7', 'word_num': 13, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1216062, 'book_id': 'mrk', 'chapter': '6', 'verse': '7', 'word_num': 18, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"465158","mrk","11","28","4",",1445402,",",1221722,",0,"[{'id': 1445402, 'book_id': 'mrk', 'chapter': '11', 'verse': '28', 'word_num': 5, 'word': 'ἐξουσίᾳ', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐξουσίᾳ",1,0,"[{'id': 1221722, 'book_id': 'mrk', 'chapter': '11', 'verse': '28', 'word_num': 6, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίᾳ = authority",0.09782608695652174,0,0
"465167","mrk","11","28","13",",1445409,1445410,",",1221733,",1,"[{'id': 1445409, 'book_id': 'mrk', 'chapter': '11', 'verse': '28', 'word_num': 12, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1445410, 'book_id': 'mrk', 'chapter': '11', 'verse': '28', 'word_num': 13, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἐξουσίαν",2,0,"[{'id': 1221733, 'book_id': 'mrk', 'chapter': '11', 'verse': '28', 'word_num': 17, 'word': 'authority', 'occurrence': 2}]","authority",1,"τὴν ἐξουσίαν = authority",0.07608695652173914,0,0
"465186","mrk","11","29","15",",1445433,",",1221759,",0,"[{'id': 1445433, 'book_id': 'mrk', 'chapter': '11', 'verse': '29', 'word_num': 18, 'word': 'ἐξουσίᾳ', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐξουσίᾳ",1,0,"[{'id': 1221759, 'book_id': 'mrk', 'chapter': '11', 'verse': '29', 'word_num': 20, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίᾳ = authority",0.09782608695652174,0,0
"465250","mrk","11","33","18",",1445500,",",1221844,",0,"[{'id': 1445500, 'book_id': 'mrk', 'chapter': '11', 'verse': '33', 'word_num': 18, 'word': 'ἐξουσίᾳ', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐξουσίᾳ",1,0,"[{'id': 1221844, 'book_id': 'mrk', 'chapter': '11', 'verse': '33', 'word_num': 22, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίᾳ = authority",0.09782608695652174,0,0
"466504","mrk","13","34","12",",1446862,1446863,",",1223607,1223608,",1,"[{'id': 1446862, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 12, 'word': 'τὴν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1446863, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 13, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἐξουσίαν",2,1,"[{'id': 1223607, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 20, 'word': 'authority', 'occurrence': 1}, {'id': 1223608, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 21, 'word': 'over', 'occurrence': 1}]","authority over",2,"τὴν ἐξουσίαν = authority over",0.010869565217391304,0,0
"471045","luk","4","6","9",",1451789,1451790,",",1230224,",1,"[{'id': 1451789, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1451790, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 8, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἐξουσίαν",2,0,"[{'id': 1230224, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 13, 'word': 'authority', 'occurrence': 1}]","authority",1,"τὴν ἐξουσίαν = authority",0.07608695652173914,0,0
"471466","luk","4","32","10",",1452229,",",1230810,",0,"[{'id': 1452229, 'book_id': 'luk', 'chapter': '4', 'verse': '32', 'word_num': 8, 'word': 'ἐξουσίᾳ', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐξουσίᾳ",1,0,"[{'id': 1230810, 'book_id': 'luk', 'chapter': '4', 'verse': '32', 'word_num': 12, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίᾳ = authority",0.09782608695652174,0,0
"471546","luk","4","36","19",",1452307,",",1230916,",0,"[{'id': 1452307, 'book_id': 'luk', 'chapter': '4', 'verse': '36', 'word_num': 16, 'word': 'ἐξουσίᾳ', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐξουσίᾳ",1,0,"[{'id': 1230916, 'book_id': 'luk', 'chapter': '4', 'verse': '36', 'word_num': 24, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίᾳ = authority",0.09782608695652174,0,0
"472162","luk","5","24","9",",1452931,",",1231733,",0,"[{'id': 1452931, 'book_id': 'luk', 'chapter': '5', 'verse': '24', 'word_num': 8, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1231733, 'book_id': 'luk', 'chapter': '5', 'verse': '24', 'word_num': 12, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"473483","luk","7","8","7",",1454272,",",1233527,",0,"[{'id': 1454272, 'book_id': 'luk', 'chapter': '7', 'verse': '8', 'word_num': 6, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1233527, 'book_id': 'luk', 'chapter': '7', 'verse': '8', 'word_num': 8, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
"475340","luk","9","1","9",",1456128,",",1236074,",0,"[{'id': 1456128, 'book_id': 'luk', 'chapter': '9', 'verse': '1', 'word_num': 8, 'word': 'ἐξουσίαν', 'occurrence': 1, 'strong': 'G18490', 'lemma': 'ἐξουσία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐξουσίαν",1,0,"[{'id': 1236074, 'book_id': 'luk', 'chapter': '9', 'verse': '1', 'word_num': 13, 'word': 'authority', 'occurrence': 1}]","authority",1,"ἐξουσίαν = authority",0.29347826086956524,0,0
