"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"487474","luk","24","49","6",",1468463,",",1252628,",0,"[{'id': 1468463, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 4, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1252628, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 7, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"502012","act","1","4","9",",1484220,",",1272510,",0,"[{'id': 1484220, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 11, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1272510, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 19, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"502975","act","2","33","10",",1485232,",",1273791,",0,"[{'id': 1485232, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 8, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1273791, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 14, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"510183","act","13","23","5",",1492640,",",1283432,",0,"[{'id': 1492640, 'book_id': 'act', 'chapter': '13', 'verse': '23', 'word_num': 7, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1283432, 'book_id': 'act', 'chapter': '13', 'verse': '23', 'word_num': 5, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"510328","act","13","32","7",",1492789,",",1283629,1283630,",0,"[{'id': 1492789, 'book_id': 'act', 'chapter': '13', 'verse': '32', 'word_num': 8, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,1,"[{'id': 1283629, 'book_id': 'act', 'chapter': '13', 'verse': '32', 'word_num': 10, 'word': 'the', 'occurrence': 2}, {'id': 1283630, 'book_id': 'act', 'chapter': '13', 'verse': '32', 'word_num': 11, 'word': 'promise', 'occurrence': 1}]","the promise",2,"ἐπαγγελίαν = the promise",0.125,2,0,0
"516789","act","23","21","30",",1499459,",",1292411,",0,"[{'id': 1499459, 'book_id': 'act', 'chapter': '23', 'verse': '21', 'word_num': 32, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1292411, 'book_id': 'act', 'chapter': '23', 'verse': '21', 'word_num': 44, 'word': 'for', 'occurrence': 2}]","for",1,"ἐπαγγελίαν = for",0.0625,1,0,0
"521401","rom","4","16","6",",1504293,",",1299185,",0,"[{'id': 1504293, 'book_id': 'rom', 'chapter': '4', 'verse': '16', 'word_num': 12, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1299185, 'book_id': 'rom', 'chapter': '4', 'verse': '16', 'word_num': 11, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"521484","rom","4","20","3",",1504380,1504381,",",1299324,",1,"[{'id': 1504380, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 2, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1504381, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 3, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἐπαγγελίαν",2,0,"[{'id': 1299324, 'book_id': 'rom', 'chapter': '4', 'verse': '20', 'word_num': 5, 'word': 'promise', 'occurrence': 1}]","promise",1,"τὴν ἐπαγγελίαν = promise",0.0625,1,0,0
"538310","gal","3","14","16",",1521992,",",1324368,",0,"[{'id': 1521992, 'book_id': 'gal', 'chapter': '3', 'verse': '14', 'word_num': 14, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1324368, 'book_id': 'gal', 'chapter': '3', 'verse': '14', 'word_num': 22, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
"538368","gal","3","17","18",",1522062,",",1324460,",0,"[{'id': 1522062, 'book_id': 'gal', 'chapter': '3', 'verse': '17', 'word_num': 22, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1324460, 'book_id': 'gal', 'chapter': '3', 'verse': '17', 'word_num': 28, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.75,12,0,0
