"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"502383","act","1","23","7",",1484608,",",1273010,1273011,1273012,",0,"[{'id': 1484608, 'book_id': 'act', 'chapter': '1', 'verse': '23', 'word_num': 8, 'word': 'ἐπεκλήθη', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐπεκλήθη",1,2,"[{'id': 1273010, 'book_id': 'act', 'chapter': '1', 'verse': '23', 'word_num': 11, 'word': 'was', 'occurrence': 2}, {'id': 1273011, 'book_id': 'act', 'chapter': '1', 'verse': '23', 'word_num': 12, 'word': 'also', 'occurrence': 1}, {'id': 1273012, 'book_id': 'act', 'chapter': '1', 'verse': '23', 'word_num': 13, 'word': 'named', 'occurrence': 1}]","was also named",3,"ἐπεκλήθη = was also named",1.0,1,0,0
"502761","act","2","21","3",",1485010,1485011,",",1273490,",1,"[{'id': 1485010, 'book_id': 'act', 'chapter': '2', 'verse': '21', 'word_num': 4, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1485011, 'book_id': 'act', 'chapter': '2', 'verse': '21', 'word_num': 5, 'word': 'ἐπικαλέσηται', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,SAM3,,S,'}]","ἂν ἐπικαλέσηται",2,0,"[{'id': 1273490, 'book_id': 'act', 'chapter': '2', 'verse': '21', 'word_num': 6, 'word': 'calls', 'occurrence': 1}]","calls",1,"ἂν ἐπικαλέσηται = calls",0.5,1,0,0
"523995","rom","10","13","2",",1507091,1507092,1507093,",",1303126,1303127,1303128,",2,"[{'id': 1507091, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 2, 'word': 'ὃς', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1507092, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 3, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1507093, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 4, 'word': 'ἐπικαλέσηται', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,SAM3,,S,'}]","ὃς ἂν ἐπικαλέσηται",3,2,"[{'id': 1303126, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 2, 'word': 'who', 'occurrence': 1}, {'id': 1303127, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 3, 'word': 'calls', 'occurrence': 1}, {'id': 1303128, 'book_id': 'rom', 'chapter': '10', 'verse': '13', 'word_num': 4, 'word': 'on', 'occurrence': 1}]","who calls on",3,"ὃς ἂν ἐπικαλέσηται = who calls on",0.5,1,0,0
"504343","act","4","36","3",",1486655,",",1275581,1275582,",0,"[{'id': 1486655, 'book_id': 'act', 'chapter': '4', 'verse': '36', 'word_num': 3, 'word': 'ἐπικληθεὶς', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PAP,NMS,'}]","ἐπικληθεὶς",1,1,"[{'id': 1275581, 'book_id': 'act', 'chapter': '4', 'verse': '36', 'word_num': 3, 'word': 'was', 'occurrence': 1}, {'id': 1275582, 'book_id': 'act', 'chapter': '4', 'verse': '36', 'word_num': 4, 'word': 'called', 'occurrence': 1}]","was called",2,"ἐπικληθεὶς = was called",1.0,1,0,0
"506465","act","7","59","2",",1488823,",",1278440,1278441,1278442,1278443,",0,"[{'id': 1488823, 'book_id': 'act', 'chapter': '7', 'verse': '59', 'word_num': 4, 'word': 'ἐπικαλούμενον', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PPM,AMS,'}]","ἐπικαλούμενον",1,3,"[{'id': 1278440, 'book_id': 'act', 'chapter': '7', 'verse': '59', 'word_num': 5, 'word': 'he', 'occurrence': 1}, {'id': 1278441, 'book_id': 'act', 'chapter': '7', 'verse': '59', 'word_num': 6, 'word': 'was', 'occurrence': 1}, {'id': 1278442, 'book_id': 'act', 'chapter': '7', 'verse': '59', 'word_num': 7, 'word': 'calling', 'occurrence': 1}, {'id': 1278443, 'book_id': 'act', 'chapter': '7', 'verse': '59', 'word_num': 8, 'word': 'out', 'occurrence': 1}]","he was calling out",4,"ἐπικαλούμενον = he was calling out",0.5,1,0,0
"508975","act","11","13","20",",1491404,",",1281798,1281799,",0,"[{'id': 1491404, 'book_id': 'act', 'chapter': '11', 'verse': '13', 'word_num': 21, 'word': 'ἐπικαλούμενον', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PPP,AMS,'}]","ἐπικαλούμενον",1,1,"[{'id': 1281798, 'book_id': 'act', 'chapter': '11', 'verse': '13', 'word_num': 24, 'word': 'is', 'occurrence': 1}, {'id': 1281799, 'book_id': 'act', 'chapter': '11', 'verse': '13', 'word_num': 25, 'word': 'called', 'occurrence': 1}]","is called",2,"ἐπικαλούμενον = is called",0.5,1,0,0
"507408","act","9","14","9",",1489802,",",1279678,1279679,",0,"[{'id': 1489802, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 10, 'word': 'ἐπικαλουμένους', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PPM,AMP,'}]","ἐπικαλουμένους",1,1,"[{'id': 1279678, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 12, 'word': 'calls', 'occurrence': 1}, {'id': 1279679, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 13, 'word': 'upon', 'occurrence': 1}]","calls upon",2,"ἐπικαλουμένους = calls upon",0.3333333333333333,1,0,0
"507537","act","9","21","15",",1489937,",",1279847,1279848,",0,"[{'id': 1489937, 'book_id': 'act', 'chapter': '9', 'verse': '21', 'word_num': 15, 'word': 'ἐπικαλουμένους', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PPM,AMP,'}]","ἐπικαλουμένους",1,1,"[{'id': 1279847, 'book_id': 'act', 'chapter': '9', 'verse': '21', 'word_num': 19, 'word': 'called', 'occurrence': 1}, {'id': 1279848, 'book_id': 'act', 'chapter': '9', 'verse': '21', 'word_num': 20, 'word': 'on', 'occurrence': 1}]","called on",2,"ἐπικαλουμένους = called on",0.3333333333333333,1,0,0
"523991","rom","10","12","16",",1507086,1507087,",",1303120,1303121,1303122,",1,"[{'id': 1507086, 'book_id': 'rom', 'chapter': '10', 'verse': '12', 'word_num': 16, 'word': 'τοὺς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,AMP,'}, {'id': 1507087, 'book_id': 'rom', 'chapter': '10', 'verse': '12', 'word_num': 17, 'word': 'ἐπικαλουμένους', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,PPM,AMP,'}]","τοὺς ἐπικαλουμένους",2,2,"[{'id': 1303120, 'book_id': 'rom', 'chapter': '10', 'verse': '12', 'word_num': 23, 'word': 'who', 'occurrence': 1}, {'id': 1303121, 'book_id': 'rom', 'chapter': '10', 'verse': '12', 'word_num': 24, 'word': 'call', 'occurrence': 1}, {'id': 1303122, 'book_id': 'rom', 'chapter': '10', 'verse': '12', 'word_num': 25, 'word': 'upon', 'occurrence': 1}]","who call upon",3,"τοὺς ἐπικαλουμένους = who call upon",0.3333333333333333,1,0,0
"508043","act","10","5","11",",1490446,",",1280525,1280526,",0,"[{'id': 1490446, 'book_id': 'act', 'chapter': '10', 'verse': '5', 'word_num': 11, 'word': 'ἐπικαλεῖται', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,IPP3,,S,'}]","ἐπικαλεῖται",1,1,"[{'id': 1280525, 'book_id': 'act', 'chapter': '10', 'verse': '5', 'word_num': 12, 'word': 'is', 'occurrence': 1}, {'id': 1280526, 'book_id': 'act', 'chapter': '10', 'verse': '5', 'word_num': 13, 'word': 'called', 'occurrence': 1}]","is called",2,"ἐπικαλεῖται = is called",1.0,2,0,0
"508478","act","10","32","8",",1490885,",",1281133,1281134,",0,"[{'id': 1490885, 'book_id': 'act', 'chapter': '10', 'verse': '32', 'word_num': 8, 'word': 'ἐπικαλεῖται', 'occurrence': 1, 'strong': 'G19410', 'lemma': 'ἐπικαλέω', 'morph': 'Gr,V,IPP3,,S,'}]","ἐπικαλεῖται",1,1,"[{'id': 1281133, 'book_id': 'act', 'chapter': '10', 'verse': '32', 'word_num': 9, 'word': 'is', 'occurrence': 1}, {'id': 1281134, 'book_id': 'act', 'chapter': '10', 'verse': '32', 'word_num': 10, 'word': 'called', 'occurrence': 1}]","is called",2,"ἐπικαλεῖται = is called",1.0,2,0,0
