"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"464426","mrk","10","33","20",",1444588,",",1220636,",0,"[{'id': 1444588, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 23, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1220636, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 33, 'word': 'Gentiles', 'occurrence': 1}]","Gentiles",1,"ἔθνεσιν = Gentiles",0.4444444444444444,12,0,0
"465009","mrk","11","17","15",",1445218,",",1221494,",0,"[{'id': 1445218, 'book_id': 'mrk', 'chapter': '11', 'verse': '17', 'word_num': 16, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1221494, 'book_id': 'mrk', 'chapter': '11', 'verse': '17', 'word_num': 22, 'word': 'nations', 'occurrence': 1}]","nations",1,"ἔθνεσιν = nations",0.07407407407407407,2,0,0
"482664","luk","18","32","2",",1463609,",",1246061,",0,"[{'id': 1463609, 'book_id': 'luk', 'chapter': '18', 'verse': '32', 'word_num': 3, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1246061, 'book_id': 'luk', 'chapter': '18', 'verse': '32', 'word_num': 6, 'word': 'to', 'occurrence': 1}]","to",1,"ἔθνεσιν = to",0.2222222222222222,6,0,0
"504172","act","4","27","8",",1486490,",",1275366,1275367,",0,"[{'id': 1486490, 'book_id': 'act', 'chapter': '4', 'verse': '27', 'word_num': 22, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,1,"[{'id': 1275366, 'book_id': 'act', 'chapter': '4', 'verse': '27', 'word_num': 8, 'word': 'the', 'occurrence': 1}, {'id': 1275367, 'book_id': 'act', 'chapter': '4', 'verse': '27', 'word_num': 9, 'word': 'Gentiles', 'occurrence': 1}]","the Gentiles",2,"ἔθνεσιν = the Gentiles",0.037037037037037035,1,0,0
"509063","act","11","18","14",",1491494,",",1281912,",0,"[{'id': 1491494, 'book_id': 'act', 'chapter': '11', 'verse': '18', 'word_num': 12, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1281912, 'book_id': 'act', 'chapter': '11', 'verse': '18', 'word_num': 20, 'word': 'to', 'occurrence': 1}]","to",1,"ἔθνεσιν = to",0.2222222222222222,6,0,0
"511139","act","14","27","17",",1493601,",",1284735,",0,"[{'id': 1493601, 'book_id': 'act', 'chapter': '14', 'verse': '27', 'word_num': 17, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1284735, 'book_id': 'act', 'chapter': '14', 'verse': '27', 'word_num': 28, 'word': 'for', 'occurrence': 1}]","for",1,"ἔθνεσιν = for",0.037037037037037035,1,0,0
"511384","act","15","12","19",",1493865,",",1285057,",0,"[{'id': 1493865, 'book_id': 'act', 'chapter': '15', 'verse': '12', 'word_num': 20, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1285057, 'book_id': 'act', 'chapter': '15', 'verse': '12', 'word_num': 24, 'word': 'Gentiles', 'occurrence': 1}]","Gentiles",1,"ἔθνεσιν = Gentiles",0.4444444444444444,12,0,0
"515339","act","21","19","9",",1497982,",",1290432,",0,"[{'id': 1497982, 'book_id': 'act', 'chapter': '21', 'verse': '19', 'word_num': 13, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1290432, 'book_id': 'act', 'chapter': '21', 'verse': '19', 'word_num': 17, 'word': 'Gentiles', 'occurrence': 1}]","Gentiles",1,"ἔθνεσιν = Gentiles",0.4444444444444444,12,0,0
"518356","act","26","20","16",",1501042,",",1294641,",0,"[{'id': 1501042, 'book_id': 'act', 'chapter': '26', 'verse': '20', 'word_num': 16, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1294641, 'book_id': 'act', 'chapter': '26', 'verse': '20', 'word_num': 19, 'word': 'to', 'occurrence': 2}]","to",1,"ἔθνεσιν = to",0.2222222222222222,6,0,0
"518425","act","26","23","17",",1501111,",",1294733,",0,"[{'id': 1501111, 'book_id': 'act', 'chapter': '26', 'verse': '23', 'word_num': 17, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1294733, 'book_id': 'act', 'chapter': '26', 'verse': '23', 'word_num': 25, 'word': 'to', 'occurrence': 4}]","to",1,"ἔθνεσιν = to",0.2222222222222222,6,0,0
"519857","act","28","28","10",",1502576,",",1296757,",0,"[{'id': 1502576, 'book_id': 'act', 'chapter': '28', 'verse': '28', 'word_num': 6, 'word': 'ἔθνεσιν', 'occurrence': 1, 'strong': 'G14840', 'lemma': 'ἔθνος', 'morph': 'Gr,N,,,,,DNP,'}]","ἔθνεσιν",1,0,"[{'id': 1296757, 'book_id': 'act', 'chapter': '28', 'verse': '28', 'word_num': 15, 'word': 'to', 'occurrence': 2}]","to",1,"ἔθνεσιν = to",0.2222222222222222,6,0,0
