"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458169","mrk","1","7","16",",1437868,",",1211877,",0,"[{'id': 1437868, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 12, 'word': 'ἱκανὸς', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NP,,,,NMS,'}]","ἱκανὸς",1,0,"[{'id': 1211877, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 24, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἱκανὸς = worthy",0.08108108108108109,0,0
"464632","mrk","10","46","14",",1444810,",",1220948,",0,"[{'id': 1444810, 'book_id': 'mrk', 'chapter': '10', 'verse': '46', 'word_num': 15, 'word': 'ἱκανοῦ', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,AA,,,,GMS,'}]","ἱκανοῦ",1,0,"[{'id': 1220948, 'book_id': 'mrk', 'chapter': '10', 'verse': '46', 'word_num': 17, 'word': 'great', 'occurrence': 1}]","great",1,"ἱκανοῦ = great",0.02702702702702703,0,0
"467826","mrk","15","15","3",",1448280,1448281,",",1225522,1225523,1225524,",1,"[{'id': 1448280, 'book_id': 'mrk', 'chapter': '15', 'verse': '15', 'word_num': 6, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1448281, 'book_id': 'mrk', 'chapter': '15', 'verse': '15', 'word_num': 7, 'word': 'ἱκανὸν', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NS,,,,ANS,'}]","τὸ ἱκανὸν",2,2,"[{'id': 1225522, 'book_id': 'mrk', 'chapter': '15', 'verse': '15', 'word_num': 5, 'word': 'what', 'occurrence': 1}, {'id': 1225523, 'book_id': 'mrk', 'chapter': '15', 'verse': '15', 'word_num': 6, 'word': 'would', 'occurrence': 1}, {'id': 1225524, 'book_id': 'mrk', 'chapter': '15', 'verse': '15', 'word_num': 7, 'word': 'satisfy', 'occurrence': 1}]","what would satisfy",3,"τὸ ἱκανὸν = what would satisfy",0.02702702702702703,0,0
"470670","luk","3","16","17",",1451412,",",1229778,",0,"[{'id': 1451412, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 18, 'word': 'ἱκανὸς', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NP,,,,NMS,'}]","ἱκανὸς",1,0,"[{'id': 1229778, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 25, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἱκανὸς = worthy",0.08108108108108109,0,0
"473454","luk","7","6","27",",1454243,",",1233487,",0,"[{'id': 1454243, 'book_id': 'luk', 'chapter': '7', 'verse': '6', 'word_num': 26, 'word': 'ἱκανός', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NP,,,,NMS,'}]","ἱκανός",1,0,"[{'id': 1233487, 'book_id': 'luk', 'chapter': '7', 'verse': '6', 'word_num': 34, 'word': 'worthy', 'occurrence': 1}]","worthy",1,"ἱκανός = worthy",0.05405405405405406,0,0
"473586","luk","7","12","24",",1454374,",",1233670,1233671,",0,"[{'id': 1454374, 'book_id': 'luk', 'chapter': '7', 'verse': '12', 'word_num': 24, 'word': 'ἱκανὸς', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NS,,,,NMS,'}]","ἱκανὸς",1,1,"[{'id': 1233670, 'book_id': 'luk', 'chapter': '7', 'verse': '12', 'word_num': 33, 'word': 'rather', 'occurrence': 1}, {'id': 1233671, 'book_id': 'luk', 'chapter': '7', 'verse': '12', 'word_num': 34, 'word': 'large', 'occurrence': 1}]","rather large",2,"ἱκανὸς = rather large",0.02702702702702703,0,0
"474775","luk","8","27","18",",1455569,",",1235315,",0,"[{'id': 1455569, 'book_id': 'luk', 'chapter': '8', 'verse': '27', 'word_num': 16, 'word': 'ἱκανῷ', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,AA,,,,DMS,'}]","ἱκανῷ",1,0,"[{'id': 1235315, 'book_id': 'luk', 'chapter': '8', 'verse': '27', 'word_num': 21, 'word': 'long', 'occurrence': 1}]","long",1,"ἱκανῷ = long",0.02702702702702703,0,0
"474880","luk","8","32","2",",1455675,",",1235461,",0,"[{'id': 1455675, 'book_id': 'luk', 'chapter': '8', 'verse': '32', 'word_num': 5, 'word': 'ἱκανῶν', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,AA,,,,GMP,'}]","ἱκανῶν",1,0,"[{'id': 1235461, 'book_id': 'luk', 'chapter': '8', 'verse': '32', 'word_num': 2, 'word': 'large', 'occurrence': 1}]","large",1,"ἱκανῶν = large",0.02702702702702703,0,0
"483686","luk","20","9","19",",1464639,",",1247518,",0,"[{'id': 1464639, 'book_id': 'luk', 'chapter': '20', 'verse': '9', 'word_num': 19, 'word': 'ἱκανούς', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,AA,,,,AMP,'}]","ἱκανούς",1,0,"[{'id': 1247518, 'book_id': 'luk', 'chapter': '20', 'verse': '9', 'word_num': 29, 'word': 'long', 'occurrence': 1}]","long",1,"ἱκανούς = long",0.02702702702702703,0,0
"485401","luk","22","38","13",",1466367,",",1249902,",0,"[{'id': 1466367, 'book_id': 'luk', 'chapter': '22', 'verse': '38', 'word_num': 12, 'word': 'ἱκανόν', 'occurrence': 1, 'strong': 'G24250', 'lemma': 'ἱκανός', 'morph': 'Gr,NP,,,,NNS,'}]","ἱκανόν",1,0,"[{'id': 1249902, 'book_id': 'luk', 'chapter': '22', 'verse': '38', 'word_num': 16, 'word': 'enough', 'occurrence': 1}]","enough",1,"ἱκανόν = enough",0.02702702702702703,0,0
