"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"461997","mrk","7","3","6",",1441943,",",1217184,",0,"[{'id': 1441943, 'book_id': 'mrk', 'chapter': '7', 'verse': '3', 'word_num': 6, 'word': 'Ἰουδαῖοι', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,NMP,'}]","Ἰουδαῖοι",1,0,"[{'id': 1217184, 'book_id': 'mrk', 'chapter': '7', 'verse': '3', 'word_num': 6, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαῖοι = Jews",0.25263157894736843,0,0
"467693","mrk","15","2","8",",1448133,",",1225312,",0,"[{'id': 1448133, 'book_id': 'mrk', 'chapter': '15', 'verse': '2', 'word_num': 10, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1225312, 'book_id': 'mrk', 'chapter': '15', 'verse': '2', 'word_num': 9, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
"467770","mrk","15","9","11",",1448216,",",1225436,",0,"[{'id': 1448216, 'book_id': 'mrk', 'chapter': '15', 'verse': '9', 'word_num': 12, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1225436, 'book_id': 'mrk', 'chapter': '15', 'verse': '9', 'word_num': 18, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
"467804","mrk","15","12","12",",1448252,",",1225492,",0,"[{'id': 1448252, 'book_id': 'mrk', 'chapter': '15', 'verse': '12', 'word_num': 14, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1225492, 'book_id': 'mrk', 'chapter': '15', 'verse': '12', 'word_num': 22, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
"467871","mrk","15","18","7",",1448327,",",1225595,",0,"[{'id': 1448327, 'book_id': 'mrk', 'chapter': '15', 'verse': '18', 'word_num': 7, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1225595, 'book_id': 'mrk', 'chapter': '15', 'verse': '18', 'word_num': 10, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
"467971","mrk","15","26","11",",1448436,",",1225742,",0,"[{'id': 1448436, 'book_id': 'mrk', 'chapter': '15', 'verse': '26', 'word_num': 11, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1225742, 'book_id': 'mrk', 'chapter': '15', 'verse': '26', 'word_num': 14, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
"473391","luk","7","3","6",",1454181,",",1233405,",0,"[{'id': 1454181, 'book_id': 'luk', 'chapter': '7', 'verse': '3', 'word_num': 10, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1233405, 'book_id': 'luk', 'chapter': '7', 'verse': '3', 'word_num': 8, 'word': 'of', 'occurrence': 1}]","of",1,"Ἰουδαίων = of",0.09473684210526316,0,0
"485949","luk","23","3","9",",1466914,",",1250623,",0,"[{'id': 1466914, 'book_id': 'luk', 'chapter': '23', 'verse': '3', 'word_num': 11, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1250623, 'book_id': 'luk', 'chapter': '23', 'verse': '3', 'word_num': 9, 'word': 'of', 'occurrence': 1}]","of",1,"Ἰουδαίων = of",0.09473684210526316,0,0
"486454","luk","23","37","7",",1467434,",",1251286,",0,"[{'id': 1467434, 'book_id': 'luk', 'chapter': '23', 'verse': '37', 'word_num': 8, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1251286, 'book_id': 'luk', 'chapter': '23', 'verse': '37', 'word_num': 7, 'word': 'of', 'occurrence': 1}]","of",1,"Ἰουδαίων = of",0.09473684210526316,0,0
"486468","luk","23","38","9",",1467446,",",1251303,",0,"[{'id': 1467446, 'book_id': 'luk', 'chapter': '23', 'verse': '38', 'word_num': 9, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1251303, 'book_id': 'luk', 'chapter': '23', 'verse': '38', 'word_num': 12, 'word': 'of', 'occurrence': 1}]","of",1,"Ἰουδαίων = of",0.09473684210526316,0,0
"486662","luk","23","51","12",",1467641,",",1251546,",0,"[{'id': 1467641, 'book_id': 'luk', 'chapter': '23', 'verse': '51', 'word_num': 14, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1251546, 'book_id': 'luk', 'chapter': '23', 'verse': '51', 'word_num': 16, 'word': 'of', 'occurrence': 1}]","of",1,"Ἰουδαίων = of",0.09473684210526316,0,0
"487781","jhn","1","19","7",",1468791,",",1253029,",0,"[{'id': 1468791, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 10, 'word': 'Ἰουδαῖοι', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,NMP,'}]","Ἰουδαῖοι",1,0,"[{'id': 1253029, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 8, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαῖοι = Jews",0.25263157894736843,0,0
"488369","jhn","2","6","7",",1469435,1469436,",",1253814,",1,"[{'id': 1469435, 'book_id': 'jhn', 'chapter': '2', 'verse': '6', 'word_num': 9, 'word': 'τῶν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMP,'}, {'id': 1469436, 'book_id': 'jhn', 'chapter': '2', 'verse': '6', 'word_num': 10, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","τῶν Ἰουδαίων",2,0,"[{'id': 1253814, 'book_id': 'jhn', 'chapter': '2', 'verse': '6', 'word_num': 10, 'word': 'Jewish', 'occurrence': 1}]","Jewish",1,"τῶν Ἰουδαίων = Jewish",0.02631578947368421,0,0
"488493","jhn","2","13","4",",1469570,",",1253976,",0,"[{'id': 1469570, 'book_id': 'jhn', 'chapter': '2', 'verse': '13', 'word_num': 6, 'word': 'Ἰουδαίων', 'occurrence': 1, 'strong': 'G24530', 'lemma': 'Ἰουδαῖος', 'morph': 'Gr,NS,,,,GMP,'}]","Ἰουδαίων",1,0,"[{'id': 1253976, 'book_id': 'jhn', 'chapter': '2', 'verse': '13', 'word_num': 5, 'word': 'Jews', 'occurrence': 1}]","Jews",1,"Ἰουδαίων = Jews",0.16842105263157894,0,0
