"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"469208","luk","1","52","5",",1449899,",",1227771,1227772,1227773,1227774,",0,"[{'id': 1449899, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 5, 'word': 'ὕψωσεν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IAA3,,S,'}]","ὕψωσεν",1,3,"[{'id': 1227771, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1227772, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 10, 'word': 'has', 'occurrence': 2}, {'id': 1227773, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 11, 'word': 'raised', 'occurrence': 1}, {'id': 1227774, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 12, 'word': 'up', 'occurrence': 1}]","he has raised up",4,"ὕψωσεν = he has raised up",0.058823529411764705,0,0
"476692","luk","10","15","3",",1457526,",",1237843,1237844,",0,"[{'id': 1457526, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 6, 'word': 'ὑψωθήσῃ', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IFP2,,S,'}]","ὑψωθήσῃ",1,1,"[{'id': 1237843, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 3, 'word': 'you', 'occurrence': 2}, {'id': 1237844, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 4, 'word': 'will', 'occurrence': 1}]","you will",2,"ὑψωθήσῃ = you will",0.058823529411764705,0,0
"480007","luk","14","11","3",",1460902,",",1242401,",0,"[{'id': 1460902, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 3, 'word': 'ὑψῶν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,PPA,NMS,'}]","ὑψῶν",1,0,"[{'id': 1242401, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 3, 'word': 'exalts', 'occurrence': 1}]","exalts",1,"ὑψῶν = exalts",0.11764705882352941,0,0
"480014","luk","14","11","10",",1460909,",",1242412,1242413,1242414,",0,"[{'id': 1460909, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 10, 'word': 'ὑψωθήσεται', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IFP3,,S,'}]","ὑψωθήσεται",1,2,"[{'id': 1242412, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 14, 'word': 'will', 'occurrence': 2}, {'id': 1242413, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 15, 'word': 'be', 'occurrence': 2}, {'id': 1242414, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 16, 'word': 'exalted', 'occurrence': 1}]","will be exalted",3,"ὑψωθήσεται = will be exalted",0.11764705882352941,0,0
"482380","luk","18","14","13",",1463318,",",1245664,",0,"[{'id': 1463318, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 14, 'word': 'ὑψῶν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,PPA,NMS,'}]","ὑψῶν",1,0,"[{'id': 1245664, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 20, 'word': 'exalts', 'occurrence': 1}]","exalts",1,"ὑψῶν = exalts",0.11764705882352941,0,0
"482387","luk","18","14","20",",1463325,",",1245675,1245676,1245677,",0,"[{'id': 1463325, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 21, 'word': 'ὑψωθήσεται', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IFP3,,S,'}]","ὑψωθήσεται",1,2,"[{'id': 1245675, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 31, 'word': 'will', 'occurrence': 2}, {'id': 1245676, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 32, 'word': 'be', 'occurrence': 2}, {'id': 1245677, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 33, 'word': 'exalted', 'occurrence': 1}]","will be exalted",3,"ὑψωθήσεται = will be exalted",0.11764705882352941,0,0
"488906","jhn","3","14","2",",1470022,",",1254530,1254531,",0,"[{'id': 1470022, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 3, 'word': 'ὕψωσεν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IAA3,,S,'}]","ὕψωσεν",1,1,"[{'id': 1254530, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 3, 'word': 'lifted', 'occurrence': 1}, {'id': 1254531, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 4, 'word': 'up', 'occurrence': 1}]","lifted up",2,"ὕψωσεν = lifted up",0.058823529411764705,0,0
"488917","jhn","3","14","13",",1470029,",",1254543,1254544,1254545,",0,"[{'id': 1470029, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 10, 'word': 'ὑψωθῆναι', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,NAP,,,,,'}]","ὑψωθῆναι",1,2,"[{'id': 1254543, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 16, 'word': 'be', 'occurrence': 1}, {'id': 1254544, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 17, 'word': 'lifted', 'occurrence': 2}, {'id': 1254545, 'book_id': 'jhn', 'chapter': '3', 'verse': '14', 'word_num': 18, 'word': 'up', 'occurrence': 2}]","be lifted up",3,"ὑψωθῆναι = be lifted up",0.11764705882352941,0,0
"493151","jhn","8","28","5",",1474767,",",1260373,1260374,1260375,1260376,",0,"[{'id': 1474767, 'book_id': 'jhn', 'chapter': '8', 'verse': '28', 'word_num': 6, 'word': 'ὑψώσητε', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,SAA2,,P,'}]","ὑψώσητε",1,3,"[{'id': 1260373, 'book_id': 'jhn', 'chapter': '8', 'verse': '28', 'word_num': 6, 'word': 'you', 'occurrence': 1}, {'id': 1260374, 'book_id': 'jhn', 'chapter': '8', 'verse': '28', 'word_num': 7, 'word': 'have', 'occurrence': 1}, {'id': 1260375, 'book_id': 'jhn', 'chapter': '8', 'verse': '28', 'word_num': 8, 'word': 'lifted', 'occurrence': 1}, {'id': 1260376, 'book_id': 'jhn', 'chapter': '8', 'verse': '28', 'word_num': 9, 'word': 'up', 'occurrence': 1}]","you have lifted up",4,"ὑψώσητε = you have lifted up",0.058823529411764705,0,0
"496375","jhn","12","32","2",",1478231,",",1264700,1264701,",0,"[{'id': 1478231, 'book_id': 'jhn', 'chapter': '12', 'verse': '32', 'word_num': 2, 'word': 'ὑψωθῶ', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,SAP1,,S,'}]","ὑψωθῶ",1,1,"[{'id': 1264700, 'book_id': 'jhn', 'chapter': '12', 'verse': '32', 'word_num': 3, 'word': 'lifted', 'occurrence': 1}, {'id': 1264701, 'book_id': 'jhn', 'chapter': '12', 'verse': '32', 'word_num': 4, 'word': 'up', 'occurrence': 1}]","lifted up",2,"ὑψωθῶ = lifted up",0.058823529411764705,0,0
"496413","jhn","12","34","22",",1478270,",",1264750,1264751,1264752,",0,"[{'id': 1478270, 'book_id': 'jhn', 'chapter': '12', 'verse': '34', 'word_num': 23, 'word': 'ὑψωθῆναι', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,NAP,,,,,'}]","ὑψωθῆναι",1,2,"[{'id': 1264750, 'book_id': 'jhn', 'chapter': '12', 'verse': '34', 'word_num': 26, 'word': 'be', 'occurrence': 1}, {'id': 1264751, 'book_id': 'jhn', 'chapter': '12', 'verse': '34', 'word_num': 27, 'word': 'lifted', 'occurrence': 1}, {'id': 1264752, 'book_id': 'jhn', 'chapter': '12', 'verse': '34', 'word_num': 28, 'word': 'up', 'occurrence': 1}]","be lifted up",3,"ὑψωθῆναι = be lifted up",0.11764705882352941,0,0
"502966","act","2","33","1",",1485229,",",1273778,1273779,1273780,",0,"[{'id': 1485229, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 5, 'word': 'ὑψωθεὶς', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,PAP,NMS,'}]","ὑψωθεὶς",1,2,"[{'id': 1273778, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 1, 'word': 'having', 'occurrence': 1}, {'id': 1273779, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 2, 'word': 'been', 'occurrence': 1}, {'id': 1273780, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 3, 'word': 'exalted', 'occurrence': 1}]","having been exalted",3,"ὑψωθεὶς = having been exalted",0.058823529411764705,0,0
"504916","act","5","31","1",",1487238,",",1276334,",0,"[{'id': 1487238, 'book_id': 'act', 'chapter': '5', 'verse': '31', 'word_num': 6, 'word': 'ὕψωσεν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IAA3,,S,'}]","ὕψωσεν",1,0,"[{'id': 1276334, 'book_id': 'act', 'chapter': '5', 'verse': '31', 'word_num': 1, 'word': 'exalted', 'occurrence': 1}]","exalted",1,"ὕψωσεν = exalted",0.058823529411764705,0,0
"510086","act","13","17","10",",1492538,",",1283291,",0,"[{'id': 1492538, 'book_id': 'act', 'chapter': '13', 'verse': '17', 'word_num': 13, 'word': 'ὕψωσεν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IAA3,,S,'}]","ὕψωσεν",1,0,"[{'id': 1283291, 'book_id': 'act', 'chapter': '13', 'verse': '17', 'word_num': 10, 'word': 'made', 'occurrence': 1}]","made",1,"ὕψωσεν = made",0.058823529411764705,0,0
"536360","2co","11","7","7",",1520002,",",1321374,1321375,1321376,",0,"[{'id': 1520002, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 7, 'word': 'ὑψωθῆτε', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,SAP2,,P,'}]","ὑψωθῆτε",1,2,"[{'id': 1321374, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 12, 'word': 'might', 'occurrence': 1}, {'id': 1321375, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 13, 'word': 'be', 'occurrence': 1}, {'id': 1321376, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 14, 'word': 'exalted', 'occurrence': 1}]","might be exalted",3,"ὑψωθῆτε = might be exalted",0.058823529411764705,0,0
"556882","jas","4","10","4",",1541228,",",1351150,1351151,1351152,",0,"[{'id': 1541228, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 4, 'word': 'ὑψώσει', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IFA3,,S,'}]","ὑψώσει",1,2,"[{'id': 1351150, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 6, 'word': 'he', 'occurrence': 1}, {'id': 1351151, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 7, 'word': 'will', 'occurrence': 1}, {'id': 1351152, 'book_id': 'jas', 'chapter': '4', 'verse': '10', 'word_num': 8, 'word': 'lift', 'occurrence': 1}]","he will lift",3,"ὑψώσει = he will lift",0.058823529411764705,0,0
"558775","1pe","5","6","6",",1543257,",",1354221,1354222,1354223,",0,"[{'id': 1543257, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 10, 'word': 'ὑψώσῃ', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,SAA3,,S,'}]","ὑψώσῃ",1,2,"[{'id': 1354221, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 10, 'word': 'he', 'occurrence': 1}, {'id': 1354222, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 11, 'word': 'may', 'occurrence': 1}, {'id': 1354223, 'book_id': '1pe', 'chapter': '5', 'verse': '6', 'word_num': 12, 'word': 'lift', 'occurrence': 1}]","he may lift",3,"ὑψώσῃ = he may lift",0.058823529411764705,0,0
