"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"460490","mrk","5","7","12",",1440337,",",1215099,1215100,",0,"[{'id': 1440337, 'book_id': 'mrk', 'chapter': '5', 'verse': '7', 'word_num': 14, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","Ὑψίστου",1,1,"[{'id': 1215099, 'book_id': 'mrk', 'chapter': '5', 'verse': '7', 'word_num': 21, 'word': 'Most', 'occurrence': 1}, {'id': 1215100, 'book_id': 'mrk', 'chapter': '5', 'verse': '7', 'word_num': 22, 'word': 'High', 'occurrence': 1}]","Most High",2,"Ὑψίστου = Most High",0.08333333333333333,0,0
"464881","mrk","11","10","10",",1445083,",",1221313,",0,"[{'id': 1445083, 'book_id': 'mrk', 'chapter': '11', 'verse': '10', 'word_num': 11, 'word': 'ὑψίστοις', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,AA,,,,DNPS'}]","ὑψίστοις",1,0,"[{'id': 1221313, 'book_id': 'mrk', 'chapter': '11', 'verse': '10', 'word_num': 12, 'word': 'highest', 'occurrence': 1}]","highest",1,"ὑψίστοις = highest",0.08333333333333333,0,0
"468922","luk","1","32","6",",1449595,",",1227381,1227382,1227383,1227384,",0,"[{'id': 1449595, 'book_id': 'luk', 'chapter': '1', 'verse': '32', 'word_num': 5, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","Ὑψίστου",1,3,"[{'id': 1227381, 'book_id': 'luk', 'chapter': '1', 'verse': '32', 'word_num': 10, 'word': 'of', 'occurrence': 1}, {'id': 1227382, 'book_id': 'luk', 'chapter': '1', 'verse': '32', 'word_num': 11, 'word': 'the', 'occurrence': 2}, {'id': 1227383, 'book_id': 'luk', 'chapter': '1', 'verse': '32', 'word_num': 12, 'word': 'Most', 'occurrence': 1}, {'id': 1227384, 'book_id': 'luk', 'chapter': '1', 'verse': '32', 'word_num': 13, 'word': 'High', 'occurrence': 1}]","of the Most High",4,"Ὑψίστου = of the Most High",0.3333333333333333,0,0
"468977","luk","1","35","14",",1449651,",",1227453,1227454,1227455,1227456,",0,"[{'id': 1449651, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 13, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","Ὑψίστου",1,3,"[{'id': 1227453, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 18, 'word': 'of', 'occurrence': 1}, {'id': 1227454, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 19, 'word': 'the', 'occurrence': 3}, {'id': 1227455, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 20, 'word': 'Most', 'occurrence': 1}, {'id': 1227456, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 21, 'word': 'High', 'occurrence': 1}]","of the Most High",4,"Ὑψίστου = of the Most High",0.3333333333333333,0,0
"469494","luk","1","76","6",",1450202,",",1228161,1228162,1228163,1228164,",0,"[{'id': 1450202, 'book_id': 'luk', 'chapter': '1', 'verse': '76', 'word_num': 5, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","Ὑψίστου",1,3,"[{'id': 1228161, 'book_id': 'luk', 'chapter': '1', 'verse': '76', 'word_num': 9, 'word': 'of', 'occurrence': 1}, {'id': 1228162, 'book_id': 'luk', 'chapter': '1', 'verse': '76', 'word_num': 10, 'word': 'the', 'occurrence': 1}, {'id': 1228163, 'book_id': 'luk', 'chapter': '1', 'verse': '76', 'word_num': 11, 'word': 'Most', 'occurrence': 1}, {'id': 1228164, 'book_id': 'luk', 'chapter': '1', 'verse': '76', 'word_num': 12, 'word': 'High', 'occurrence': 1}]","of the Most High",4,"Ὑψίστου = of the Most High",0.3333333333333333,0,0
"469744","luk","2","14","2",",1450463,",",1228528,1228529,",0,"[{'id': 1450463, 'book_id': 'luk', 'chapter': '2', 'verse': '14', 'word_num': 2, 'word': 'ὑψίστοις', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,DNPS'}]","ὑψίστοις",1,1,"[{'id': 1228528, 'book_id': 'luk', 'chapter': '2', 'verse': '14', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1228529, 'book_id': 'luk', 'chapter': '2', 'verse': '14', 'word_num': 3, 'word': 'highest', 'occurrence': 1}]","the highest",2,"ὑψίστοις = the highest",0.16666666666666666,0,0
"473045","luk","6","35","19",",1453835,",",1232923,1232924,1232925,1232926,",0,"[{'id': 1453835, 'book_id': 'luk', 'chapter': '6', 'verse': '35', 'word_num': 20, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","Ὑψίστου",1,3,"[{'id': 1232923, 'book_id': 'luk', 'chapter': '6', 'verse': '35', 'word_num': 26, 'word': 'of', 'occurrence': 1}, {'id': 1232924, 'book_id': 'luk', 'chapter': '6', 'verse': '35', 'word_num': 27, 'word': 'the', 'occurrence': 1}, {'id': 1232925, 'book_id': 'luk', 'chapter': '6', 'verse': '35', 'word_num': 28, 'word': 'Most', 'occurrence': 1}, {'id': 1232926, 'book_id': 'luk', 'chapter': '6', 'verse': '35', 'word_num': 29, 'word': 'High', 'occurrence': 1}]","of the Most High",4,"Ὑψίστου = of the Most High",0.3333333333333333,0,0
"474810","luk","8","28","19",",1455601,1455602,",",1235364,1235365,",1,"[{'id': 1455601, 'book_id': 'luk', 'chapter': '8', 'verse': '28', 'word_num': 19, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1455602, 'book_id': 'luk', 'chapter': '8', 'verse': '28', 'word_num': 20, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","τοῦ Ὑψίστου",2,1,"[{'id': 1235364, 'book_id': 'luk', 'chapter': '8', 'verse': '28', 'word_num': 30, 'word': 'Most', 'occurrence': 1}, {'id': 1235365, 'book_id': 'luk', 'chapter': '8', 'verse': '28', 'word_num': 31, 'word': 'High', 'occurrence': 1}]","Most High",2,"τοῦ Ὑψίστου = Most High",0.25,0,0
"483391","luk","19","38","14",",1464342,",",1247112,1247113,",0,"[{'id': 1464342, 'book_id': 'luk', 'chapter': '19', 'verse': '38', 'word_num': 14, 'word': 'ὑψίστοις', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,DNPS'}]","ὑψίστοις",1,1,"[{'id': 1247112, 'book_id': 'luk', 'chapter': '19', 'verse': '38', 'word_num': 19, 'word': 'the', 'occurrence': 4}, {'id': 1247113, 'book_id': 'luk', 'chapter': '19', 'verse': '38', 'word_num': 20, 'word': 'highest', 'occurrence': 1}]","the highest",2,"ὑψίστοις = the highest",0.16666666666666666,0,0
"506296","act","7","48","2",",1488646,",",1278203,1278204,",0,"[{'id': 1488646, 'book_id': 'act', 'chapter': '7', 'verse': '48', 'word_num': 3, 'word': 'Ὕψιστος', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,NMSS'}]","Ὕψιστος",1,1,"[{'id': 1278203, 'book_id': 'act', 'chapter': '7', 'verse': '48', 'word_num': 2, 'word': 'Most', 'occurrence': 1}, {'id': 1278204, 'book_id': 'act', 'chapter': '7', 'verse': '48', 'word_num': 3, 'word': 'High', 'occurrence': 1}]","Most High",2,"Ὕψιστος = Most High",0.08333333333333333,0,0
"512116","act","16","17","13",",1494631,1494632,",",1286071,1286072,",1,"[{'id': 1494631, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 14, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1494632, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 15, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","τοῦ Ὑψίστου",2,1,"[{'id': 1286071, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 16, 'word': 'Most', 'occurrence': 1}, {'id': 1286072, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 17, 'word': 'High', 'occurrence': 1}]","Most High",2,"τοῦ Ὑψίστου = Most High",0.25,0,0
"552569","heb","7","1","7",",1536696,1536697,",",1344694,1344695,",1,"[{'id': 1536696, 'book_id': 'heb', 'chapter': '7', 'verse': '1', 'word_num': 9, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1536697, 'book_id': 'heb', 'chapter': '7', 'verse': '1', 'word_num': 10, 'word': 'Ὑψίστου', 'occurrence': 1, 'strong': 'G53100', 'lemma': 'ὕψιστος', 'morph': 'Gr,NS,,,,GMSS'}]","τοῦ Ὑψίστου",2,1,"[{'id': 1344694, 'book_id': 'heb', 'chapter': '7', 'verse': '1', 'word_num': 9, 'word': 'Most', 'occurrence': 1}, {'id': 1344695, 'book_id': 'heb', 'chapter': '7', 'verse': '1', 'word_num': 10, 'word': 'High', 'occurrence': 1}]","Most High",2,"τοῦ Ὑψίστου = Most High",0.25,0,0
