"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469474","luk","1","74","3",",1450184,",",1228132,1228133,1228134,",0,"[{'id': 1450184, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 4, 'word': 'ῥυσθέντας', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,PAP,AMP,'}]","ῥυσθέντας",1,2,"[{'id': 1228132, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 4, 'word': 'having', 'occurrence': 1}, {'id': 1228133, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 5, 'word': 'been', 'occurrence': 1}, {'id': 1228134, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 6, 'word': 'delivered', 'occurrence': 1}]","having been delivered",3,"ῥυσθέντας = having been delivered",1.0,1,0,0
"522675","rom","7","24","5",",1505685,",",1301109,1301110,",0,"[{'id': 1505685, 'book_id': 'rom', 'chapter': '7', 'verse': '24', 'word_num': 5, 'word': 'ῥύσεται', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IFM3,,S,'}]","ῥύσεται",1,1,"[{'id': 1301109, 'book_id': 'rom', 'chapter': '7', 'verse': '24', 'word_num': 6, 'word': 'will', 'occurrence': 1}, {'id': 1301110, 'book_id': 'rom', 'chapter': '7', 'verse': '24', 'word_num': 7, 'word': 'deliver', 'occurrence': 1}]","will deliver",2,"ῥύσεται = will deliver",0.3333333333333333,1,0,0
"533223","2co","1","10","7",",1516769,",",1316851,1316852,1316853,1316854,",0,"[{'id': 1516769, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 7, 'word': 'ῥύσεται', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IFM3,,S,'}]","ῥύσεται",1,3,"[{'id': 1316851, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1316852, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 10, 'word': 'will', 'occurrence': 1}, {'id': 1316853, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 11, 'word': 'rescue', 'occurrence': 1}, {'id': 1316854, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 12, 'word': 'us', 'occurrence': 2}]","he will rescue us",4,"ῥύσεται = he will rescue us",0.3333333333333333,1,0,0
"533228","2co","1","10","12",",1516776,",",1316863,",0,"[{'id': 1516776, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'ῥύσεται', 'occurrence': 2, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IFM3,,S,'}]","ῥύσεται",1,0,"[{'id': 1316863, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 21, 'word': 'he', 'occurrence': 2}]","he",1,"ῥύσεται = he",0.3333333333333333,1,0,0
"524541","rom","11","26","10",",1507682,",",1303992,",0,"[{'id': 1507682, 'book_id': 'rom', 'chapter': '11', 'verse': '26', 'word_num': 11, 'word': 'ῥυόμενος', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,PPM,NMS,'}]","ῥυόμενος",1,0,"[{'id': 1303992, 'book_id': 'rom', 'chapter': '11', 'verse': '26', 'word_num': 17, 'word': 'Deliverer', 'occurrence': 1}]","Deliverer",1,"ῥυόμενος = Deliverer",1.0,1,0,0
"525990","rom","15","31","1",",1509271,",",1306261,1306262,1306263,1306264,",0,"[{'id': 1509271, 'book_id': 'rom', 'chapter': '15', 'verse': '31', 'word_num': 1, 'word': 'ῥυσθῶ', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,SAP1,,S,'}]","ῥυσθῶ",1,3,"[{'id': 1306261, 'book_id': 'rom', 'chapter': '15', 'verse': '31', 'word_num': 2, 'word': 'I', 'occurrence': 1}, {'id': 1306262, 'book_id': 'rom', 'chapter': '15', 'verse': '31', 'word_num': 3, 'word': 'may', 'occurrence': 1}, {'id': 1306263, 'book_id': 'rom', 'chapter': '15', 'verse': '31', 'word_num': 4, 'word': 'be', 'occurrence': 1}, {'id': 1306264, 'book_id': 'rom', 'chapter': '15', 'verse': '31', 'word_num': 5, 'word': 'rescued', 'occurrence': 1}]","I may be rescued",4,"ῥυσθῶ = I may be rescued",1.0,1,0,0
"533217","2co","1","10","1",",1516766,",",1316843,",0,"[{'id': 1516766, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 4, 'word': 'ἐρρύσατο', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IAM3,,S,'}]","ἐρρύσατο",1,0,"[{'id': 1316843, 'book_id': '2co', 'chapter': '1', 'verse': '10', 'word_num': 1, 'word': 'rescued', 'occurrence': 1}]","rescued",1,"ἐρρύσατο = rescued",0.6666666666666666,2,0,0
"543705","col","1","13","1",",1527524,",",1332003,1332004,",0,"[{'id': 1527524, 'book_id': 'col', 'chapter': '1', 'verse': '13', 'word_num': 1, 'word': 'ἐρρύσατο', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IAM3,,S,'}]","ἐρρύσατο",1,1,"[{'id': 1332003, 'book_id': 'col', 'chapter': '1', 'verse': '13', 'word_num': 1, 'word': 'has', 'occurrence': 1}, {'id': 1332004, 'book_id': 'col', 'chapter': '1', 'verse': '13', 'word_num': 2, 'word': 'rescued', 'occurrence': 1}]","has rescued",2,"ἐρρύσατο = has rescued",0.3333333333333333,1,0,0
"549588","2ti","3","11","17",",1533608,",",1340310,",0,"[{'id': 1533608, 'book_id': '2ti', 'chapter': '3', 'verse': '11', 'word_num': 20, 'word': 'ἐρρύσατο', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,IAM3,,S,'}]","ἐρρύσατο",1,0,"[{'id': 1340310, 'book_id': '2ti', 'chapter': '3', 'verse': '11', 'word_num': 23, 'word': 'rescued', 'occurrence': 1}]","rescued",1,"ἐρρύσατο = rescued",0.6666666666666666,2,0,0
"545149","1th","1","10","12",",1529095,1529096,",",1334068,1334069,",1,"[{'id': 1529095, 'book_id': '1th', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,AMS,'}, {'id': 1529096, 'book_id': '1th', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'ῥυόμενον', 'occurrence': 1, 'strong': 'G45060', 'lemma': 'ῥύομαι', 'morph': 'Gr,V,PPM,AMS,'}]","τὸν ῥυόμενον",2,1,"[{'id': 1334068, 'book_id': '1th', 'chapter': '1', 'verse': '10', 'word_num': 17, 'word': 'who', 'occurrence': 1}, {'id': 1334069, 'book_id': '1th', 'chapter': '1', 'verse': '10', 'word_num': 18, 'word': 'frees', 'occurrence': 1}]","who frees",2,"τὸν ῥυόμενον = who frees",1.0,1,0,0
