"book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong","alignmentsTotal","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"1co","1","1","2","Χριστοῦ",1,0,"by Christ",2,0,"Χριστοῦ = by Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,"For Χριστοῦ - Specific alignment ""Χριστοῦ = by Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 5%","","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = you"" used infrequently: 1.3% out of 75 total alignments, threshold 5%","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = agree"" used infrequently: 1.3% out of 75 total alignments, threshold 5%","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","28","αὐτῷ",1,0,"same",1,0,"αὐτῷ = same",0.5861664712778429,"αὐτῷ","αὐτός","G08460",853,"For αὐτῷ - Specific alignment ""αὐτῷ = same"" used infrequently: 0.6% out of 853 total alignments, threshold 5%","","","",""
"1co","1","10","33","αὐτῇ",1,0,"same",1,0,"αὐτῇ = same",2.7522935779816518,"αὐτῇ","αὐτός","G08460",109,"For αὐτῇ - Specific alignment ""αὐτῇ = same"" used infrequently: 2.8% out of 109 total alignments, threshold 5%","","","",""
"1co","1","12","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5%","","","",""
"1co","1","12","18","Χριστοῦ",1,0,"with Christ",2,0,"Χριστοῦ = with Christ",0.7843137254901961,"Χριστοῦ","χριστός","G55470",255,"For Χριστοῦ - Specific alignment ""Χριστοῦ = with Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 5%","","","",""
"1co","1","16","4","οἶκον",1,0,"household",1,0,"οἶκον = household",4.25531914893617,"οἶκον","οἶκος","G36240",47,"For οἶκον - Specific alignment ""οἶκον = household"" used infrequently: 4.3% out of 47 total alignments, threshold 5%","","","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.78125,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""τοῖς μὲν ἀπολλυμένοις = to those who are perishing"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","For μὲν - Too many original language words in alignment: 3, threshold 3","For μὲν - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","2","19","τὸ ὄνομα",2,0,"the name",2,0,"τὸ ὄνομα = the name",1.1904761904761905,"ὄνομα","ὄνομα","G36860",84,"For ὄνομα - Specific alignment ""τὸ ὄνομα = the name"" used infrequently: 1.2% out of 84 total alignments, threshold 5%","","","",""
"1co","1","2","25","αὐτῶν",1,0,"their Lord",2,0,"αὐτῶν = their Lord",0.17857142857142858,"αὐτῶν","αὐτός","G08460",560,"For αὐτῶν - Specific alignment ""αὐτῶν = their Lord"" used infrequently: 0.2% out of 560 total alignments, threshold 5%","","","",""
"1co","1","20","15","τοῦ κόσμου",2,0,"of the world",3,0,"τοῦ κόσμου = of the world",2.4096385542168677,"κόσμου","κόσμος","G28890",83,"For κόσμου - Specific alignment ""τοῦ κόσμου = of the world"" used infrequently: 2.4% out of 83 total alignments, threshold 5%","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",0.78125,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"1co","1","24","1","αὐτοῖς",1,0,"to those",2,0,"αὐτοῖς = to those",0.18018018018018017,"αὐτοῖς","αὐτός","G08460",555,"For αὐτοῖς - Specific alignment ""αὐτοῖς = to those"" used infrequently: 0.2% out of 555 total alignments, threshold 5%","","","",""
"1co","1","4","3","τῷ Θεῷ",2,0,"to",1,0,"τῷ Θεῷ = to",1.7543859649122806,"Θεῷ","θεός","G23160",171,"For Θεῷ - Specific alignment ""τῷ Θεῷ = to"" used infrequently: 1.8% out of 171 total alignments, threshold 5%","","","",""
"1co","1","5","8","λόγῳ",1,0,"speech",1,0,"λόγῳ = speech",4.081632653061225,"λόγῳ","λόγος","G30560",49,"For λόγῳ - Specific alignment ""λόγῳ = speech"" used infrequently: 4.1% out of 49 total alignments, threshold 5%","","","",""
"1co","1","6","3","τοῦ Χριστοῦ",2,0,"about Christ",2,0,"τοῦ Χριστοῦ = about Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,"For Χριστοῦ - Specific alignment ""τοῦ Χριστοῦ = about Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 5%","","","",""
"1co","10","15","0","λέγω",1,0,"I speak",2,0,"λέγω = I speak",1.7777777777777777,"λέγω","λέγω","G30040",225,"For λέγω - Specific alignment ""λέγω = I speak"" used infrequently: 1.8% out of 225 total alignments, threshold 5%","","","",""
"1co","10","20","10","Θεῷ",1,0,"to God",2,0,"Θεῷ = to God",3.508771929824561,"Θεῷ","θεός","G23160",171,"For Θεῷ - Specific alignment ""Θεῷ = to God"" used infrequently: 3.5% out of 171 total alignments, threshold 5%","","","",""
"1co","10","26","4","Κυρίου",1,0,"Lord s",2,0,"Κυρίου = Lord s",1.65016501650165,"Κυρίου","κύριος","G29620",303,"For Κυρίου - Specific alignment ""Κυρίου = Lord s"" used infrequently: 1.7% out of 303 total alignments, threshold 5%","","","",""
"1co","10","26","8","αὐτῆς",1,0,"of it",2,0,"αὐτῆς = of it",1.7964071856287425,"αὐτῆς","αὐτός","G08460",167,"For αὐτῆς - Specific alignment ""αὐτῆς = of it"" used infrequently: 1.8% out of 167 total alignments, threshold 5%","","","",""
"1co","10","29","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5%","","","",""
"1co","10","9","2","τὸν Κύριον",2,0,"Christ",1,0,"τὸν Κύριον = Christ",1.5384615384615385,"Κύριον","κύριος","G29620",65,"For Κύριον - Specific alignment ""τὸν Κύριον = Christ"" used infrequently: 1.5% out of 65 total alignments, threshold 5%","","","",""
"1co","11","10","5","ἐξουσίαν",1,0,"a symbol of authority",4,0,"ἐξουσίαν = a symbol of authority",1.7543859649122806,"ἐξουσίαν","ἐξουσία","G18490",57,"For ἐξουσίαν - Specific alignment ""ἐξουσίαν = a symbol of authority"" used infrequently: 1.8% out of 57 total alignments, threshold 5%","","","",""
"1co","11","13","2","ὑμῖν αὐτοῖς",2,0,"yourselves",1,0,"ὑμῖν αὐτοῖς = yourselves",0.18018018018018017,"αὐτοῖς","αὐτός","G08460",555,"For αὐτοῖς - Specific alignment ""ὑμῖν αὐτοῖς = yourselves"" used infrequently: 0.2% out of 555 total alignments, threshold 5%","","","",""
"1co","11","13","5","γυναῖκα",1,0,"a woman",2,0,"γυναῖκα = a woman",3.9215686274509802,"γυναῖκα","γυνή","G11350",51,"For γυναῖκα - Specific alignment ""γυναῖκα = a woman"" used infrequently: 3.9% out of 51 total alignments, threshold 5%","","","",""
"1co","11","14","11","αὐτῷ",1,0,"for him",2,0,"αὐτῷ = for him",2.9308323563892147,"αὐτῷ","αὐτός","G08460",853,"For αὐτῷ - Specific alignment ""αὐτῷ = for him"" used infrequently: 2.9% out of 853 total alignments, threshold 5%","","","",""
"1co","11","14","7","ἀνὴρ μὲν",2,0,"a man",2,0,"ἀνὴρ μὲν = a man",1.5625,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""ἀνὴρ μὲν = a man"" used infrequently: 1.6% out of 128 total alignments, threshold 5%","","","",""
"1co","11","18","1","πρῶτον μὲν",2,0,"in the first place",4,0,"πρῶτον μὲν = in the first place",0.78125,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""πρῶτον μὲν = in the first place"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"1co","11","19","1","δεῖ",1,0,"there must",2,0,"δεῖ = there must",1.2658227848101267,"δεῖ","δέω","G12100",79,"For δεῖ - Specific alignment ""δεῖ = there must"" used infrequently: 1.3% out of 79 total alignments, threshold 5%","","","",""
"1co","11","20","5","τὸ αὐτὸ",2,0,"one place",2,0,"τὸ αὐτὸ = one place",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ = one place"" used infrequently: 1.3% out of 75 total alignments, threshold 5%","","","",""
"1co","11","26","11","Κυρίου",1,0,"Lord s",2,0,"Κυρίου = Lord s",1.65016501650165,"Κυρίου","κύριος","G29620",303,"For Κυρίου - Specific alignment ""Κυρίου = Lord s"" used infrequently: 1.7% out of 303 total alignments, threshold 5%","","","",""
