"lemma","count","strong","lexicon"
"βδέλυγμα",6,"G09460","{'brief': 'an abominable thing, an accursed thing', 'long': 'an abominable thing, an accursed thing.'}"
"βδελύσσομαι",1,"G09480","{'brief': 'I abhor, detest', 'long': 'I abhor, detest, loathe.'}"
"μοιχεύω",14,"G34310","{'brief': 'I commit adultery', 'long': 'I commit adultery (of a man with a married woman, but also of a married man).'}"
"μοιχάω",5,"G34290","{'brief': 'I commit adultery', 'long': 'I commit adultery, not only of a married woman but of a married man.'}"
"μοιχαλίς",7,"G34280","{'brief': 'an adulteress', 'long': '(a) an adulteress (that is, a married woman who commits adultery), (b) Hebraistically: extended to those who worship any other than the true God.'}"
"μοιχεία",2,"G34300","{'brief': 'adultery', 'long': 'adultery.'}"
"μοιχός",3,"G34320","{'brief': 'an adulterer', 'long': 'an adulterer, that is, a man who is guilty with a married woman.'}"
"θυσιαστήριον",23,"G23790","{'brief': 'an altar', 'long': 'an altar (for sacrifice).'}"
"βωμός",1,"G10410","{'brief': 'an altar', 'long': 'an altar, platform; a slightly-elevated spot.'}"
"ἀμήν",134,"G02810","{'brief': 'verily, truly, amen, so let it be', 'long': 'verily, truly, amen; at the end of sentences may be paraphrased by: So let it be.'}"
"ἄγγελος",175,"G00320","{'brief': 'an angel, messenger', 'long': 'a messenger, generally a (supernatural) messenger from God, an angel, conveying news or behests from God to men.'}"
"ἰσάγγελος",1,"G24650","{'brief': 'like the angels', 'long': 'equal to or like the angels.'}"
"ἀρχάγγελος",2,"G07430","{'brief': 'a ruler of angels, a superior angel, an archangel', 'long': 'a ruler of angels, a superior angel, an archangel.'}"
"ἀλείφω",9,"G02180","{'brief': 'I anoint', 'long': 'I anoint: festivally, in homage, medicinally, or in anointing the dead.'}"
"μυρίζω",1,"G34620","{'brief': 'I anoint', 'long': 'I anoint.'}"
"χρίω",5,"G55480","{'brief': 'I anoint', 'long': 'I anoint, consecrate by anointing.'}"
"ἐπιχρίω",1,"G20250","{'brief': 'I spread on, anoint', 'long': 'I spread on, anoint.'}"
"χρῖσμα",3,"G55450","{'brief': 'an anointing', 'long': 'an anointing.'}"
"ἐγχρίω",1,"G14720","{'brief': 'I rub in, anoint', 'long': 'I rub in, anoint.'}"
"ἀπόστολος",80,"G06520","{'brief': 'an apostle, a messenger, an envoy, a delegate', 'long': 'a messenger, envoy, delegate, one commissioned by another to represent him in some way, especially a man sent out by Jesus Christ Himself to preach the Gospel; an apostle.'}"
"ἀποστολή",4,"G06510","{'brief': 'commission, duty of apostle, apostleship', 'long': 'commission, duty of apostle, apostleship.'}"
"τάσσω",8,"G50210","{'brief': 'I assign, arrange', 'long': '(a) I assign, arrange, (b) I determine; mid: I appoint.'}"
"καθίστημι",19,"G25250","{'brief': 'I set, establish, appoint, conduct', 'long': 'I set down, bring down to a place; I set in order, appoint, make, constitute.'}"
"τίθημι",36,"G50870","{'brief': 'I put, place', 'long': 'I put, place, lay, set, fix, establish.'}"
"ποιέω",75,"G41600","{'brief': 'I do, make', 'long': '(a) I make, manufacture, construct, (b) I do, act, cause.'}"
"κεῖμαι",9,"G27490","{'brief': 'I lie, recline, am laid', 'long': 'I lie, recline, am placed, am laid, set, specially appointed, destined.'}"
"ἀναδείκνυμι",1,"G03220","{'brief': 'I show forth, show clearly, proclaim, appoint', 'long': ""I show forth, show clearly; hence: I proclaim (a person's appointment to an office), appoint.""}"
"διατίθημι",1,"G13030","{'brief': 'I appoint, make', 'long': '(a) I appoint, make (of a covenant), (b) I make (a will).'}"
"προχειρίζω",3,"G44000","{'brief': 'I appoint, choose, elect', 'long': 'I appoint, choose, elect, take into hand.'}"
"προστάσσω",7,"G43670","{'brief': 'I instruct, command, appoint', 'long': '(a) I instruct, command, (b) I appoint, assign.'}"
"ὁρίζω",2,"G37240","{'brief': 'I define, determine, appoint, decree', 'long': 'I separate, mark off by boundaries; I determine, appoint, designate.'}"
"προθεσμία",1,"G42870","{'brief': 'appointed before', 'long': 'appointed before; a previously-appointed time.'}"
"κιβωτός",6,"G27870","{'brief': 'an ark', 'long': '(properly: a wooden box, hence) the Ark, in which Noah sailed; the Ark of the Covenant.'}"
"ἐξουσία",102,"G18490","{'brief': 'power, authority, weight', 'long': '(a) power, authority, weight, especially: moral authority, influence, (b) in a quasi-personal sense, derived from later Judaism, of a spiritual power, and hence of an earthly power.'}"
"κατεξουσιάζω",2,"G27150","{'brief': 'I have power over', 'long': 'I have (exercise) power (authority) over.'}"
"ἐξουσιάζω",3,"G18500","{'brief': 'I exercise authority', 'long': 'I exercise (wield) power (authority), pass: I am ruled, am held under authority.'}"
"δυνάστης",1,"G14130","{'brief': 'a ruler, potentate', 'long': '(lit: a man who rules by force), a ruler, potentate; also: courtier, member of the court.'}"
"ὑπεροχή",1,"G52470","{'brief': 'superiority, excellence', 'long': 'superiority, excellence, preeminence, authority.'}"
"αὐθεντέω",1,"G08310","{'brief': 'I domineer over', 'long': 'I domineer, govern, have mastery over.'}"
"ἐπιταγή",7,"G20030","{'brief': 'instruction, command, order, authority', 'long': 'instruction, command, order, authority.'}"
"κυριότης",4,"G29630","{'brief': 'lordship, domination, dignity', 'long': '(a) abstr: lordship, (b) concr: divine or angelic lordship, domination, dignity, usually with reference to a celestial hierarchy.'}"
"βαπτίζω",76,"G09070","{'brief': 'I dip, submerge, baptize', 'long': 'lit: I dip, submerge, but specifically of ceremonial dipping; I baptize.'}"
"βάπτισμα",19,"G09080","{'brief': 'the rite or ceremony of baptism', 'long': 'the rite or ceremony of baptism.'}"
"βαπτιστής",5,"G09100","{'brief': 'the baptizer, the Baptist', 'long': 'the baptizer, the Baptist, epithet used only of John, the son of Zechariah and Elizabeth, forerunner of Jesus.'}"
"βαπτισμός",1,"G09090","{'brief': 'dipping, washing', 'long': 'dipping, washing (of a ceremonial character).'}"
"πιστεύω",242,"G41000","{'brief': 'I believe, have faith in', 'long': 'I believe, have faith in, trust in; pass: I am entrusted with.'}"
"ἀπιστία",11,"G05700","{'brief': 'unbelief, unfaithfulness, distrust', 'long': 'unbelief, unfaithfulness, distrust.'}"
"ἄπιστος",23,"G05710","{'brief': 'unbelieving, incredulous, unchristian, unbeliever', 'long': 'unbelieving, incredulous, unchristian; sometimes subst: unbeliever.'}"
"πιστός",66,"G41030","{'brief': 'trustworthy, faithful, believing', 'long': 'trustworthy, faithful, believing.'}"
"πίστις",243,"G41020","{'brief': 'faith, belief, trust', 'long': 'faith, belief, trust, confidence; fidelity, faithfulness.'}"
"ἀγαπητός",61,"G00270","{'brief': 'loved, beloved', 'long': 'loved, beloved, with two special applications: the Beloved, a title of the Messiah (Christ), as beloved beyond all others by the God who sent Him; of Christians, as beloved by God, Christ, and one another.'}"
