"lemma","count","strong","lexicon"
"Αἰγύπτιος",5,"G01240","{'brief': 'Egyptian', 'long': 'Egyptian.'}"
"Αἰθίοψ",2,"G01280","{'brief': 'an Ethiopian', 'long': 'an Ethiopian, Abyssinian.'}"
"Αἴγυπτος",25,"G01250","{'brief': 'Egypt', 'long': 'Egypt.'}"
"Βάαλ",1,"G08960","{'brief': 'Baal', 'long': 'Baal, chief deity of the Phoenicians and other Semitic nations.'}"
"Βέροια",2,"G09600","{'brief': 'Berea', 'long': 'Berea, a town of the province Macedonia.'}"
"Βαβυλών",12,"G08970","{'brief': 'Babylon', 'long': '(a) Babylon, the ancient city on the Euphrates, to which the people of Jerusalem, etc., were transported, (b) hence allegorically of Rome, from the point of view of the Christian people.'}"
"Βαλαάμ",3,"G09030","{'brief': 'Balaam', 'long': 'Balaam, son of Beor of Pethor on the Euphrates, a soothsayer in the Old Testament.'}"
"Βαραββᾶς",11,"G09120","{'brief': 'Barabbas', 'long': 'Barabbas.'}"
"Βαρθολομαῖος",4,"G09180","{'brief': 'Bartholomew', 'long': 'Bartholomew, surname of Nathanael, one of the twelve apostles of Jesus.'}"
"Βαρναβᾶς",28,"G09210","{'brief': 'Barnabas', 'long': 'Barnabas, a Cypriote Jew, uncle of John Mark; his other name was Joseph.'}"
"Βεελζεβούλ",7,"G09540","{'brief': 'Beelzebul', 'long': 'Beelzebul, a name of Satan, the chief of evil spirits.'}"
"Βενιαμείν",4,"G09580","{'brief': 'Benjamin', 'long': 'Benjamin, youngest son of Jacob, founder of one of the twelve tribes of Israel.'}"
"Βεροιαῖος",1,"G09610","{'brief': 'belonging to Berea, Berean', 'long': 'belonging to Berea, Berean.'}"
"Βηθανία",12,"G09630","{'brief': 'Bethany', 'long': '(a) Bethany, the home of Lazarus, Martha, and Mary, near Jerusalem, (b) Bethany, beyond Jordan.'}"
"Βηθλέεμ",8,"G09650","{'brief': 'Bethlehem', 'long': 'Bethlehem, a town of Judea.'}"
"Βόες",2,"G10030","{'brief': 'Boaz', 'long': 'Boaz, son of Salmon and Rahab, husband of Ruth, father of Obed.'}"
"Βόος",1,"G10030","{'brief': 'Boaz', 'long': 'Boaz, son of Salmon and Rahab, husband of Ruth, father of Obed.'}"
"Γάδ",1,"G10450","{'brief': 'Gad', 'long': 'Gad, one of the twelve tribes of Israel.'}"
"Γάζα",1,"G10480","{'brief': 'Gaza', 'long': 'Gaza, an old town in the south of Palestine, on the sea-coast.'}"
"Γαβριήλ",2,"G10430","{'brief': 'Gabriel', 'long': 'the angel Gabriel, a messenger of God.'}"
