"id","orginalWord","lemma","strong","alignmentsForOriginalWord","alignmentFrequency%","alignmentFreq","alignmentFreq-min","alignmentFreq-max","alignmentFreq-mean","alignmentFreq-stddev","alignmentFreq-total","alignmentFreq-meanNormalized","alignmentFreq-stddevNormalized","origWordsCount-min","origWordsCount-max","origWordsCount-mean","origWordsCount-stddev","origWordsCount-total","origWordsCount-meanNormalized","origWordsCount-stddevNormalized","origWordsBetween-min","origWordsBetween-max","origWordsBetween-mean","origWordsBetween-stddev","origWordsBetween-total","origWordsBetween-meanNormalized","origWordsBetween-stddevNormalized","targetWordsCount-min","targetWordsCount-max","targetWordsCount-mean","targetWordsCount-stddev","targetWordsCount-total","targetWordsCount-meanNormalized","targetWordsCount-stddevNormalized","targetWordsBetween-min","targetWordsBetween-max","targetWordsBetween-mean","targetWordsBetween-stddev","targetWordsBetween-total","targetWordsBetween-meanNormalized","targetWordsBetween-stddevNormalized"
"Γαΐῳ","Γαΐῳ","Γάϊος","G10500",1,"{'Γαΐῳ = गयुस को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Δημητρίῳ","Δημητρίῳ","Δημήτριος","G12160",1,"{'Δημητρίῳ = दिमेत्रियुस की': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Διοτρέφης","Διοτρέφης","Διοτρέφης","G13610",1,"{'Διοτρέφης = दियुत्रिफेस': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Ζηνᾶν","Ζηνᾶν","Ζηνᾶς","G22110",1,"{'Ζηνᾶν = जेनास': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεοῦ","Θεοῦ","θεός","G23160",12,"{'Θεοῦ = परमेश्वर': 25.0, 'τοῦ Θεοῦ = परमेश्वर के': 16.666666666666664, 'Θεοῦ = परमेश्वर का': 16.666666666666664, 'τοῦ Θεοῦ = परमेश्वर की': 8.333333333333332, 'Θεοῦ = परमेश्वर की': 8.333333333333332, 'Θεοῦ = परमेश्वर के': 8.333333333333332, 'τοῦ Θεοῦ = परमेश्वर का': 8.333333333333332, 'Θεοῦ = परमेश्वर के बारे': 8.333333333333332}","[3, 2, 2, 1, 1, 1, 1, 1]",1,3,1.5,0.7071067811865476,12,0.125,0.05892556509887897,1,2,1.3333333333333333,0.4714045207910317,16,0.08333333333333333,0.02946278254943948,0,0,0.0,0.0,0,0.0,0.0,1,3,1.8333333333333333,0.5527707983925666,22,0.08333333333333333,0.025125945381480302,0,0,0.0,0.0,0,0,0
"Θεόν","Θεόν","θεός","G23160",1,"{'τὸν Θεόν = परमेश्वर को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεὸν","Θεὸν","θεός","G23160",1,"{'Θεὸν = परमेश्वर को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεὸς","Θεὸς","θεός","G23160",1,"{'Θεὸς = परमेश्वर ने': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεῷ","Θεῷ","θεός","G23160",1,"{'Θεῷ = परमेश्वर पर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κρήτῃ","Κρήτῃ","Κρήτη","G29140",1,"{'Κρήτῃ = क्रेते': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
