"originalWord","lemma","strong","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTextFrequency","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"Χριστοῦ","χριστός","G55470","1co","1","1","2","Χριστοῦ",1,0,"by Christ",2,0,"Χριστοῦ = by Christ",0.004,"For Χριστοῦ - Specific alignment ""Χριστοῦ = by Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 5%","","","",""
"λέγω","λέγω","G30040","1co","1","12","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.009,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5%","","","",""
"Χριστοῦ","χριστός","G55470","1co","1","12","18","Χριστοῦ",1,0,"with Christ",2,0,"Χριστοῦ = with Christ",0.008,"For Χριστοῦ - Specific alignment ""Χριστοῦ = with Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 5%","","","",""
"οἶκον","οἶκος","G36240","1co","1","16","4","οἶκον",1,0,"household",1,0,"οἶκον = household",0.043,"For οἶκον - Specific alignment ""οἶκον = household"" used infrequently: 4.3% out of 47 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.008,"For μὲν - Specific alignment ""τοῖς μὲν ἀπολλυμένοις = to those who are perishing"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","For μὲν - Too many original language words in alignment: 3, threshold 3","For μὲν - Too many target language words in alignment: 5, threshold 5","",""
"ὄνομα","ὄνομα","G36860","1co","1","2","19","τὸ ὄνομα",2,0,"the name",2,0,"τὸ ὄνομα = the name",0.012,"For ὄνομα - Specific alignment ""τὸ ὄνομα = the name"" used infrequently: 1.2% out of 84 total alignments, threshold 5%","","","",""
"κόσμου","κόσμος","G28890","1co","1","20","15","τοῦ κόσμου",2,0,"of the world",3,0,"τοῦ κόσμου = of the world",0.024,"For κόσμου - Specific alignment ""τοῦ κόσμου = of the world"" used infrequently: 2.4% out of 83 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",0.008,"For μὲν - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"Θεῷ","θεός","G23160","1co","1","4","3","τῷ Θεῷ",2,0,"to",1,0,"τῷ Θεῷ = to",0.018,"For Θεῷ - Specific alignment ""τῷ Θεῷ = to"" used infrequently: 1.8% out of 171 total alignments, threshold 5%","","","",""
"λόγῳ","λόγος","G30560","1co","1","5","8","λόγῳ",1,0,"speech",1,0,"λόγῳ = speech",0.041,"For λόγῳ - Specific alignment ""λόγῳ = speech"" used infrequently: 4.1% out of 49 total alignments, threshold 5%","","","",""
