"lemma","count","strong","lexicon"
"ἀντίδικος",5,"G04760","{'brief': 'an opponent, adversary', 'long': 'an opponent (at law), an adversary.'}"
"κατηγορέω",22,"G27230","{'brief': 'I accuse, charge, prosecute', 'long': 'I accuse, charge, prosecute.'}"
"συκοφαντέω",1,"G48110","{'brief': 'I accuse falsely, defraud', 'long': 'I accuse falsely, defraud.'}"
"κατηγορία",4,"G27240","{'brief': 'a charge, accusation', 'long': 'an accusation, charge.'}"
"ἐγκαλέω",1,"G14580","{'brief': 'I bring a charge against, accuse', 'long': 'I bring a charge against, accuse.'}"
"ἐνκαλέω",5,"G14580","{'brief': 'I bring a charge against, accuse', 'long': 'I bring a charge against, accuse.'}"
"ἔγκλημα",1,"G14620","{'brief': 'an accusation, charge', 'long': 'an accusation, charge.'}"
"κατήγορος",5,"G27250","{'brief': 'a prosecutor, accuser', 'long': 'an accuser, prosecutor.'}"
"ἔνκλημα",1,"G14620","{'brief': 'an accusation, charge', 'long': 'an accusation, charge.'}"
"ἐχθρός",32,"G21900","{'brief': 'hated, hostile, an enemy', 'long': 'hated, hostile; subst: an enemy.'}"
"ἀντίκειμαι",3,"G04800","{'brief': 'I resist, oppose', 'long': 'I resist, oppose, withstand, lie opposite to.'}"
"ὑπεναντίος",1,"G52270","{'brief': 'opposite to, adverse', 'long': 'opposite to, adverse; subst: an adversary.'}"
"ἔχθρα",2,"G21890","{'brief': 'enmity, hostility', 'long': 'enmity, hostility, alienation.'}"
"αἰών",122,"G01650","{'brief': 'an age, a cycle of time', 'long': 'an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity.'}"
"γενεά",43,"G10740","{'brief': 'a generation', 'long': 'a generation; if repeated twice or with another time word, practically indicates infinity of time.'}"
"αἰώνιος",1,"G01660","{'brief': 'eternal, unending', 'long': 'age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting.'}"
"ἐλεημοσύνη",13,"G16540","{'brief': 'alms-giving, charity', 'long': 'abstr: alms-giving, charity; concr: alms, charity.'}"
"ἐκπλήσσω",13,"G16050","{'brief': 'I am thunderstruck, astounded', 'long': 'I strike with panic or shock; I amaze, astonish.'}"
"θαυμάζω",42,"G22960","{'brief': 'I wonder, admire', 'long': '(a) intrans: I wonder, marvel, (b) trans: I wonder at, admire.'}"
"ἐξίστημι",16,"G18390","{'brief': 'I astonish, am astonished', 'long': '(lit: I remove from a standing position), (a) in trans. tenses: I astonish, amaze, (b) in intrans. tenses: I am astonished, amazed; I am out of my mind, am mad.'}"
"θαυμαστός",6,"G22980","{'brief': 'wonderful, marvelous', 'long': 'to be wondered at, wonderful, marvelous.'}"
"τέρας",16,"G50590","{'brief': 'a wonder, portent', 'long': 'a wonder, portent, marvel.'}"
