"book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong","alignmentsTotal","alignmentsTextFreqPeak","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"3jn","1","10","11","ἡμᾶς",1,0,"о нас",2,0,"ἡμᾶς = о нас",5.263157894736842,"ἡμᾶς","ἐγώ","G14730",19,78.94736842105263,"For ἡμᾶς - Specific alignment ""ἡμᾶς = о нас"" used infrequently: 5.3% out of 19 total alignments, threshold 6.3% (8.0% of peak 79%)","","","",""
"3jn","1","10","12","καὶ",1,0,"И",1,0,"καὶ = И",5.9459459459459465,"καὶ","καί","G25320",185,93.51351351351352,"For καὶ - Specific alignment ""καὶ = И"" used infrequently: 5.9% out of 185 total alignments, threshold 7.5% (8.0% of peak 94%)","","","",""
"3jn","1","10","4","αὐτοῦ",1,0,"его",1,0,"αὐτοῦ = его",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = его"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"3jn","1","11","1","μὴ",1,0,"Не",1,0,"μὴ = Не",3.3333333333333335,"μὴ","μή","G33610",30,96.66666666666667,"For μὴ - Specific alignment ""μὴ = Не"" used infrequently: 3.3% out of 30 total alignments, threshold 7.7% (8.0% of peak 97%)","","","",""
"3jn","1","12","6","καὶ",1,0,"И",1,0,"καὶ = И",5.9459459459459465,"καὶ","καί","G25320",185,93.51351351351352,"For καὶ - Specific alignment ""καὶ = И"" used infrequently: 5.9% out of 185 total alignments, threshold 7.5% (8.0% of peak 94%)","","","",""
"eph","1","10","15","ἐν",1,0,"В",1,0,"ἐν = В",0.7194244604316548,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν = В"" used infrequently: 0.7% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","1","15","5","τὴν πίστιν",2,2,"вере",1,0,"τὴν πίστιν = вере",1.9607843137254901,"τὴν","ὁ","G35880",51,3.9215686274509802,"","","","For τὴν - Discontiguous original language alignment, extra words: 2, threshold 1",""
"eph","1","15","5","τὴν πίστιν",2,2,"вере",1,0,"τὴν πίστιν = вере",25.0,"πίστιν","πίστις","G41020",4,50.0,"","","","For πίστιν - Discontiguous original language alignment, extra words: 2, threshold 1",""
"eph","1","20","10","ἐν",1,0,"по",1,0,"ἐν = по",1.4388489208633095,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν = по"" used infrequently: 1.4% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","1","20","12","αὐτοῦ",1,0,"Свою",1,0,"αὐτοῦ = Свою",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = Свою"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"eph","1","22","0","καὶ",1,0,"И",1,0,"καὶ = И",5.9459459459459465,"καὶ","καί","G25320",185,93.51351351351352,"For καὶ - Specific alignment ""καὶ = И"" used infrequently: 5.9% out of 185 total alignments, threshold 7.5% (8.0% of peak 94%)","","","",""
"eph","1","23","5","τοῦ πληρουμένου",2,4,"Наполняющего",1,0,"τοῦ πληρουμένου = Наполняющего",1.2048192771084338,"τοῦ","ὁ","G35880",83,12.048192771084338,"","","","For τοῦ - Discontiguous original language alignment, extra words: 4, threshold 1",""
"eph","1","23","5","τοῦ πληρουμένου",2,4,"Наполняющего",1,0,"τοῦ πληρουμένου = Наполняющего",100.0,"πληρουμένου","πληρόω","G41370",1,100.0,"","","","For πληρουμένου - Discontiguous original language alignment, extra words: 4, threshold 1",""
"eph","1","3","10","ἐν πάσῃ",2,0,"каждым",1,0,"ἐν πάσῃ = каждым",0.7194244604316548,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν πάσῃ = каждым"" used infrequently: 0.7% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","1","5","4","εἰς αὐτόν",2,0,"Себе",1,0,"εἰς αὐτόν = Себе",2.5,"εἰς","εἰς","G15190",40,42.5,"For εἰς - Specific alignment ""εἰς αὐτόν = Себе"" used infrequently: 2.5% out of 40 total alignments, threshold 3.4% (8.0% of peak 42%)","","","",""
"eph","1","9","7","αὐτοῦ",1,0,"Своему",1,0,"αὐτοῦ = Своему",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = Своему"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"eph","2","1","0","καὶ",1,0,"И",1,0,"καὶ = И",5.9459459459459465,"καὶ","καί","G25320",185,93.51351351351352,"For καὶ - Specific alignment ""καὶ = И"" used infrequently: 5.9% out of 185 total alignments, threshold 7.5% (8.0% of peak 94%)","","","",""
"eph","2","13","12","ἐν τῷ αἵματι",3,0,"кровью",1,0,"ἐν τῷ αἵματι = кровью",0.7194244604316548,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν τῷ αἵματι = кровью"" used infrequently: 0.7% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","For ἐν - Too many original language words in alignment: 3, threshold 3","","",""
"eph","2","13","12","ἐν τῷ αἵματι",3,0,"кровью",1,0,"ἐν τῷ αἵματι = кровью",2.631578947368421,"τῷ","ὁ","G35880",38,7.894736842105263,"","For τῷ - Too many original language words in alignment: 3, threshold 3","","",""
"eph","2","13","12","ἐν τῷ αἵματι",3,0,"кровью",1,0,"ἐν τῷ αἵματι = кровью",100.0,"αἵματι","αἷμα","G01290",1,100.0,"","For αἵματι - Too many original language words in alignment: 3, threshold 3","","",""
"eph","2","15","10","εἰς ἕνα",2,0,"одного",1,0,"εἰς ἕνα = одного",2.5,"εἰς","εἰς","G15190",40,42.5,"For εἰς - Specific alignment ""εἰς ἕνα = одного"" used infrequently: 2.5% out of 40 total alignments, threshold 3.4% (8.0% of peak 42%)","","","",""
"eph","2","17","0","καὶ",1,0,"И",1,0,"καὶ = И",5.9459459459459465,"καὶ","καί","G25320",185,93.51351351351352,"For καὶ - Specific alignment ""καὶ = И"" used infrequently: 5.9% out of 185 total alignments, threshold 7.5% (8.0% of peak 94%)","","","",""
"eph","2","18","3","αὐτοῦ",1,0,"Него",1,0,"αὐτοῦ = Него",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = Него"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"eph","2","2","14","τοῦ ἐνεργοῦντος",2,1,"действующего",1,0,"τοῦ ἐνεργοῦντος = действующего",1.2048192771084338,"τοῦ","ὁ","G35880",83,12.048192771084338,"","","","For τοῦ - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","2","2","14","τοῦ ἐνεργοῦντος",2,1,"действующего",1,0,"τοῦ ἐνεργοῦντος = действующего",50.0,"ἐνεργοῦντος","ἐνεργέω","G17540",2,50.0,"","","","For ἐνεργοῦντος - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","2","20","8","αὐτοῦ",1,0,"Самого",1,0,"αὐτοῦ = Самого",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = Самого"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"eph","2","3","0","ἐν",1,0,"среди",1,0,"ἐν = среди",0.7194244604316548,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν = среди"" used infrequently: 0.7% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","2","4","1","ὁ Θεὸς",2,1,"Бог",1,0,"ὁ Θεὸς = Бог",13.88888888888889,"ὁ","ὁ","G35880",36,13.88888888888889,"","","","For ὁ - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","2","4","1","ὁ Θεὸς",2,1,"Бог",1,0,"ὁ Θεὸς = Бог",71.42857142857143,"Θεὸς","θεός","G23160",7,71.42857142857143,"","","","For Θεὸς - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","2","8","1","τῇ χάριτί",2,1,"благодатью",1,0,"τῇ χάριτί = благодатью",3.571428571428571,"τῇ","ὁ","G35880",28,10.714285714285714,"","","","For τῇ - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","2","8","1","τῇ χάριτί",2,1,"благодатью",1,0,"τῇ χάριτί = благодатью",50.0,"χάριτί","χάρις","G54850",2,50.0,"","","","For χάριτί - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","3","12","10","αὐτοῦ",1,0,"в Него",2,0,"αὐτοῦ = в Него",2.7777777777777777,"αὐτοῦ","αὐτός","G08460",36,50.0,"For αὐτοῦ - Specific alignment ""αὐτοῦ = в Него"" used infrequently: 2.8% out of 36 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"eph","3","12","5","ἐν",1,0,"с",1,0,"ἐν = с",2.877697841726619,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν = с"" used infrequently: 2.9% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","3","13","4","ἐν",1,0,"из за",2,0,"ἐν = из за",0.7194244604316548,"ἐν","ἐν","G17220",139,60.431654676258994,"For ἐν - Specific alignment ""ἐν = из за"" used infrequently: 0.7% out of 139 total alignments, threshold 4.8% (8.0% of peak 60%)","","","",""
"eph","3","16","14","τὸν ἄνθρωπον",2,1,"человеке",1,0,"τὸν ἄνθρωπον = человеке",4.0,"τὸν","ὁ","G35880",25,8.0,"","","","For τὸν - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","3","16","14","τὸν ἄνθρωπον",2,1,"человеке",1,0,"τὸν ἄνθρωπον = человеке",20.0,"ἄνθρωπον","ἄνθρωπος","G04440",5,80.0,"","","","For ἄνθρωπον - Discontiguous original language alignment, extra words: 1, threshold 1",""
"eph","3","19","8","εἰς πᾶν",2,0,"всею",1,0,"εἰς πᾶν = всею",2.5,"εἰς","εἰς","G15190",40,42.5,"For εἰς - Specific alignment ""εἰς πᾶν = всею"" used infrequently: 2.5% out of 40 total alignments, threshold 3.4% (8.0% of peak 42%)","","","",""
